Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.058762,[24  4] ; [28 58],[12.77192982 15.22807018] ; [39.22807018 46.77192982],1
n6,1,0.002199,9.375418,[27  2] ; [55 32],[20.5  8.5] ; [61.5 25.5],0
p5,1,0.002859,8.895443,[ 6 23] ; [ 3 83],[ 2.26956522 26.73043478] ; [ 6.73043478 79.26956522],0
r4,1,0.007229,7.21505,[26  3] ; [55 32],[20.25  8.75] ; [60.75 26.25],0
p12,1,0.008032,7.026387,[ 6 23] ; [ 4 82],[ 2.52173913 26.47826087] ; [ 7.47826087 78.52173913],0
s7,1,0.01212,6.293194,[13 13] ; [20 63],[ 7.87155963 18.12844037] ; [25.12844037 57.87155963],0
p11,1,0.015722,5.833732,[25  4] ; [54 33],[19.75  9.25] ; [59.25 27.75],0
r1,1,0.017247,5.671111,[22  7] ; [44 43],[16.5 12.5] ; [49.5 37.5],0
p10,1,0.021876,5.255645,[22  6] ; [46 39],[16.84955752 11.15044248] ; [51.15044248 33.84955752],0
v4,1,0.021978,5.247515,[28  1] ; [67 19],[23.95652174  5.04347826] ; [71.04347826 14.95652174],0
u3,1,0.02316,5.156483,[11  7] ; [15 34],[ 6.98507463 11.01492537] ; [19.01492537 29.98507463],0
s2,1,0.024096,5.087719,[15 14] ; [25 62],[10. 19.] ; [30. 57.],0
s8,1,0.03422,4.483668,[11 17] ; [17 70],[ 6.8173913 21.1826087] ; [21.1826087 65.8173913],0
p9,1,0.038077,4.301565,[23  5] ; [51 33],[18.5  9.5] ; [55.5 28.5],0
a5,1,0.051364,3.796364,[17 12] ; [33 54],[12.5 16.5] ; [37.5 49.5],0
n5,1,0.080544,3.053893,[22  7] ; [49 36],[18.06140351 10.93859649] ; [52.93859649 32.06140351],0
s4,1,0.08582,2.951083,[ 9 20] ; [14 72],[ 5.8 23.2] ; [17.2 68.8],0
a7,1,0.107327,2.593145,[19 10] ; [42 45],[15.25 13.75] ; [45.75 41.25],0
d2,1,0.112287,2.521739,[ 9 20] ; [15 72],[ 6. 23.] ; [18. 69.],0
a8,1,0.117437,2.451168,[ 1 27] ; [12 70],[ 3.30909091 24.69090909] ; [ 9.69090909 72.30909091],0
p6,1,0.160271,1.971665,[11 18] ; [21 65],[ 8.06956522 20.93043478] ; [23.93043478 62.06956522],0
p7,1,0.161967,1.955769,[18 11] ; [39 44],[14.75892857 14.24107143] ; [42.24107143 40.75892857],0
p3,1,0.175941,1.831579,[13 16] ; [27 60],[10. 19.] ; [30. 57.],0
p2,1,0.175941,1.831579,[22  7] ; [54 33],[19. 10.] ; [57. 30.],0
p4,1,0.204666,1.608762,[14 14] ; [31 54],[11.15044248 16.84955752] ; [33.84955752 51.15044248],0
n4,1,0.212814,1.552181,[20  9] ; [48 38],[17.14782609 11.85217391] ; [50.85217391 35.14782609],0
n3,1,0.237923,1.392857,[6 1] ; [20 12],[4.66666667 2.33333333] ; [21.33333333 10.66666667],0
d1,1,0.239939,1.380952,[ 2 27] ; [ 2 85],[ 1. 28.] ; [ 3. 84.],0
u1,1,0.239939,1.380952,[ 2 27] ; [ 2 85],[ 1. 28.] ; [ 3. 84.],0
r2,1,0.240663,1.376703,[25  4] ; [66 21],[22.75  6.25] ; [68.25 18.75],0
r3,1,0.289752,1.120773,[25  4] ; [67 20],[23.  6.] ; [69. 18.],0
