Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,32.326939,[35 30] ; [147  20],[50.99137931 14.00862069] ; [131.00862069  35.99137931],1
s7,1,0.0,26.842826,[20 43] ; [114  50],[37.18942731 25.81057269] ; [96.81057269 67.18942731],1
s5,1,0.000635,11.670968,[10 53] ; [64 97],[20.8125 42.1875] ; [ 53.1875 107.8125],1
v4,1,0.000765,11.325406,[53 13] ; [158   9],[59.76824034  6.23175966] ; [151.23175966  15.76824034],1
s8,1,0.003978,8.293664,[21 46] ; [88 81],[30.94491525 36.05508475] ; [78.05508475 90.94491525],0
p10,1,0.004525,8.060131,[43 24] ; [137  31],[51.31914894 15.68085106] ; [128.68085106  39.31914894],0
p9,1,0.006477,7.412668,[46 21] ; [141  26],[53.54273504 13.45726496] ; [133.45726496  33.54273504],0
a7,1,0.010627,6.52664,[40 27] ; [129  40],[47.97881356 19.02118644] ; [121.02118644  47.97881356],0
p4,1,0.022789,5.184529,[29 37] ; [102  67],[36.79148936 29.20851064] ; [94.20851064 74.79148936],0
s4,1,0.025321,5.001792,[11 56] ; [ 51 115],[17.82832618 49.17167382] ; [ 44.17167382 121.82832618],0
n6,1,0.031616,4.619172,[46 21] ; [137  31],[52.17446809 14.82553191] ; [130.82553191  37.17446809],0
p2,1,0.043185,4.088155,[50 17] ; [144  24],[55.3106383 11.6893617] ; [138.6893617  29.3106383],0
p6,1,0.071155,3.25617,[16 51] ; [ 61 108],[21.86016949 45.13983051] ; [ 55.13983051 113.86016949],0
r1,1,0.073618,3.20044,[48 19] ; [138  30],[53.02978723 13.97021277] ; [132.97021277  35.02978723],0
u1,1,0.077062,3.125793,[ 7 60] ; [ 34 135],[11.63983051 55.36016949] ; [ 29.36016949 139.63983051],0
a2,1,0.096999,2.754208,[ 9 58] ; [ 39 130],[13.62711864 53.37288136] ; [ 34.37288136 134.62711864],0
b5,1,0.102965,2.659003,[31 36] ; [98 71],[36.62288136 30.37711864] ; [92.37711864 76.62288136],0
r2,1,0.15973,1.976783,[59  7] ; [157   9],[61.44827586  4.55172414] ; [154.55172414  11.44827586],0
r3,1,0.165769,1.920795,[60  7] ; [158   9],[62.41880342  4.58119658] ; [155.58119658  11.41880342],0
a3,1,0.202397,1.624994,[41 26] ; [118  51],[45.13983051 21.86016949] ; [113.86016949  55.13983051],0
d3,1,0.212838,1.552019,[41 26] ; [117  51],[45.04680851 21.95319149] ; [112.95319149  55.04680851],0
d1,1,0.223444,1.482117,[33 34] ; [98 71],[37.19067797 29.80932203] ; [93.80932203 75.19067797],0
p12,1,0.23613,1.403552,[ 2 64] ; [ 12 157],[ 3.93191489 62.06808511] ; [ 10.06808511 158.93191489],0
b4,1,0.242481,1.366114,[44 23] ; [97 72],[40.02966102 26.97033898] ; [100.97033898  68.02966102],0
p11,1,0.251728,1.313687,[45 22] ; [126  43],[48.54661017 18.45338983] ; [122.45338983  46.54661017],0
u2,1,0.291549,1.112453,[11 15] ; [27 22],[13.17333333 12.82666667] ; [24.82666667 24.17333333],0
p5,1,0.29445,1.099161,[ 7 59] ; [ 11 157],[ 5.07692308 60.92307692] ; [ 12.92307692 155.07692308],0
