Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.001841,9.701654,[ 7 17] ; [24 10],[12.82758621 11.17241379] ; [18.17241379 15.82758621],0
v2,1,0.003516,8.518285,[13 11] ; [ 6 28],[ 7.86206897 16.13793103] ; [11.13793103 22.86206897],0
p2,1,0.016798,5.717377,[13 11] ; [ 8 26],[ 8.68965517 15.31034483] ; [12.31034483 21.68965517],0
s6,1,0.020199,5.394618,[11 13] ; [ 6 28],[ 7.03448276 16.96551724] ; [ 9.96551724 24.03448276],0
v4,1,0.032938,4.54902,[16  8] ; [13 21],[12. 12.] ; [17. 17.],0
d4,1,0.040679,4.189328,[19  5] ; [18 16],[15.31034483  8.68965517] ; [21.68965517 12.31034483],0
a7,1,0.040778,4.18522,[15  9] ; [12 22],[11.17241379 12.82758621] ; [15.82758621 18.17241379],0
n4,1,0.040778,4.18522,[ 9 15] ; [22 12],[12.82758621 11.17241379] ; [18.17241379 15.82758621],0
p11,1,0.043824,4.063317,[10 14] ; [ 6 28],[ 6.62068966 17.37931034] ; [ 9.37931034 24.62068966],0
s2,1,0.045719,3.991931,[ 9 15] ; [ 5 29],[ 5.79310345 18.20689655] ; [ 8.20689655 25.79310345],0
p8,1,0.052953,3.745413,[ 9 15] ; [ 5 28],[ 5.89473684 18.10526316] ; [ 8.10526316 24.89473684],0
p6,1,0.080931,3.046113,[ 5 18] ; [ 2 31],[ 2.875 20.125] ; [ 4.125 28.875],0
a4,1,0.087772,2.914773,[ 5 19] ; [14 19],[ 8. 16.] ; [11. 22.],0
v1,1,0.093844,2.807173,[ 8 16] ; [ 5 29],[ 5.37931034 18.62068966] ; [ 7.62068966 26.37931034],0
n2,1,0.100524,2.697214,[10  6] ; [ 7 13],[7.55555556 8.44444444] ; [ 9.44444444 10.55555556],0
d3,1,0.130713,2.284021,[14 10] ; [13 21],[11.17241379 12.82758621] ; [15.82758621 18.17241379],0
n6,1,0.157387,1.999158,[14 10] ; [13 20],[11.36842105 12.63157895] ; [15.63157895 17.36842105],0
s7,1,0.159614,1.977881,[ 7 15] ; [ 5 27],[ 4.88888889 17.11111111] ; [ 7.11111111 24.88888889],0
d1,1,0.17602,1.83091,[12 12] ; [11 23],[ 9.51724138 14.48275862] ; [13.48275862 20.51724138],0
p4,1,0.189496,1.721534,[ 8 16] ; [ 6 27],[ 5.89473684 18.10526316] ; [ 8.10526316 24.89473684],0
b5,1,0.197806,1.658497,[14 10] ; [14 20],[11.5862069 12.4137931] ; [16.4137931 17.5862069],0
b2,1,0.26012,1.268116,[2 8] ; [10 15],[3.42857143 6.57142857] ; [ 8.57142857 16.42857143],0
b3,1,0.26012,1.268116,[2 8] ; [10 15],[3.42857143 6.57142857] ; [ 8.57142857 16.42857143],0
s3,1,0.280047,1.166862,[ 9 15] ; [ 8 25],[ 7.15789474 16.84210526] ; [ 9.84210526 23.15789474],0
p3,1,0.285434,1.141031,[ 6 17] ; [ 5 29],[ 4.43859649 18.56140351] ; [ 6.56140351 27.43859649],0
d2,1,0.294228,1.100172,[ 9 15] ; [17 16],[10.94736842 13.05263158] ; [15.05263158 17.94736842],0
d5,1,0.295883,1.092657,[16  8] ; [18 16],[14.06896552  9.93103448] ; [19.93103448 14.06896552],0
p1,1,0.309915,1.03104,[ 1 23] ; [ 4 30],[ 2.06896552 21.93103448] ; [ 2.93103448 31.06896552],0
p7,1,0.412133,0.67264,[ 9 15] ; [ 9 24],[ 7.57894737 16.42105263] ; [10.42105263 22.57894737],0
u3,1,0.432111,0.617143,[4 8] ; [ 3 12],[3.11111111 8.88888889] ; [ 3.88888889 11.11111111],0
s1,1,0.463111,0.538364,[ 2 22] ; [ 5 29],[ 2.89655172 21.10344828] ; [ 4.10344828 29.89655172],0
a5,1,0.469068,0.524171,[ 9 15] ; [16 18],[10.34482759 13.65517241] ; [14.65517241 19.34482759],0
p10,1,0.495967,0.463555,[ 6 18] ; [ 6 28],[ 4.96551724 19.03448276] ; [ 7.03448276 26.96551724],0
s5,1,0.548513,0.359987,[ 4 19] ; [ 4 30],[ 3.22807018 19.77192982] ; [ 4.77192982 29.22807018],0
a3,1,0.570736,0.321453,[12 12] ; [19 14],[13.05263158 10.94736842] ; [17.94736842 15.05263158],0
n3,1,0.693282,0.155556,[7 8] ; [ 8 12],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
u1,1,0.801104,0.063463,[ 1 23] ; [ 1 33],[ 0.82758621 23.17241379] ; [ 1.17241379 32.82758621],0
s4,1,0.808392,0.058807,[ 5 19] ; [ 8 26],[ 5.37931034 18.62068966] ; [ 7.62068966 26.37931034],0
n1,1,0.812524,0.05625,[ 5 11] ; [ 7 13],[ 5.33333333 10.66666667] ; [ 6.66666667 13.33333333],0
u2,1,0.850646,0.035455,[4 7] ; [6 9],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
v3,1,0.922448,0.009477,[ 4 20] ; [ 6 28],[ 4.13793103 19.86206897] ; [ 5.86206897 28.13793103],0
b1,1,0.926577,0.008492,[13 11] ; [18 16],[12.82758621 11.17241379] ; [18.17241379 15.82758621],0
a6,1,0.926577,0.008492,[11 13] ; [16 18],[11.17241379 12.82758621] ; [15.82758621 18.17241379],0
b4,1,0.926577,0.008492,[13 11] ; [18 16],[12.82758621 11.17241379] ; [18.17241379 15.82758621],0
a2,1,0.93253,0.007168,[ 3 21] ; [ 4 30],[ 2.89655172 21.10344828] ; [ 4.10344828 29.89655172],0
r1,1,0.937548,0.006139,[ 8 16] ; [11 23],[ 7.86206897 16.13793103] ; [11.13793103 22.86206897],0
r2,1,0.938346,0.005983,[13 11] ; [17 15],[12.85714286 11.14285714] ; [17.14285714 14.85714286],0
