Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,6.9e-05,15.829643,[19 28] ; [62 20],[29.51162791 17.48837209] ; [51.48837209 30.51162791],1
d1,1,9.3e-05,15.279007,[ 9 39] ; [44 38],[19.56923077 28.43076923] ; [33.43076923 48.56923077],1
d3,1,0.00015,14.378347,[20 26] ; [63 19],[29.828125 16.171875] ; [53.171875 28.828125],1
a6,1,0.000832,11.167899,[19 29] ; [57 25],[28.06153846 19.93846154] ; [47.93846154 34.06153846],1
d5,1,0.000956,10.910186,[22 25] ; [62 20],[30.60465116 16.39534884] ; [53.39534884 28.60465116],1
a4,1,0.00154,10.030595,[ 8 40] ; [36 46],[16.24615385 31.75384615] ; [27.75384615 54.24615385],0
s6,1,0.004084,8.24594,[21 26] ; [57 24],[28.640625 18.359375] ; [49.359375 31.640625],0
p9,1,0.004427,8.09972,[29 19] ; [68 14],[35.81538462 12.18461538] ; [61.18461538 20.81538462],0
p4,1,0.005994,7.552242,[21 27] ; [56 26],[28.43076923 19.56923077] ; [48.56923077 33.43076923],0
p10,1,0.006445,7.421486,[28 20] ; [66 16],[34.70769231 13.29230769] ; [59.29230769 22.70769231],0
p3,1,0.008275,6.972956,[16 32] ; [47 35],[23.26153846 24.73846154] ; [39.73846154 42.26153846],0
r1,1,0.008859,6.851045,[27 21] ; [64 18],[33.6 14.4] ; [57.4 24.6],0
u1,1,0.014514,5.97449,[ 1 47] ; [13 69],[ 5.16923077 42.83076923] ; [ 8.83076923 73.16923077],0
b3,1,0.020668,5.354567,[ 3 23] ; [15 25],[ 7.09090909 18.90909091] ; [10.90909091 29.09090909],0
b2,1,0.020668,5.354567,[ 3 23] ; [15 25],[ 7.09090909 18.90909091] ; [10.90909091 29.09090909],0
d2,1,0.031145,4.644929,[12 36] ; [36 46],[17.72307692 30.27692308] ; [30.27692308 51.72307692],0
s8,1,0.039009,4.260478,[11 37] ; [33 48],[16.37209302 31.62790698] ; [27.62790698 53.37209302],0
v1,1,0.047049,3.943621,[14 31] ; [40 41],[19.28571429 25.71428571] ; [34.71428571 46.28571429],0
v2,1,0.048795,3.882384,[18 29] ; [43 33],[23.30894309 23.69105691] ; [37.69105691 38.30894309],0
s5,1,0.052119,3.771939,[ 9 38] ; [28 51],[13.8015873 33.1984127] ; [23.1984127 55.8015873],0
r4,1,0.052561,3.757818,[35 13] ; [71 11],[39.13846154  8.86153846] ; [66.86153846 15.13846154],0
s7,1,0.061712,3.490779,[12 33] ; [34 44],[16.82926829 28.17073171] ; [29.17073171 48.82926829],0
d4,1,0.065925,3.381679,[31 16] ; [66 16],[35.34108527 11.65891473] ; [61.65891473 20.34108527],0
n3,1,0.125383,2.348762,[9 4] ; [24  3],[10.725  2.275] ; [22.275  4.725],0
p6,1,0.128393,2.311829,[21 25] ; [26 55],[17.02362205 28.97637795] ; [29.97637795 51.02362205],0
p1,1,0.131428,2.275556,[ 1 47] ; [ 7 73],[ 3. 45.] ; [ 5. 75.],0
n6,1,0.162308,1.952587,[28 19] ; [58 23],[31.578125 15.421875] ; [54.421875 26.578125],0
v3,1,0.172648,1.859799,[ 9 37] ; [24 54],[12.24193548 33.75806452] ; [20.75806452 57.24193548],0
u2,1,0.212309,1.555613,[19  9] ; [10 10],[16.91666667 11.08333333] ; [12.08333333  7.91666667],0
p8,1,0.224738,1.473855,[25 23] ; [51 30],[28.27906977 19.72093023] ; [47.72093023 33.27906977],0
a7,1,0.228936,1.447457,[29 18] ; [59 23],[32.0620155 14.9379845] ; [55.9379845 26.0620155],0
p12,1,0.292467,1.108229,[ 1 47] ; [ 5 77],[ 2.21538462 45.78461538] ; [ 3.78461538 78.21538462],0
s4,1,0.361631,0.832222,[10 38] ; [23 59],[12.18461538 35.81538462] ; [20.81538462 61.18461538],0
p5,1,0.460712,0.544163,[ 2 46] ; [ 6 75],[ 2.97674419 45.02325581] ; [ 5.02325581 75.97674419],0
b4,1,0.47423,0.512104,[25 23] ; [48 34],[26.95384615 21.04615385] ; [46.04615385 35.95384615],0
a1,1,0.496753,0.461866,[ 3 45] ; [ 3 79],[ 2.21538462 45.78461538] ; [ 3.78461538 78.21538462],0
r3,1,0.539994,0.37555,[43  5] ; [76  6],[43.93846154  4.06153846] ; [75.06153846  6.93846154],0
s3,1,0.615569,0.252145,[23 25] ; [42 38],[24.375 23.625] ; [40.625 39.375],0
s1,1,0.615735,0.251908,[ 1 47] ; [ 3 79],[ 1.47692308 46.52307692] ; [ 2.52307692 79.47692308],0
v4,1,0.64619,0.210738,[44  3] ; [74  7],[43.328125  3.671875] ; [74.671875  6.328125],0
p2,1,0.693433,0.155394,[39  9] ; [68 13],[39.81395349  8.18604651] ; [67.18604651 13.81395349],0
n2,1,0.747972,0.103243,[9 4] ; [20  7],[9.425 3.575] ; [19.575  7.425],0
b1,1,0.803796,0.061721,[20 28] ; [36 46],[20.67692308 27.32307692] ; [35.32307692 46.67692308],0
b5,1,0.863114,0.029726,[30 18] ; [50 32],[29.53846154 18.46153846] ; [50.46153846 31.53846154],0
s2,1,0.879293,0.023063,[21 27] ; [37 45],[21.41538462 26.58461538] ; [36.58461538 45.41538462],0
