Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.011959,6.316873,[ 6 34] ; [4 3],[ 8.5106383 31.4893617] ; [1.4893617 5.5106383],0
a4,1,0.083983,2.98609,[ 6 34] ; [3 4],[ 7.65957447 32.34042553] ; [1.34042553 5.65957447],0
r1,1,0.120632,2.4091,[11 29] ; [4 3],[12.76595745 27.23404255] ; [2.23404255 4.76595745],0
a6,1,0.122839,2.380743,[16 24] ; [5 2],[17.87234043 22.12765957] ; [3.12765957 3.87234043],0
a2,1,0.154112,2.031071,[ 1 39] ; [1 6],[ 1.70212766 38.29787234] ; [0.29787234 6.70212766],0
n5,1,0.157052,2.002383,[23 17] ; [2 5],[21.27659574 18.72340426] ; [3.72340426 3.27659574],0
a5,1,0.157052,2.002383,[17 23] ; [5 2],[18.72340426 21.27659574] ; [3.27659574 3.72340426],0
v4,1,0.294551,1.098701,[20 20] ; [5 2],[21.27659574 18.72340426] ; [3.72340426 3.27659574],0
n4,1,0.294551,1.098701,[20 20] ; [2 5],[18.72340426 21.27659574] ; [3.27659574 3.72340426],0
p8,1,0.31323,1.017007,[13 26] ; [1 6],[11.86956522 27.13043478] ; [2.13043478 4.86956522],0
p7,1,0.352741,0.863573,[19 21] ; [2 5],[17.87234043 22.12765957] ; [3.12765957 3.87234043],0
a7,1,0.397396,0.71619,[16 24] ; [4 3],[17.0212766 22.9787234] ; [2.9787234 4.0212766],0
a3,1,0.428336,0.627332,[16 23] ; [4 3],[16.95652174 22.04347826] ; [3.04347826 3.95652174],0
b3,1,0.457439,0.552155,[ 8 17] ; [1 5],[ 7.25806452 17.74193548] ; [1.74193548 4.25806452],0
b2,1,0.457439,0.552155,[ 8 17] ; [1 5],[ 7.25806452 17.74193548] ; [1.74193548 4.25806452],0
p4,1,0.488464,0.479907,[17 23] ; [2 5],[16.17021277 23.82978723] ; [2.82978723 4.17021277],0
b4,1,0.488464,0.479907,[23 17] ; [5 2],[23.82978723 16.17021277] ; [4.17021277 2.82978723],0
s8,1,0.536805,0.381494,[10 30] ; [1 6],[ 9.36170213 30.63829787] ; [1.63829787 5.36170213],0
p1,1,0.552811,0.352305,[ 3 37] ; [1 6],[ 3.40425532 36.59574468] ; [0.59574468 6.40425532],0
s1,1,0.552811,0.352305,[ 3 37] ; [1 6],[ 3.40425532 36.59574468] ; [0.59574468 6.40425532],0
b1,1,0.566082,0.329283,[24 16] ; [5 2],[24.68085106 15.31914894] ; [4.31914894 2.68085106],0
n2,1,0.595732,0.281481,[8 8] ; [1 2],[7.57894737 8.42105263] ; [1.42105263 1.57894737],0
n3,1,0.595732,0.281481,[8 8] ; [2 1],[8.42105263 7.57894737] ; [1.57894737 1.42105263],0
r4,1,0.60922,0.261313,[ 8 32] ; [2 5],[ 8.5106383 31.4893617] ; [1.4893617 5.5106383],0
p11,1,0.637762,0.221681,[21 19] ; [3 4],[20.42553191 19.57446809] ; [3.57446809 3.42553191],0
p9,1,0.642718,0.215205,[24 16] ; [3 3],[23.47826087 16.52173913] ; [3.52173913 2.47826087],0
s6,1,0.650153,0.205707,[15 25] ; [2 5],[14.46808511 25.53191489] ; [2.53191489 4.46808511],0
u2,1,0.681225,0.16875,[13 11] ; [2 1],[13.33333333 10.66666667] ; [1.66666667 1.33333333],0
p10,1,0.727267,0.121636,[20 20] ; [3 4],[19.57446809 20.42553191] ; [3.42553191 3.57446809],0
p5,1,0.752485,0.099455,[ 4 35] ; [1 6],[ 4.23913043 34.76086957] ; [0.76086957 6.23913043],0
u3,1,0.756158,0.096429,[ 6 18] ; [1 2],[ 6.22222222 17.77777778] ; [0.77777778 2.22222222],0
p2,1,0.787942,0.072352,[25 15] ; [4 3],[24.68085106 15.31914894] ; [4.31914894 2.68085106],0
n6,1,0.826328,0.048142,[24 15] ; [4 3],[23.73913043 15.26086957] ; [4.26086957 2.73913043],0
r3,1,0.826328,0.048142,[24 15] ; [4 3],[23.73913043 15.26086957] ; [4.26086957 2.73913043],0
s5,1,0.83464,0.043578,[ 7 33] ; [1 6],[ 6.80851064 33.19148936] ; [1.19148936 5.80851064],0
v3,1,0.896085,0.017059,[ 5 35] ; [1 6],[ 5.10638298 34.89361702] ; [0.89361702 6.10638298],0
p3,1,0.939225,0.005813,[12 28] ; [2 5],[11.91489362 28.08510638] ; [2.08510638 4.91489362],0
b5,1,0.985933,0.000311,[23 17] ; [4 3],[22.9787234 17.0212766] ; [4.0212766 2.9787234],0
