Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000769,11.315132,[18  9] ; [ 1 11],[13.15384615 13.84615385] ; [5.84615385 6.15384615],1
a3,1,0.003936,8.313158,[18  9] ; [ 2 10],[13.84615385 13.15384615] ; [6.15384615 5.84615385],0
d2,1,0.010022,6.631054,[16 10] ; [ 2 10],[12.31578947 13.68421053] ; [5.68421053 6.31578947],0
a4,1,0.013321,6.125992,[13 13] ; [ 1 11],[ 9.57894737 16.42105263] ; [4.42105263 7.57894737],0
d3,1,0.016743,5.723095,[13 14] ; [ 1 11],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
n5,1,0.027248,4.875,[15 12] ; [11  1],[18.  9.] ; [8. 4.],0
b4,1,0.028587,4.792325,[17 10] ; [3 9],[13.84615385 13.15384615] ; [6.15384615 5.84615385],0
p10,1,0.035609,4.415754,[15 12] ; [2 9],[12.07894737 14.92105263] ; [4.92105263 6.07894737],0
r3,1,0.048204,3.902851,[16 11] ; [3 9],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
p11,1,0.048204,3.902851,[16 11] ; [3 9],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
v2,1,0.056969,3.6235,[11 16] ; [ 1 10],[ 8.52631579 18.47368421] ; [3.47368421 7.52631579],0
r1,1,0.062163,3.478704,[13 14] ; [ 2 10],[10.38461538 16.61538462] ; [4.61538462 7.38461538],0
p9,1,0.113288,2.507744,[15 12] ; [3 8],[12.78947368 14.21052632] ; [5.21052632 5.78947368],0
a1,1,0.160868,1.966049,[ 1 26] ; [ 2 10],[ 2.07692308 24.92307692] ; [ 0.92307692 11.07692308],0
s4,1,0.186215,1.747312,[ 4 23] ; [4 8],[ 5.53846154 21.46153846] ; [2.46153846 9.53846154],0
u2,1,0.21289,1.551667,[3 6] ; [1 9],[1.89473684 7.10526316] ; [2.10526316 7.89473684],0
s3,1,0.214947,1.537793,[12 14] ; [3 9],[10.26315789 15.73684211] ; [4.73684211 7.26315789],0
p2,1,0.214947,1.537793,[12 14] ; [3 9],[10.26315789 15.73684211] ; [4.73684211 7.26315789],0
n6,1,0.252136,1.311427,[16 10] ; [5 7],[14.36842105 11.63157895] ; [6.63157895 5.36842105],0
v3,1,0.275806,1.18764,[ 6 20] ; [ 1 11],[ 4.78947368 21.21052632] ; [2.21052632 9.78947368],0
v1,1,0.285735,1.13961,[ 9 18] ; [ 2 10],[ 7.61538462 19.38461538] ; [3.38461538 8.61538462],0
n3,1,0.317311,1.0,[5 3] ; [3 5],[4. 4.] ; [4. 4.],0
s7,1,0.325538,0.966568,[ 8 17] ; [ 2 10],[ 6.75675676 18.24324324] ; [3.24324324 8.75675676],0
a6,1,0.325603,0.966307,[ 7 20] ; [5 7],[ 8.30769231 18.69230769] ; [3.69230769 8.30769231],0
p7,1,0.344254,0.894524,[11 16] ; [3 9],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
p4,1,0.344254,0.894524,[11 16] ; [3 9],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
p3,1,0.344254,0.894524,[11 16] ; [3 9],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
r2,1,0.357744,0.845798,[15 11] ; [5 7],[13.68421053 12.31578947] ; [6.31578947 5.68421053],0
s1,1,0.379041,0.77381,[ 2 25] ; [ 2 10],[ 2.76923077 24.23076923] ; [ 1.23076923 10.76923077],0
b2,1,0.403755,0.697115,[10 10] ; [3 6],[ 8.96551724 11.03448276] ; [4.03448276 4.96551724],0
b3,1,0.403755,0.697115,[10 10] ; [3 6],[ 8.96551724 11.03448276] ; [4.03448276 4.96551724],0
p1,1,0.415842,0.662037,[ 5 22] ; [ 1 11],[ 4.15384615 22.84615385] ; [ 1.84615385 10.15384615],0
s6,1,0.416184,0.661065,[10 16] ; [3 9],[ 8.89473684 17.10526316] ; [4.10526316 7.89473684],0
p6,1,0.444379,0.58495,[ 5 21] ; [ 1 10],[ 4.21621622 21.78378378] ; [1.78378378 9.21621622],0
p12,1,0.564746,0.331553,[ 1 25] ; [ 1 11],[ 1.36842105 24.63157895] ; [ 0.63157895 11.36842105],0
b1,1,0.590438,0.289661,[16 11] ; [6 6],[15.23076923 11.76923077] ; [6.76923077 5.23076923],0
n4,1,0.602773,0.270833,[18  9] ; [9 3],[18.69230769  8.30769231] ; [8.30769231 3.69230769],0
b5,1,0.748053,0.103175,[12 15] ; [6 6],[12.46153846 14.53846154] ; [5.53846154 6.46153846],0
s2,1,0.766822,0.087933,[ 8 19] ; [3 9],[ 7.61538462 19.38461538] ; [3.38461538 8.61538462],0
n2,1,0.771519,0.084325,[4 5] ; [3 5],[3.70588235 5.29411765] ; [3.29411765 4.70588235],0
n1,1,0.818821,0.052469,[5 4] ; [4 4],[4.76470588 4.23529412] ; [4.23529412 3.76470588],0
s8,1,0.882392,0.021886,[ 4 23] ; [ 2 10],[ 4.15384615 22.84615385] ; [ 1.84615385 10.15384615],0
p8,1,0.889381,0.019345,[ 5 22] ; [ 2 10],[ 4.84615385 22.15384615] ; [2.15384615 9.84615385],0
u3,1,0.905565,0.014074,[2 7] ; [2 8],[1.89473684 7.10526316] ; [2.10526316 7.89473684],0
