Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,148.16941,[370  44] ; [60 90],[315.63829787  98.36170213] ; [114.36170213  35.63829787],1
n6,1,0.0,55.443061,[380  34] ; [99 50],[352.23090586  61.76909414] ; [126.76909414  22.23090586],1
p4,1,0.0,28.699046,[299 115] ; [72 78],[272.32978723 141.67021277] ; [98.67021277 51.32978723],1
p10,1,5e-06,20.871917,[363  48] ; [107  41],[345.56350626  65.43649374] ; [124.43649374  23.56350626],1
v1,1,1.7e-05,18.542193,[248 156] ; [59 86],[225.91621129 178.08378871] ; [81.08378871 63.91621129],1
p8,1,0.000175,14.082104,[254 151] ; [67 82],[234.66606498 170.33393502] ; [86.33393502 62.66606498],1
s7,1,0.000987,10.851395,[206 186] ; [53 92],[189.06517691 202.93482309] ; [69.93482309 75.06517691],1
p6,1,0.001049,10.73852,[177 232] ; [ 41 106],[160.36330935 248.63669065] ; [57.63669065 89.36330935],0
p9,1,0.001176,10.527369,[367  40] ; [119  30],[355.75899281  51.24100719] ; [130.24100719  18.75899281],0
r4,1,0.001309,10.329948,[393  22] ; [130  20],[384.15044248  30.84955752] ; [138.84955752  11.15044248],0
a2,1,0.001568,9.997254,[134 281] ; [ 28 122],[118.99115044 296.00884956] ; [ 43.00884956 106.99115044],0
s6,1,0.0017,9.84841,[293 112] ; [87 62],[277.79783394 127.20216606] ; [102.20216606  46.79783394],0
p3,1,0.002384,9.227769,[231 183] ; [62 88],[215.07446809 198.92553191] ; [77.92553191 72.07446809],0
u1,1,0.003484,8.534809,[103 312] ; [ 20 130],[ 90.34513274 324.65486726] ; [ 32.65486726 117.34513274],0
v3,1,0.00359,8.480354,[169 231] ; [ 41 103],[154.41176471 245.58823529] ; [55.58823529 88.41176471],0
s2,1,0.004588,8.03511,[226 181] ; [63 87],[211.17235189 195.82764811] ; [77.82764811 72.17235189],0
p11,1,0.00482,7.945888,[348  67] ; [110  40],[336.40707965  78.59292035] ; [121.59292035  28.40707965],0
a4,1,0.00854,6.916572,[195 219] ; [52 98],[181.30851064 232.69148936] ; [65.69148936 84.30851064],0
p7,1,0.018622,5.536684,[284 119] ; [88 59],[272.57454545 130.42545455] ; [99.42545455 47.57454545],0
a8,1,0.019106,5.491811,[ 63 303] ; [ 12 124],[ 54.6812749 311.3187251] ; [ 20.3187251 115.6812749],0
p5,1,0.02081,5.342631,[ 57 356] ; [ 10 140],[ 49.14920071 363.85079929] ; [ 17.85079929 132.14920071],0
d2,1,0.021878,5.255453,[208 206] ; [59 91],[195.9893617 218.0106383] ; [71.0106383 78.9893617],0
n1,1,0.022707,5.190803,[29 37] ; [10 34],[23.4 42.6] ; [15.6 28.4],0
n2,1,0.023386,5.139584,[57 11] ; [28 15],[52.07207207 15.92792793] ; [32.92792793 10.07207207],0
a5,1,0.027882,4.835337,[320  95] ; [102  48],[309.96460177 105.03539823] ; [112.03539823  37.96460177],0
a6,1,0.029921,4.713842,[331  83] ; [107  43],[321.5106383  92.4893617] ; [116.4893617  33.5106383],0
r1,1,0.040936,4.17867,[350  61] ; [116  33],[342.01071429  68.98928571] ; [123.98928571  25.01071429],0
a3,1,0.04126,4.165318,[306 107] ; [98 52],[296.36234458 116.63765542] ; [107.63765542  42.36234458],0
s3,1,0.046563,3.961124,[240 166] ; [74 75],[229.7009009 176.2990991] ; [84.2990991 64.7009009],0
d1,1,0.051583,3.789255,[267 148] ; [83 67],[257.07964602 157.92035398] ; [92.92035398 57.07964602],0
v2,1,0.059496,3.551382,[242 156] ; [74 69],[232.47319778 165.52680222] ; [83.52680222 59.47319778],0
r2,1,0.08042,3.056396,[398  14] ; [137  10],[394.31127013  17.68872987] ; [140.68872987   6.31127013],0
s5,1,0.08395,2.986728,[138 259] ; [ 39 106],[129.64760148 267.35239852] ; [47.35239852 97.64760148],0
s8,1,0.097101,2.75252,[188 222] ; [57 93],[179.375 230.625] ; [65.625 84.375],0
p12,1,0.123577,2.371393,[ 39 374] ; [  8 141],[ 34.53914591 378.46085409] ; [ 12.46085409 136.53914591],0
d5,1,0.138599,2.193446,[356  59] ; [121  29],[350.36283186  64.63716814] ; [126.63716814  23.36283186],0
b2,1,0.212236,1.556107,[ 92 152] ; [24 56],[ 87.35802469 156.64197531] ; [28.64197531 51.35802469],0
b3,1,0.212236,1.556107,[ 92 152] ; [24 56],[ 87.35802469 156.64197531] ; [28.64197531 51.35802469],0
v4,1,0.226618,1.461966,[402  11] ; [142   7],[399.77224199  13.22775801] ; [144.22775801   4.77224199],0
p1,1,0.252708,1.30827,[ 41 373] ; [ 10 138],[ 37.56939502 376.43060498] ; [ 13.43060498 134.56939502],0
b4,1,0.326297,0.963537,[241 174] ; [94 56],[246.0619469 168.9380531] ; [88.9380531 61.0619469],0
u3,1,0.366622,0.815081,[66 43] ; [34 16],[68.55345912 40.44654088] ; [31.44654088 18.55345912],0
