Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n3,1,0.38735,0.747246,[32 21] ; [4 1],[32.89655172 20.10344828] ; [3.10344828 1.89655172],0
d4,1,0.410045,0.678671,[88 30] ; [19  4],[89.54609929 28.45390071] ; [17.45390071  5.54609929],0
p11,1,0.412532,0.671491,[72 47] ; [16  7],[73.74647887 45.25352113] ; [14.25352113  8.74647887],0
n5,1,0.480133,0.498562,[40 79] ; [ 6 17],[38.54929577 80.45070423] ; [ 7.45070423 15.54929577],0
p9,1,0.481207,0.496127,[81 33] ; [18  5],[82.37956204 31.62043796] ; [16.62043796  6.37956204],0
d2,1,0.501886,0.450946,[38 81] ; [ 9 14],[39.38732394 79.61267606] ; [ 7.61267606 15.38732394],0
d1,1,0.504606,0.445237,[48 71] ; [11 12],[49.44366197 69.55633803] ; [ 9.55633803 13.44366197],0
s3,1,0.524952,0.404154,[48 70] ; [11 12],[49.37588652 68.62411348] ; [ 9.62411348 13.37588652],0
a6,1,0.566874,0.327941,[70 49] ; [15  8],[71.23239437 47.76760563] ; [13.76760563  9.23239437],0
s7,1,0.569817,0.32299,[25 90] ; [ 6 16],[26.02189781 88.97810219] ; [ 4.97810219 17.02189781],0
v3,1,0.584424,0.299137,[25 89] ; [ 6 16],[25.98529412 88.01470588] ; [ 5.01470588 16.98529412],0
r3,1,0.588423,0.292814,[103  15] ; [21  2],[103.77304965  14.22695035] ; [20.22695035  2.77304965],0
u2,1,0.590012,0.290326,[28 31] ; [3 2],[28.578125 30.421875] ; [2.421875 2.578125],0
a2,1,0.672506,0.178685,[ 12 107] ; [ 3 20],[ 12.57042254 106.42957746] ; [ 2.42957746 20.57042254],0
a4,1,0.723643,0.125028,[30 89] ; [ 5 18],[29.33098592 89.66901408] ; [ 5.66901408 17.33098592],0
u1,1,0.734954,0.114611,[  8 111] ; [ 2 21],[  8.38028169 110.61971831] ; [ 1.61971831 21.38028169],0
p10,1,0.751394,0.100364,[74 41] ; [14  9],[73.33333333 41.66666667] ; [14.66666667  8.33333333],0
s5,1,0.754396,0.097874,[28 88] ; [ 6 16],[28.57971014 87.42028986] ; [ 5.42028986 16.57971014],0
b4,1,0.797071,0.066121,[69 50] ; [14  9],[69.55633803 49.44366197] ; [13.44366197  9.55633803],0
s2,1,0.806777,0.059822,[43 75] ; [ 9 14],[43.5177305 74.4822695] ; [ 8.4822695 14.5177305],0
a8,1,0.819252,0.052215,[  4 109] ; [ 1 21],[  4.18518519 108.81481481] ; [ 0.81481481 21.18518519],0
n1,1,0.837678,0.041969,[13 41] ; [1 4],[12.81355932 41.18644068] ; [1.18644068 3.81355932],0
p6,1,0.862725,0.029897,[ 16 102] ; [ 3 17],[ 16.24637681 101.75362319] ; [ 2.75362319 17.24637681],0
a7,1,0.867797,0.027708,[80 38] ; [16  7],[80.34042553 37.65957447] ; [15.65957447  7.34042553],0
b1,1,0.901545,0.015304,[43 76] ; [ 8 15],[42.73943662 76.26056338] ; [ 8.26056338 14.73943662],0
v2,1,0.926904,0.008416,[47 65] ; [ 9 13],[46.80597015 65.19402985] ; [ 9.19402985 12.80597015],0
r1,1,0.9625,0.002211,[77 42] ; [15  8],[77.09859155 41.90140845] ; [14.90140845  8.09859155],0
