Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.002272,9.31602,[14 23] ; [12  2],[18.8627451 18.1372549] ; [7.1372549 6.8627451],0
s3,1,0.017466,5.648926,[28  8] ; [6 8],[24.48 11.52] ; [9.52 4.48],0
p4,1,0.039142,4.254688,[25 12] ; [5 9],[21.76470588 15.23529412] ; [8.23529412 5.76470588],0
a7,1,0.0446,4.033696,[27 10] ; [6 8],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
p7,1,0.07728,3.121203,[19 18] ; [ 3 10],[16.28 20.72] ; [5.72 7.28],0
u4,1,0.116675,2.46139,[ 1 36] ; [ 2 12],[ 2.17647059 34.82352941] ; [ 0.82352941 13.17647059],0
v3,1,0.130008,2.292412,[13 22] ; [8 5],[15.3125 19.6875] ; [5.6875 7.3125],0
p8,1,0.144561,2.12872,[19 18] ; [ 4 10],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
r1,1,0.167842,1.902114,[28  9] ; [13  1],[29.74509804  7.25490196] ; [11.25490196  2.74509804],0
a3,1,0.176435,1.827396,[26 11] ; [7 7],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
a6,1,0.176435,1.827396,[26 11] ; [7 7],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
d3,1,0.176435,1.827396,[26 11] ; [7 7],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
s4,1,0.226118,1.465113,[ 8 29] ; [ 1 13],[ 6.52941176 30.47058824] ; [ 2.47058824 11.52941176],0
v2,1,0.242997,1.363121,[22 14] ; [6 8],[20.16 15.84] ; [7.84 6.16],0
u2,1,0.252136,1.311429,[6 4] ; [6 1],[7.05882353 2.94117647] ; [4.94117647 2.05882353],0
n4,1,0.315866,1.005987,[26 10] ; [12  2],[27.36  8.64] ; [10.64  3.36],0
p3,1,0.318071,0.996863,[19 18] ; [5 9],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
p11,1,0.331887,0.941521,[24 13] ; [7 7],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
s6,1,0.338423,0.916394,[27 10] ; [12  2],[28.29411765  8.70588235] ; [10.70588235  3.29411765],0
a8,1,0.340156,0.909843,[ 9 22] ; [ 2 11],[ 7.75 23.25] ; [3.25 9.75],0
n6,1,0.344704,0.892857,[30  6] ; [10  4],[28.8  7.2] ; [11.2  2.8],0
a5,1,0.346488,0.886276,[24 13] ; [11  3],[25.39215686 11.60784314] ; [9.60784314 4.39215686],0
s2,1,0.409667,0.679767,[25 11] ; [8 6],[23.76 12.24] ; [9.24 4.76],0
u1,1,0.436656,0.605054,[ 9 28] ; [ 2 12],[ 7.98039216 29.01960784] ; [ 3.01960784 10.98039216],0
v4,1,0.465994,0.531459,[36  1] ; [13  1],[35.54901961  1.45098039] ; [13.45098039  0.54901961],0
n2,1,0.474549,0.511364,[6 5] ; [3 1],[6.6 4.4] ; [2.4 1.6],0
s1,1,0.479427,0.500165,[ 1 35] ; [ 1 13],[ 1.44 34.56] ; [ 0.56 13.44],0
b4,1,0.486919,0.483327,[25 12] ; [8 6],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
p5,1,0.507924,0.438341,[ 3 34] ; [ 2 12],[ 3.62745098 33.37254902] ; [ 1.37254902 12.62745098],0
v1,1,0.528733,0.396825,[17 19] ; [8 6],[18. 18.] ; [7. 7.],0
p9,1,0.542721,0.37052,[22 15] ; [7 7],[21.03921569 15.96078431] ; [7.96078431 6.03921569],0
a2,1,0.555955,0.346756,[ 8 29] ; [ 2 12],[ 7.25490196 29.74509804] ; [ 2.74509804 11.25490196],0
s7,1,0.561523,0.337073,[26 11] ; [8 5],[25.16 11.84] ; [8.84 4.16],0
d5,1,0.663018,0.189879,[31  6] ; [11  3],[30.47058824  6.52941176] ; [11.52941176  2.47058824],0
d4,1,0.663018,0.189879,[31  6] ; [11  3],[30.47058824  6.52941176] ; [11.52941176  2.47058824],0
p6,1,0.699676,0.14881,[15 21] ; [5 9],[14.4 21.6] ; [5.6 8.4],0
n3,1,0.706879,0.141414,[6 5] ; [2 1],[6.28571429 4.71428571] ; [1.71428571 1.28571429],0
n1,1,0.732678,0.116667,[4 6] ; [2 2],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
d2,1,0.743183,0.107348,[23 14] ; [8 6],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
d1,1,0.743183,0.107348,[23 14] ; [8 6],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
n5,1,0.745861,0.105042,[24 12] ; [10  4],[24.48 11.52] ; [9.52 4.48],0
s5,1,0.812545,0.056237,[ 9 24] ; [4 9],[ 9.32608696 23.67391304] ; [3.67391304 9.32608696],0
r3,1,0.813951,0.055381,[35  2] ; [13  1],[34.82352941  2.17647059] ; [13.17647059  0.82352941],0
a1,1,0.813951,0.055381,[ 2 35] ; [ 1 13],[ 2.17647059 34.82352941] ; [ 0.82352941 13.17647059],0
a4,1,0.880754,0.022504,[15 22] ; [6 8],[15.23529412 21.76470588] ; [5.76470588 8.23529412],0
b5,1,0.969191,0.001492,[24 13] ; [9 5],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
b3,1,1.0,0.0,[10 16] ; [5 8],[10. 16.] ; [5. 8.],0
b2,1,1.0,0.0,[10 16] ; [5 8],[10. 16.] ; [5. 8.],0
