Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,81.737836,[202 149] ; [ 42 178],[149.98949212 201.01050788] ; [ 94.01050788 125.98949212],1
v1,1,3e-06,21.914677,[235 118] ; [104 118],[208.11652174 144.88347826] ; [130.88347826  91.11652174],1
a5,1,0.001229,10.446152,[302  59] ; [164  62],[286.58603066  74.41396934] ; [179.41396934  46.58603066],0
r3,1,0.005839,7.599363,[354   5] ; [213  12],[348.54965753  10.45034247] ; [218.45034247   6.54965753],0
s1,1,0.006452,7.419487,[  6 350] ; [ 13 210],[ 11.68221071 344.31778929] ; [  7.31778929 215.68221071],0
a7,1,0.012754,6.202882,[283  77] ; [157  69],[270.30716724  89.69283276] ; [169.69283276  56.30716724],0
b1,1,0.016516,5.747086,[112 249] ; [ 92 134],[125.45826235 235.54173765] ; [ 78.54173765 147.45826235],0
p12,1,0.03867,4.275286,[ 43 318] ; [ 15 210],[ 35.73037543 325.26962457] ; [ 22.26962457 202.73037543],0
u1,1,0.04149,4.155886,[ 88 273] ; [ 39 187],[ 78.10391823 282.89608177] ; [ 48.89608177 177.10391823],0
a3,1,0.052951,3.74547,[284  76] ; [161  63],[274.31506849  85.68493151] ; [170.68493151  53.31506849],0
p3,1,0.062446,3.471191,[206 154] ; [111 114],[195.07692308 164.92307692] ; [121.92307692 103.07692308],0
s4,1,0.06348,3.444038,[ 53 306] ; [ 46 176],[ 61.17211704 297.82788296] ; [ 37.82788296 184.17211704],0
d5,1,0.065787,3.385122,[310  50] ; [180  44],[302.05479452  57.94520548] ; [187.94520548  36.05479452],0
a6,1,0.095579,2.777814,[264  95] ; [151  74],[255.11130137 103.88869863] ; [159.88869863  65.11130137],0
d2,1,0.096683,2.759424,[195 165] ; [106 119],[185.23076923 174.76923077] ; [115.76923077 109.23076923],0
p10,1,0.148959,2.082877,[335  26] ; [202  24],[330.25042589  30.74957411] ; [206.74957411  19.25042589],0
n6,1,0.152339,2.04867,[318  38] ; [192  33],[312.49569707  43.50430293] ; [197.50430293  27.49569707],0
p7,1,0.163846,1.938367,[252 103] ; [144  76],[244.48695652 110.51304348] ; [151.51304348  68.48695652],0
u4,1,0.183946,1.765449,[ 11 350] ; [  3 223],[  8.60988075 352.39011925] ; [  5.39011925 220.60988075],0
p11,1,0.196592,1.667513,[307  54] ; [183  43],[301.34582624  59.65417376] ; [188.65417376  37.34582624],0
r4,1,0.198158,1.655896,[352   9] ; [216  10],[349.31516184  11.68483816] ; [218.68483816   7.31516184],0
n3,1,0.199774,1.644028,[46 13] ; [37 18],[42.95614035 16.04385965] ; [40.04385965 14.95614035],0
a1,1,0.214597,1.540137,[ 19 342] ; [  7 219],[ 15.98977853 345.01022147] ; [ 10.01022147 215.98977853],0
r2,1,0.237065,1.397965,[350   7] ; [217   8],[347.79896907   9.20103093] ; [219.20103093   5.79896907],0
s6,1,0.259175,1.273158,[255 104] ; [165  54],[260.8650519  98.1349481] ; [159.1349481  59.8650519],0
u3,1,0.267629,1.228858,[46 31] ; [44 20],[49.14893617 27.85106383] ; [40.85106383 23.14893617],0
a2,1,0.285967,1.138514,[104 257] ; [ 56 170],[ 98.39863714 262.60136286] ; [ 61.60136286 164.39863714],0
n1,1,0.287587,1.130883,[19 40] ; [23 32],[21.73684211 37.26315789] ; [20.26315789 34.73684211],0
a8,1,0.294589,1.098531,[ 53 269] ; [ 27 179],[ 48.78787879 273.21212121] ; [ 31.21212121 174.78787879],0
n2,1,0.309632,1.032246,[46 13] ; [39 17],[43.60869565 15.39130435] ; [41.39130435 14.60869565],0
n5,1,0.353672,0.860238,[286  71] ; [173  52],[281.55154639  75.44845361] ; [177.44845361  47.55154639],0
u2,1,0.386522,0.749856,[42 34] ; [40 24],[44.51428571 31.48571429] ; [37.48571429 26.51428571],0
s7,1,0.389947,0.739107,[196 151] ; [114 102],[191.06571936 155.93428064] ; [118.93428064  97.06571936],0
s8,1,0.41984,0.650763,[186 171] ; [110 116],[181.25557461 175.74442539] ; [114.74442539 111.25557461],0
d1,1,0.421952,0.644873,[237 124] ; [141  85],[232.46678024 128.53321976] ; [145.53321976  80.46678024],0
v4,1,0.520941,0.41203,[350   8] ; [219   7],[348.80479452   9.19520548] ; [220.19520548   5.80479452],0
b4,1,0.609838,0.260411,[209 152] ; [126 100],[206.02214651 154.97785349] ; [128.97785349  97.02214651],0
s3,1,0.61609,0.251402,[207 150] ; [134  89],[209.89137931 147.10862069] ; [131.10862069  91.89137931],0
b5,1,0.620515,0.245144,[213 148] ; [138  88],[215.86201022 145.13798978] ; [135.13798978  90.86201022],0
b3,1,0.648922,0.207262,[ 89 133] ; [52 86],[ 86.95 135.05] ; [54.05 83.95],0
b2,1,0.648922,0.207262,[ 89 133] ; [52 86],[ 86.95 135.05] ; [54.05 83.95],0
p6,1,0.657911,0.196071,[146 214] ; [ 95 129],[148.56164384 211.43835616] ; [ 92.43835616 131.56164384],0
