Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,33.519647,[22  7] ; [12 62],[ 9.57281553 19.42718447] ; [24.42718447 49.57281553],1
s8,1,0.0,27.475307,[16 13] ; [ 6 68],[ 6.19417476 22.80582524] ; [15.80582524 58.19417476],1
s3,1,1e-05,19.568082,[24  5] ; [25 48],[13.93137255 15.06862745] ; [35.06862745 37.93137255],1
s6,1,2.3e-05,17.912239,[21  8] ; [20 54],[11.54368932 17.45631068] ; [29.45631068 44.54368932],1
s4,1,0.000245,13.446835,[11 18] ; [ 6 68],[ 4.78640777 24.21359223] ; [12.21359223 61.78640777],1
v1,1,0.000661,11.596029,[19  9] ; [22 50],[11.48 16.52] ; [29.52 42.48],1
s5,1,0.000909,11.004007,[10 16] ; [ 7 65],[ 4.51020408 21.48979592] ; [12.48979592 59.51020408],1
d3,1,0.010239,6.592835,[21  7] ; [34 39],[15.24752475 12.75247525] ; [39.75247525 33.24752475],0
u3,1,0.010511,6.546204,[7 1] ; [11 19],[3.78947368 4.21052632] ; [14.21052632 15.78947368],0
v2,1,0.012753,6.203077,[15 11] ; [21 49],[ 9.75 16.25] ; [26.25 43.75],0
p6,1,0.030311,4.691584,[ 7 21] ; [ 6 64],[ 3.71428571 24.28571429] ; [ 9.28571429 60.71428571],0
p9,1,0.04249,4.115567,[21  7] ; [38 34],[16.52 11.48] ; [42.48 29.52],0
v4,1,0.046322,3.969832,[25  3] ; [52 22],[21.1372549  6.8627451] ; [55.8627451 18.1372549],0
d4,1,0.051395,3.795354,[24  4] ; [49 25],[20.03921569  7.96078431] ; [52.96078431 21.03921569],0
b2,1,0.057269,3.61476,[8 8] ; [ 9 29],[ 5.03703704 10.96296296] ; [11.96296296 26.03703704],0
b3,1,0.057269,3.61476,[8 8] ; [ 9 29],[ 5.03703704 10.96296296] ; [11.96296296 26.03703704],0
r3,1,0.066843,3.358894,[24  4] ; [50 24],[20.31372549  7.68627451] ; [53.68627451 20.31372549],0
p10,1,0.074791,3.174603,[18 10] ; [32 40],[14. 14.] ; [36. 36.],0
r2,1,0.082421,3.016503,[26  2] ; [57 16],[23.00990099  4.99009901] ; [59.99009901 13.00990099],0
n1,1,0.110448,2.547797,[6 5] ; [ 8 21],[3.85 7.15] ; [10.15 18.85],0
d1,1,0.172639,1.859875,[14 15] ; [25 49],[10.98058252 18.01941748] ; [28.01941748 45.98058252],0
d5,1,0.180823,1.790848,[21  7] ; [45 29],[18.11764706  9.88235294] ; [47.88235294 26.11764706],0
r4,1,0.20784,1.586406,[20  9] ; [41 33],[17.17475728 11.82524272] ; [43.82524272 30.17475728],0
a5,1,0.219975,1.504536,[18 11] ; [36 38],[15.2038835 13.7961165] ; [38.7961165 35.2038835],0
a3,1,0.250016,1.323215,[21  8] ; [44 29],[18.48039216 10.51960784] ; [46.51960784 26.48039216],0
a8,1,0.261013,1.263378,[ 5 23] ; [ 7 65],[ 3.36 24.64] ; [ 8.64 63.36],0
a6,1,0.26452,1.244945,[20  8] ; [44 30],[17.56862745 10.43137255] ; [46.43137255 27.56862745],0
r1,1,0.269636,1.218598,[21  8] ; [45 29],[18.58252427 10.41747573] ; [47.41747573 26.58252427],0
u2,1,0.305652,1.04937,[5 2] ; [15 15],[3.78378378 3.21621622] ; [16.21621622 13.78378378],0
p11,1,0.333646,0.934694,[16 13] ; [33 41],[13.7961165 15.2038835] ; [35.2038835 38.7961165],0
a4,1,0.341394,0.90519,[ 7 22] ; [25 49],[ 9.00970874 19.99029126] ; [22.99029126 51.00970874],0
p3,1,0.351683,0.867375,[ 8 21] ; [14 59],[ 6.25490196 22.74509804] ; [15.74509804 57.25490196],0
d2,1,0.43607,0.606602,[ 9 19] ; [30 44],[10.70588235 17.29411765] ; [28.29411765 45.70588235],0
a7,1,0.463712,0.53692,[21  8] ; [48 26],[19.42718447  9.57281553] ; [49.57281553 24.42718447],0
b4,1,0.475368,0.50947,[15 14] ; [44 30],[16.61165049 12.38834951] ; [42.38834951 31.61165049],0
p5,1,0.477155,0.505359,[ 1 27] ; [ 1 72],[ 0.55445545 27.44554455] ; [ 1.44554455 71.55445545],0
p7,1,0.487925,0.481099,[10 16] ; [22 49],[ 8.57731959 17.42268041] ; [23.42268041 47.57731959],0
p12,1,0.49465,0.466396,[ 1 28] ; [ 1 72],[ 0.56862745 28.43137255] ; [ 1.43137255 71.56862745],0
s1,1,0.532747,0.389148,[ 1 27] ; [ 5 68],[ 1.66336634 26.33663366] ; [ 4.33663366 68.66336634],0
u1,1,0.54603,0.364478,[ 2 27] ; [ 3 71],[ 1.40776699 27.59223301] ; [ 3.59223301 70.40776699],0
n5,1,0.58759,0.294123,[12 17] ; [35 39],[13.23300971 15.76699029] ; [33.76699029 40.23300971],0
b5,1,0.622933,0.241767,[18 11] ; [42 32],[16.89320388 12.10679612] ; [43.10679612 30.89320388],0
n3,1,0.62873,0.233787,[7 4] ; [16 13],[6.325 4.675] ; [16.675 12.325],0
v3,1,0.652664,0.202559,[ 7 19] ; [16 55],[ 6.16494845 19.83505155] ; [16.83505155 54.16494845],0
p2,1,0.675005,0.175803,[17 12] ; [40 34],[16.04854369 12.95145631] ; [40.95145631 33.04854369],0
p8,1,0.696435,0.152207,[ 6 21] ; [19 54],[ 6.75 20.25] ; [18.25 54.75],0
p1,1,0.717694,0.130713,[ 3 26] ; [ 6 68],[ 2.53398058 26.46601942] ; [ 6.46601942 67.53398058],0
a2,1,0.822624,0.050253,[ 4 25] ; [ 9 65],[ 3.66019417 25.33980583] ; [ 9.33980583 64.66019417],0
b1,1,0.928733,0.007999,[14 15] ; [35 39],[13.7961165 15.2038835] ; [35.2038835 38.7961165],0
n4,1,0.97284,0.001159,[15 14] ; [38 36],[14.9223301 14.0776699] ; [38.0776699 35.9223301],0
