Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.000601,11.77266,[ 2 14] ; [52 36],[8.30769231 7.69230769] ; [45.69230769 42.30769231],1
s2,1,0.00094,10.942056,[47 16] ; [177 163],[35.01736973 27.98263027] ; [188.98263027 151.01736973],1
s5,1,0.000965,10.894165,[35 25] ; [119 214],[23.51145038 36.48854962] ; [130.48854962 202.51145038],1
v3,1,0.002199,9.375312,[22 42] ; [184 149],[33.20906801 30.79093199] ; [172.79093199 160.20906801],0
v2,1,0.006472,7.413972,[35 29] ; [240  94],[44.22110553 19.77889447] ; [230.77889447 103.22110553],0
s6,1,0.007073,7.254331,[53  8] ; [238 101],[44.3775 16.6225] ; [246.6225  92.3775],0
n4,1,0.02166,5.272878,[49 16] ; [296  46],[55.0982801  9.9017199] ; [289.9017199  52.0982801],0
s3,1,0.024844,5.034719,[45 19] ; [186 151],[36.86783042 27.13216958] ; [194.13216958 142.86783042],0
a8,1,0.030038,4.707098,[ 4 56] ; [ 55 252],[ 9.64577657 50.35422343] ; [ 49.35422343 257.64577657],0
a6,1,0.035674,4.412628,[37 28] ; [240 102],[44.23832924 20.76167076] ; [232.76167076 109.23832924],0
b3,1,0.094934,2.788656,[11 27] ; [ 98 128],[15.68939394 22.31060606] ; [ 93.31060606 132.68939394],0
b2,1,0.094934,2.788656,[11 27] ; [ 98 128],[15.68939394 22.31060606] ; [ 93.31060606 132.68939394],0
n1,1,0.10144,2.682758,[ 3 10] ; [26 28],[5.62686567 7.37313433] ; [23.37313433 30.62686567],0
p2,1,0.117326,2.452658,[53 12] ; [302  39],[56.83497537  8.16502463] ; [298.16502463  42.83497537],0
v4,1,0.138775,2.191487,[61  4] ; [333   9],[62.92383292  2.07616708] ; [331.07616708  10.92383292],0
s8,1,0.244423,1.3549,[38 27] ; [172 168],[33.7037037 31.2962963] ; [176.2962963 163.7037037],0
d4,1,0.301657,1.066857,[52 13] ; [291  51],[54.77886978 10.22113022] ; [288.22113022  53.77886978],0
p12,1,0.302737,1.062097,[ 4 61] ; [ 35 306],[ 6.24384236 58.75615764] ; [ 32.75615764 308.24384236],0
n3,1,0.367997,0.810416,[8 5] ; [40 14],[9.31343284 3.68656716] ; [38.68656716 15.31343284],0
r1,1,0.372052,0.7968,[52 13] ; [288  53],[54.43349754 10.56650246] ; [285.56650246  55.43349754],0
s7,1,0.380105,0.770361,[38 26] ; [173 151],[34.80412371 29.19587629] ; [176.19587629 147.80412371],0
p11,1,0.395696,0.721366,[52 13] ; [289  54],[54.32598039 10.67401961] ; [286.67401961  56.32598039],0
u4,1,0.409389,0.680574,[ 1 64] ; [ 12 331],[ 2.07107843 62.92892157] ; [ 10.92892157 332.07107843],0
n5,1,0.413891,0.667596,[54 11] ; [298  45],[56.07843137  8.92156863] ; [295.92156863  47.07843137],0
p10,1,0.430265,0.622109,[59  6] ; [295  43],[57.09677419  7.90322581] ; [296.90322581  41.09677419],0
u1,1,0.445749,0.581439,[16 49] ; [ 70 273],[13.70098039 51.29901961] ; [ 72.29901961 270.70098039],0
d3,1,0.456966,0.553316,[49 16] ; [243 100],[46.51960784 18.48039216] ; [245.48039216  97.51960784],0
r4,1,0.527028,0.400118,[62  3] ; [320  23],[60.85784314  4.14215686] ; [321.14215686  21.85784314],0
d5,1,0.535009,0.384869,[56  9] ; [284  58],[54.2997543 10.7002457] ; [285.7002457  56.2997543],0
a2,1,0.560442,0.338939,[15 50] ; [ 91 252],[16.8872549 48.1127451] ; [ 89.1127451 253.8872549],0
b4,1,0.605395,0.266935,[37 28] ; [207 136],[38.87254902 26.12745098] ; [205.12745098 137.87254902],0
p3,1,0.624684,0.239338,[39 26] ; [194 148],[37.21130221 27.78869779] ; [195.78869779 146.21130221],0
p6,1,0.667018,0.18511,[27 37] ; [152 185],[28.56857855 35.43142145] ; [150.43142145 186.56857855],0
n2,1,0.683199,0.166547,[11  2] ; [43 11],[10.47761194  2.52238806] ; [43.52238806 10.47761194],0
p7,1,0.695002,0.153724,[46 17] ; [235  98],[44.70454545 18.29545455] ; [236.29545455  96.70454545],0
a5,1,0.699369,0.149129,[52 13] ; [267  76],[50.82107843 14.17892157] ; [268.17892157  74.82107843],0
p4,1,0.70799,0.140292,[46 19] ; [234 108],[44.71744472 20.28255528] ; [235.28255528 106.71744472],0
p5,1,0.720796,0.127732,[ 9 56] ; [ 53 287],[ 9.95061728 55.04938272] ; [ 52.04938272 287.95061728],0
p9,1,0.736849,0.112915,[59  6] ; [303  36],[58.24257426  6.75742574] ; [303.75742574  35.24257426],0
a4,1,0.74065,0.109556,[33 32] ; [165 175],[31.77777778 33.22222222] ; [166.22222222 173.77777778],0
a7,1,0.779334,0.078505,[47 18] ; [253  89],[47.91154791 17.08845209] ; [252.08845209  89.91154791],0
b1,1,0.799316,0.064634,[24 41] ; [121 222],[23.1004902 41.8995098] ; [121.8995098 221.1004902],0
u3,1,0.804772,0.061096,[9 7] ; [53 36],[9.44761905 6.55238095] ; [52.55238095 36.44761905],0
r2,1,0.851729,0.034936,[63  2] ; [327  12],[62.74752475  2.25247525] ; [327.25247525  11.74752475],0
a3,1,0.908045,0.013341,[49 16] ; [254  86],[48.62962963 16.37037037] ; [254.37037037  85.62962963],0
p1,1,0.916344,0.011033,[ 6 59] ; [ 33 309],[ 6.22850123 58.77149877] ; [ 32.77149877 309.22850123],0
d1,1,0.916546,0.01098,[41 24] ; [214 129],[40.625 24.375] ; [214.375 128.625],0
s1,1,0.940866,0.005503,[ 2 63] ; [ 11 327],[ 2.09677419 62.90322581] ; [ 10.90322581 327.09677419],0
r3,1,0.953263,0.003435,[63  2] ; [331  11],[62.92383292  2.07616708] ; [331.07616708  10.92383292],0
p8,1,0.955313,0.00314,[38 25] ; [202 135],[37.8 25.2] ; [202.2 134.8],0
d2,1,0.97825,0.000743,[33 32] ; [173 169],[32.8992629 32.1007371] ; [173.1007371 168.8992629],0
a1,1,0.98619,0.0003,[ 3 62] ; [ 16 327],[ 3.02696078 61.97303922] ; [ 15.97303922 327.02696078],0
b5,1,0.987399,0.000249,[41 24] ; [216 127],[40.94362745 24.05637255] ; [216.05637255 126.94362745],0
