Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.012735,6.205579,[ 6 11] ; [25 10],[10.13461538  6.86538462] ; [20.86538462 14.13461538],0
s7,1,0.036435,4.376633,[ 6 10] ; [24 11],[9.41176471 6.58823529] ; [20.58823529 14.41176471],0
n4,1,0.045415,4.003145,[12  5] ; [33  3],[14.43396226  2.56603774] ; [30.56603774  5.43396226],0
s3,1,0.061447,3.497879,[ 6 11] ; [22 13],[9.15384615 7.84615385] ; [18.84615385 16.15384615],0
r1,1,0.074576,3.179314,[8 9] ; [26 10],[10.90566038  6.09433962] ; [23.09433962 12.90566038],0
s5,1,0.103712,2.647517,[ 2 12] ; [13 21],[4.375 9.625] ; [10.625 23.375],0
p10,1,0.108294,2.578936,[9 8] ; [27  9],[11.54716981  5.45283019] ; [24.45283019 11.54716981],0
s8,1,0.119416,2.424962,[ 7 10] ; [23 13],[9.62264151 7.37735849] ; [20.37735849 15.62264151],0
r4,1,0.127218,2.326133,[13  4] ; [33  3],[14.75471698  2.24528302] ; [31.24528302  4.75471698],0
p1,1,0.139189,2.186902,[ 1 16] ; [ 8 28],[ 2.88679245 14.11320755] ; [ 6.11320755 29.88679245],0
a4,1,0.158071,1.992583,[12  5] ; [18 18],[9.62264151 7.37735849] ; [20.37735849 15.62264151],0
p4,1,0.166517,1.914026,[9 8] ; [26 10],[11.22641509  5.77358491] ; [23.77358491 12.22641509],0
p2,1,0.193537,1.690486,[15  2] ; [26 10],[13.1509434  3.8490566] ; [27.8490566  8.1509434],0
b2,1,0.23314,1.421602,[5 2] ; [11 13],[3.61290323 3.38709677] ; [12.38709677 11.61290323],0
b3,1,0.23314,1.421602,[5 2] ; [11 13],[3.61290323 3.38709677] ; [12.38709677 11.61290323],0
v1,1,0.233953,1.416667,[ 7 10] ; [20 14],[9. 8.] ; [18. 16.],0
n3,1,0.260531,1.265934,[3 2] ; [11  2],[3.88888889 1.11111111] ; [10.11111111  2.88888889],0
p11,1,0.329342,0.951482,[10  7] ; [26 10],[11.54716981  5.45283019] ; [24.45283019 11.54716981],0
d5,1,0.382934,0.76126,[13  4] ; [31  5],[14.11320755  2.88679245] ; [29.88679245  6.11320755],0
n6,1,0.382934,0.76126,[13  4] ; [31  5],[14.11320755  2.88679245] ; [29.88679245  6.11320755],0
s4,1,0.408512,0.683126,[ 4 13] ; [ 5 30],[ 2.94230769 14.05769231] ; [ 6.05769231 28.94230769],0
u2,1,0.408961,0.681818,[2 2] ; [8 3],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
u3,1,0.408961,0.681818,[2 2] ; [8 3],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
a7,1,0.423644,0.640184,[14  3] ; [26 10],[12.83018868  4.16981132] ; [27.16981132  8.83018868],0
