Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.1e-05,17.361135,[61 82] ; [30  7],[72.29444444 70.70555556] ; [18.70555556 18.29444444],1
s2,1,0.00023,13.571328,[ 40 101] ; [23 15],[49.62569832 91.37430168] ; [13.37430168 24.62569832],1
a8,1,0.000364,12.709678,[  8 123] ; [ 9 24],[ 13.57926829 117.42073171] ; [ 3.42073171 29.57926829],1
s7,1,0.001312,10.325076,[37 99] ; [20 16],[45.06976744 90.93023256] ; [11.93023256 24.06976744],0
s3,1,0.002758,8.960736,[56 84] ; [25 12],[64.06779661 75.93220339] ; [16.93220339 20.06779661],0
p5,1,0.009013,6.82032,[  4 139] ; [ 5 33],[  7.11049724 135.88950276] ; [ 1.88950276 36.11049724],0
s4,1,0.036194,4.387951,[ 15 126] ; [ 9 29],[ 18.90502793 122.09497207] ; [ 5.09497207 32.90502793],0
v2,1,0.050281,3.832064,[54 85] ; [21 16],[59.23295455 79.76704545] ; [15.76704545 21.23295455],0
b4,1,0.107526,2.590215,[81 62] ; [27 11],[85.32596685 57.67403315] ; [22.67403315 15.32596685],0
n2,1,0.111598,2.53144,[35 22] ; [11  2],[37.45714286 19.54285714] ; [8.54285714 4.45714286],0
p4,1,0.113681,2.502286,[51 91] ; [19 19],[55.22222222 86.77777778] ; [14.77777778 23.22222222],0
s8,1,0.133914,2.246536,[ 33 110] ; [13 24],[ 36.54444444 106.45555556] ; [ 9.45555556 27.54444444],0
d4,1,0.154037,2.031813,[102  39] ; [31  6],[105.35393258  35.64606742] ; [27.64606742  9.35393258],0
n6,1,0.159895,1.975223,[90 52] ; [28  9],[93.60893855 48.39106145] ; [24.39106145 12.60893855],0
p9,1,0.173148,1.855472,[49 93] ; [16 18],[52.44318182 89.55681818] ; [12.55681818 21.44318182],0
a6,1,0.181878,1.78221,[88 54] ; [19 19],[84.41111111 57.58888889] ; [22.58888889 15.41111111],0
u2,1,0.211601,1.560441,[25 28] ; [ 4 10],[22.94029851 30.05970149] ; [6.05970149 7.94029851],0
a7,1,0.218102,1.516819,[93 50] ; [20 17],[89.77222222 53.22777778] ; [23.22777778 13.77222222],0
p6,1,0.231732,1.430198,[ 35 105] ; [ 6 32],[ 32.24719101 107.75280899] ; [ 8.75280899 29.24719101],0
n3,1,0.255076,1.295284,[33 22] ; [10  3],[34.77941176 20.22058824] ; [8.22058824 4.77941176],0
d5,1,0.26213,1.257475,[99 43] ; [30  8],[101.76666667  40.23333333] ; [27.23333333 10.76666667],0
p3,1,0.269522,1.219179,[ 43 100] ; [15 23],[45.82320442 97.17679558] ; [12.17679558 25.82320442],0
v3,1,0.296272,1.090901,[39 96] ; [14 23],[41.59883721 93.40116279] ; [11.40116279 25.59883721],0
a5,1,0.312309,1.020887,[85 58] ; [26 12],[87.6961326 55.3038674] ; [23.3038674 14.6961326],0
p12,1,0.314069,1.013485,[  1 141] ; [ 1 37],[  1.57777778 140.42222222] ; [ 0.42222222 37.57777778],0
p7,1,0.320881,0.985353,[60 82] ; [19 18],[62.67039106 79.32960894] ; [16.32960894 20.67039106],0
a4,1,0.327256,0.959725,[58 83] ; [19 19],[60.65363128 80.34636872] ; [16.34636872 21.65363128],0
b5,1,0.35018,0.872804,[86 57] ; [26 12],[88.48618785 54.51381215] ; [23.51381215 14.48618785],0
r3,1,0.391339,0.734778,[124  19] ; [34  3],[125.52222222  17.47777778] ; [32.47777778  4.52222222],0
u3,1,0.426118,0.633381,[32 23] ; [7 8],[30.64285714 24.35714286] ; [8.35714286 6.64285714],0
d2,1,0.441192,0.59318,[70 71] ; [21 16],[72.08426966 68.91573034] ; [18.91573034 18.08426966],0
p11,1,0.442276,0.590371,[69 74] ; [21 17],[71.10497238 71.89502762] ; [18.89502762 19.10497238],0
v1,1,0.509959,0.434152,[53 89] ; [16 21],[54.73743017 87.26256983] ; [14.26256983 22.73743017],0
p2,1,0.525015,0.404031,[86 57] ; [25 13],[87.6961326 55.3038674] ; [23.3038674 14.6961326],0
p8,1,0.541095,0.373514,[47 95] ; [10 26],[45.47191011 96.52808989] ; [11.52808989 24.47191011],0
r1,1,0.583855,0.300044,[106  36] ; [30  8],[107.28888889  34.71111111] ; [28.71111111  9.28888889],0
b1,1,0.617496,0.249403,[65 78] ; [19 19],[66.36464088 76.63535912] ; [17.63535912 20.36464088],0
v4,1,0.639737,0.219086,[123  19] ; [34  4],[123.85555556  18.14444444] ; [33.14444444  4.85555556],0
n4,1,0.656133,0.198255,[91 52] ; [25 12],[92.15555556 50.84444444] ; [23.84444444 13.15555556],0
a1,1,0.703237,0.145126,[ 10 133] ; [ 2 36],[  9.48066298 133.51933702] ; [ 2.51933702 35.48066298],0
s1,1,0.732583,0.116753,[  9 133] ; [ 3 35],[  9.46666667 132.53333333] ; [ 2.53333333 35.46666667],0
n5,1,0.757629,0.095231,[81 62] ; [22 15],[81.82777778 61.17222222] ; [21.17222222 15.82777778],0
d3,1,0.76551,0.088955,[86 56] ; [22 16],[85.2 56.8] ; [22.8 15.2],0
r4,1,0.805504,0.060629,[118  25] ; [32  6],[118.50828729  24.49171271] ; [31.49171271  6.50828729],0
p1,1,0.823919,0.049509,[ 10 132] ; [ 3 34],[ 10.31284916 131.68715084] ; [ 2.68715084 34.31284916],0
n1,1,0.880551,0.022581,[25 32] ; [6 7],[25.24285714 31.75714286] ; [5.75714286 7.24285714],0
b3,1,0.892971,0.018103,[26 57] ; [ 9 21],[25.7079646 57.2920354] ; [ 9.2920354 20.7079646],0
b2,1,0.892971,0.018103,[26 57] ; [ 9 21],[25.7079646 57.2920354] ; [ 9.2920354 20.7079646],0
d1,1,0.908473,0.013217,[70 73] ; [19 19],[70.31491713 72.68508287] ; [18.68508287 19.31491713],0
a2,1,0.916365,0.011028,[ 29 114] ; [ 8 30],[ 29.2320442 113.7679558] ; [ 7.7679558 30.2320442],0
u1,1,0.951085,0.003763,[ 22 121] ; [ 6 32],[ 22.12154696 120.87845304] ; [ 5.87845304 32.12154696],0
a3,1,0.98305,0.000451,[88 54] ; [23 14],[88.05586592 53.94413408] ; [22.94413408 14.05586592],0
