Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.5e-05,18.725076,[45  9] ; [ 3 10],[38.68656716 15.31343284] ; [9.31343284 3.68656716],1
v4,1,0.000116,14.851041,[51  3] ; [7 6],[46.74626866  7.25373134] ; [11.25373134  1.74626866],1
r1,1,0.005134,7.831482,[39 15] ; [4 9],[34.65671642 19.34328358] ; [8.34328358 4.65671642],0
r3,1,0.041173,4.168896,[49  5] ; [9 4],[46.74626866  7.25373134] ; [11.25373134  1.74626866],0
v2,1,0.051839,3.780964,[18 33] ; [ 1 12],[15.140625 35.859375] ; [3.859375 9.140625],0
b1,1,0.082014,3.024526,[19 35] ; [8 5],[21.76119403 32.23880597] ; [5.23880597 7.76119403],0
v3,1,0.113272,2.507972,[15 37] ; [ 1 12],[12.8 39.2] ; [3.2 9.8],0
s3,1,0.1538,2.03415,[28 25] ; [4 9],[25.6969697 27.3030303] ; [6.3030303 6.6969697],0
b4,1,0.171869,1.866565,[26 28] ; [9 4],[28.20895522 25.79104478] ; [6.79104478 6.20895522],0
p11,1,0.199758,1.644145,[39 15] ; [7 6],[37.07462687 16.92537313] ; [8.92537313 4.07462687],0
a1,1,0.22601,1.465798,[ 3 51] ; [ 2 11],[ 4.02985075 49.97014925] ; [ 0.97014925 12.02985075],0
b5,1,0.237121,1.397629,[32 22] ; [10  3],[33.85074627 20.14925373] ; [8.14925373 4.85074627],0
u3,1,0.245224,1.350309,[13 14] ; [2 6],[11.57142857 15.42857143] ; [3.42857143 4.57142857],0
s7,1,0.252511,1.309355,[12 40] ; [ 1 11],[10.5625 41.4375] ; [2.4375 9.5625],0
p3,1,0.285764,1.139473,[21 33] ; [ 3 10],[19.34328358 34.65671642] ; [4.65671642 8.34328358],0
a6,1,0.323711,0.973896,[29 25] ; [5 8],[27.40298507 26.59701493] ; [6.59701493 6.40298507],0
d3,1,0.326283,0.963593,[21 33] ; [7 6],[22.56716418 31.43283582] ; [5.43283582 7.56716418],0
n4,1,0.341244,0.905752,[20 34] ; [ 3 10],[18.53731343 35.46268657] ; [4.46268657 8.53731343],0
p9,1,0.38676,0.749106,[36 18] ; [7 6],[34.65671642 19.34328358] ; [8.34328358 4.65671642],0
a7,1,0.391897,0.733047,[32 22] ; [6 7],[30.62686567 23.37313433] ; [7.37313433 5.62686567],0
s6,1,0.406658,0.688549,[23 30] ; [4 9],[21.68181818 31.31818182] ; [5.31818182 7.68181818],0
n2,1,0.418222,0.655306,[11  3] ; [3 2],[10.31578947  3.68421053] ; [3.68421053 1.31578947],0
a5,1,0.435242,0.608794,[23 31] ; [4 9],[21.76119403 32.23880597] ; [5.23880597 7.76119403],0
b3,1,0.4698,0.522447,[10 22] ; [1 5],[ 9.26315789 22.73684211] ; [1.73684211 4.26315789],0
b2,1,0.4698,0.522447,[10 22] ; [1 5],[ 9.26315789 22.73684211] ; [1.73684211 4.26315789],0
a4,1,0.470326,0.52121,[ 8 46] ; [ 3 10],[ 8.86567164 45.13432836] ; [ 2.13432836 10.86567164],0
a3,1,0.492767,0.470479,[26 27] ; [5 8],[24.89393939 28.10606061] ; [6.10606061 6.89393939],0
p5,1,0.532447,0.38972,[ 2 52] ; [ 1 12],[ 2.41791045 51.58208955] ; [ 0.58208955 12.41791045],0
p12,1,0.532447,0.38972,[ 2 52] ; [ 1 12],[ 2.41791045 51.58208955] ; [ 0.58208955 12.41791045],0
n6,1,0.544795,0.366725,[34 20] ; [7 6],[33.04477612 20.95522388] ; [7.95522388 5.04477612],0
p4,1,0.544795,0.366725,[20 34] ; [6 7],[20.95522388 33.04477612] ; [5.04477612 7.95522388],0
p6,1,0.546213,0.364146,[12 40] ; [ 2 11],[11.2 40.8] ; [ 2.8 10.2],0
p10,1,0.624661,0.239371,[25 29] ; [7 6],[25.79104478 28.20895522] ; [6.20895522 6.79104478],0
u2,1,0.642067,0.216049,[16 11] ; [4 4],[15.42857143 11.57142857] ; [4.57142857 3.42857143],0
s2,1,0.661603,0.191582,[17 36] ; [5 8],[17.66666667 35.33333333] ; [4.33333333 8.66666667],0
a8,1,0.74847,0.102821,[ 6 46] ; [ 1 11],[ 5.6875 46.3125] ; [ 1.3125 10.6875],0
n1,1,0.763573,0.090476,[ 2 12] ; [1 4],[ 2.21052632 11.78947368] ; [0.78947368 4.21052632],0
s5,1,0.824866,0.04897,[ 9 41] ; [ 2 11],[ 8.73015873 41.26984127] ; [ 2.26984127 10.73015873],0
p8,1,0.824948,0.048923,[19 35] ; [5 8],[19.34328358 34.65671642] ; [4.65671642 8.34328358],0
p2,1,0.829901,0.046151,[39 15] ; [9 4],[38.68656716 15.31343284] ; [9.31343284 3.68656716],0
p7,1,0.841251,0.040118,[31 22] ; [8 5],[31.31818182 21.68181818] ; [7.68181818 5.31818182],0
n3,1,0.888153,0.01978,[10  3] ; [4 1],[10.11111111  2.88888889] ; [3.88888889 1.11111111],0
v1,1,0.894498,0.017587,[17 35] ; [4 9],[16.8 35.2] ; [4.2 8.8],0
d4,1,0.89717,0.016702,[28 26] ; [7 6],[28.20895522 25.79104478] ; [6.79104478 6.20895522],0
s8,1,0.939654,0.005731,[13 41] ; [ 3 10],[12.89552239 41.10447761] ; [3.10447761 9.89552239],0
