Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.001528,10.044643,[ 2 13] ; [19 11],[7. 8.] ; [14. 16.],0
v2,1,0.003685,8.432881,[11  4] ; [ 8 21],[6.47727273 8.52272727] ; [12.52272727 16.47727273],0
s5,1,0.017706,5.625,[6 9] ; [ 3 27],[ 3. 12.] ; [ 6. 24.],0
p4,1,0.019624,5.445,[12  3] ; [13 17],[8.33333333 6.66666667] ; [16.66666667 13.33333333],0
a3,1,0.033895,4.5,[10  5] ; [10 20],[6.66666667 8.33333333] ; [13.33333333 16.66666667],0
a6,1,0.057224,3.616071,[11  4] ; [13 17],[8. 7.] ; [16. 14.],0
d4,1,0.068526,3.317972,[13  2] ; [18 12],[10.33333333  4.66666667] ; [20.66666667  9.33333333],0
u3,1,0.069816,3.287338,[4 1] ; [ 7 13],[2.2 2.8] ; [ 8.8 11.2],0
n3,1,0.078111,3.103765,[3 6] ; [8 3],[4.95 4.05] ; [6.05 4.95],0
n6,1,0.078127,3.103448,[7 8] ; [22  8],[9.66666667 5.33333333] ; [19.33333333 10.66666667],0
a5,1,0.087761,2.91498,[9 6] ; [10 20],[6.33333333 8.66666667] ; [12.66666667 17.33333333],0
d1,1,0.110972,2.540323,[7 8] ; [ 7 23],[ 4.66666667 10.33333333] ; [ 9.33333333 20.66666667],0
p5,1,0.145894,2.114662,[ 4 11] ; [ 3 27],[ 2.33333333 12.66666667] ; [ 4.66666667 25.33333333],0
p6,1,0.160237,1.971989,[5 9] ; [ 5 25],[ 3.18181818 10.81818182] ; [ 6.81818182 23.18181818],0
s7,1,0.192884,1.695447,[6 8] ; [ 6 20],[4.2 9.8] ; [ 7.8 18.2],0
a4,1,0.204894,1.607143,[ 5 10] ; [ 5 25],[ 3.33333333 11.66666667] ; [ 6.66666667 23.33333333],0
b5,1,0.204894,1.607143,[6 9] ; [18 12],[8. 7.] ; [16. 14.],0
p12,1,0.204894,1.607143,[ 2 13] ; [ 1 29],[ 1. 14.] ; [ 2. 28.],0
p9,1,0.226101,1.465222,[12  3] ; [18 11],[10.22727273  4.77272727] ; [19.77272727  9.22727273],0
p11,1,0.25493,1.296083,[12  3] ; [19 11],[10.33333333  4.66666667] ; [20.66666667  9.33333333],0
p10,1,0.277006,1.181723,[11  4] ; [17 13],[9.33333333 5.66666667] ; [18.66666667 11.33333333],0
p7,1,0.288844,1.125,[10  5] ; [15 15],[8.33333333 6.66666667] ; [16.66666667 13.33333333],0
v3,1,0.326541,0.962567,[ 5 10] ; [ 6 24],[ 3.66666667 11.33333333] ; [ 7.33333333 22.66666667],0
b1,1,0.37841,0.775862,[11  4] ; [18 12],[9.66666667 5.33333333] ; [19.33333333 10.66666667],0
d5,1,0.37841,0.775862,[11  4] ; [18 12],[9.66666667 5.33333333] ; [19.33333333 10.66666667],0
r1,1,0.37841,0.775862,[ 4 11] ; [12 18],[5.33333333 9.66666667] ; [10.66666667 19.33333333],0
a1,1,0.458816,0.54878,[ 2 13] ; [ 2 28],[ 1.33333333 13.66666667] ; [ 2.66666667 27.33333333],0
s2,1,0.474549,0.511364,[ 5 10] ; [ 7 23],[ 4. 11.] ; [ 8. 22.],0
d2,1,0.474549,0.511364,[ 5 10] ; [ 7 23],[ 4. 11.] ; [ 8. 22.],0
n5,1,0.518605,0.416667,[8 7] ; [19 11],[9. 6.] ; [18. 12.],0
d3,1,0.518605,0.416667,[10  5] ; [17 13],[9. 6.] ; [18. 12.],0
a7,1,0.526168,0.401786,[9 6] ; [15 15],[8. 7.] ; [16. 14.],0
p3,1,0.540751,0.37415,[6 8] ; [10 20],[5.09090909 8.90909091] ; [10.90909091 19.09090909],0
s1,1,0.609004,0.261628,[ 1 14] ; [ 1 29],[ 0.66666667 14.33333333] ; [ 1.33333333 28.66666667],0
s8,1,0.623743,0.240642,[ 3 12] ; [ 8 22],[ 3.66666667 11.33333333] ; [ 7.33333333 22.66666667],0
p2,1,0.623743,0.240642,[12  3] ; [22  8],[11.33333333  3.66666667] ; [22.66666667  7.33333333],0
u2,1,0.656005,0.198413,[4 1] ; [14  6],[3.6 1.4] ; [14.4  5.6],0
n4,1,0.673214,0.177866,[7 8] ; [16 14],[7.66666667 7.33333333] ; [15.33333333 14.66666667],0
s6,1,0.673214,0.177866,[8 7] ; [14 16],[7.33333333 7.66666667] ; [14.66666667 15.33333333],0
b3,1,0.68591,0.163549,[3 5] ; [ 5 12],[2.56 5.44] ; [ 5.44 11.56],0
b2,1,0.68591,0.163549,[3 5] ; [ 5 12],[2.56 5.44] ; [ 5.44 11.56],0
n2,1,0.713628,0.13468,[5 4] ; [7 4],[5.4 3.6] ; [6.6 4.4],0
s4,1,0.799846,0.064286,[ 3 12] ; [ 7 23],[ 3.33333333 11.66666667] ; [ 6.66666667 23.33333333],0
s3,1,0.816099,0.054087,[ 4 11] ; [ 9 21],[ 4.33333333 10.66666667] ; [ 8.66666667 21.33333333],0
n1,1,0.822187,0.050505,[2 7] ; [2 9],[1.8 7.2] ; [2.2 8.8],0
p8,1,0.832004,0.045,[7 8] ; [13 17],[6.66666667 8.33333333] ; [13.33333333 16.66666667],0
r3,1,1.0,0.0,[12  3] ; [24  6],[12.  3.] ; [24.  6.],0
r4,1,1.0,0.0,[6 9] ; [12 18],[6. 9.] ; [12. 18.],0
