Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5e-06,20.971888,[13  5] ; [11 54],[ 5.20481928 12.79518072] ; [18.79518072 46.20481928],1
s6,1,0.000144,14.451613,[11  7] ; [11 55],[ 4.71428571 13.28571429] ; [17.28571429 48.71428571],1
p2,1,0.002624,9.051955,[14  4] ; [25 41],[8.35714286 9.64285714] ; [30.64285714 35.35714286],0
p3,1,0.009497,6.726867,[ 7 11] ; [ 8 57],[ 3.25301205 14.74698795] ; [11.74698795 53.25301205],0
u3,1,0.009696,6.689877,[4 1] ; [ 7 24],[1.52777778 3.47222222] ; [ 9.47222222 21.52777778],0
s7,1,0.017578,5.637709,[8 8] ; [13 50],[ 4.25316456 11.74683544] ; [16.74683544 46.25316456],0
d1,1,0.018381,5.559504,[13  5] ; [27 39],[8.57142857 9.42857143] ; [31.42857143 34.57142857],0
p6,1,0.018669,5.532288,[ 4 14] ; [ 3 61],[ 1.53658537 16.46341463] ; [ 5.46341463 58.53658537],0
v2,1,0.023342,5.142857,[10  8] ; [17 46],[ 6. 12.] ; [21. 42.],0
p9,1,0.0322,4.587814,[13  5] ; [27 35],[9. 9.] ; [31. 31.],0
s8,1,0.037235,4.339635,[ 5 13] ; [ 6 60],[ 2.35714286 15.64285714] ; [ 8.64285714 57.35714286],0
s4,1,0.037235,4.339635,[ 5 13] ; [ 6 60],[ 2.35714286 15.64285714] ; [ 8.64285714 57.35714286],0
p4,1,0.04168,4.148148,[ 7 11] ; [11 55],[ 3.85714286 14.14285714] ; [14.14285714 51.85714286],0
r3,1,0.043607,4.071697,[13  5] ; [29 35],[9.2195122 8.7804878] ; [32.7804878 31.2195122],0
n6,1,0.04702,3.944656,[14  3] ; [37 29],[10.44578313  6.55421687] ; [40.55421687 25.44578313],0
v1,1,0.054868,3.686095,[8 9] ; [15 49],[ 4.82716049 12.17283951] ; [18.17283951 45.82716049],0
p11,1,0.059058,3.563636,[11  7] ; [24 42],[ 7.5 10.5] ; [27.5 38.5],0
d3,1,0.073461,3.203937,[13  5] ; [32 34],[9.64285714 8.35714286] ; [35.35714286 30.64285714],0
s1,1,0.076729,3.132867,[ 3 15] ; [ 3 63],[ 1.28571429 16.71428571] ; [ 4.71428571 61.28571429],0
s5,1,0.080267,3.059478,[ 5 12] ; [ 8 58],[ 2.6626506 14.3373494] ; [10.3373494 55.6626506],0
n3,1,0.081608,3.032581,[6 2] ; [13 19],[3.8 4.2] ; [15.2 16.8],0
n1,1,0.150111,2.071118,[1 7] ; [13 20],[2.73170732 5.26829268] ; [11.26829268 21.73170732],0
a3,1,0.162381,1.95191,[13  5] ; [35 30],[10.40963855  7.59036145] ; [37.59036145 27.40963855],0
d5,1,0.215565,1.533656,[14  4] ; [41 25],[11.78571429  6.21428571] ; [43.21428571 22.78571429],0
b3,1,0.288379,1.127173,[3 7] ; [19 20],[4.48979592 5.51020408] ; [17.51020408 21.48979592],0
b2,1,0.288379,1.127173,[3 7] ; [19 20],[4.48979592 5.51020408] ; [17.51020408 21.48979592],0
n5,1,0.3092,1.034091,[13  5] ; [39 27],[11.14285714  6.85714286] ; [40.85714286 25.14285714],0
d2,1,0.313974,1.013885,[10  8] ; [27 37],[8.12195122 9.87804878] ; [28.87804878 35.12195122],0
d4,1,0.346737,0.885364,[14  4] ; [43 22],[12.36144578  5.63855422] ; [44.63855422 20.36144578],0
p8,1,0.381144,0.76701,[ 1 16] ; [ 9 57],[ 2.04819277 14.95180723] ; [ 7.95180723 58.04819277],0
p10,1,0.447083,0.578036,[9 9] ; [26 39],[ 7.59036145 10.40963855] ; [27.40963855 37.59036145],0
b4,1,0.454548,0.559287,[10  8] ; [43 23],[11.35714286  6.64285714] ; [41.64285714 24.35714286],0
u1,1,0.460821,0.543901,[ 2 16] ; [ 4 62],[ 1.28571429 16.71428571] ; [ 4.71428571 61.28571429],0
a5,1,0.469312,0.523595,[11  7] ; [34 32],[9.64285714 8.35714286] ; [35.35714286 30.64285714],0
a6,1,0.469312,0.523595,[ 7 11] ; [32 34],[8.35714286 9.64285714] ; [30.64285714 35.35714286],0
r1,1,0.501138,0.452525,[ 4 14] ; [20 46],[ 5.14285714 12.85714286] ; [18.85714286 47.14285714],0
r2,1,0.530034,0.394326,[11  6] ; [36 28],[9.86419753 7.13580247] ; [37.13580247 26.86419753],0
n4,1,0.559655,0.340301,[12  6] ; [39 27],[10.92857143  7.07142857] ; [40.07142857 25.92857143],0
u2,1,0.580832,0.304891,[1 4] ; [10 21],[1.52777778 3.47222222] ; [ 9.47222222 21.52777778],0
a1,1,0.612352,0.256764,[ 3 15] ; [ 8 58],[ 2.35714286 15.64285714] ; [ 8.64285714 57.35714286],0
a7,1,0.719115,0.129342,[ 8 10] ; [32 33],[8.6746988 9.3253012] ; [31.3253012 33.6746988],0
p1,1,0.778319,0.079248,[ 2 16] ; [ 9 57],[ 2.35714286 15.64285714] ; [ 8.64285714 57.35714286],0
a2,1,0.778319,0.079248,[ 2 16] ; [ 9 57],[ 2.35714286 15.64285714] ; [ 8.64285714 57.35714286],0
b5,1,0.819506,0.052066,[9 9] ; [31 35],[8.57142857 9.42857143] ; [31.42857143 34.57142857],0
p5,1,0.858427,0.031818,[ 1 17] ; [ 3 63],[ 0.85714286 17.14285714] ; [ 3.14285714 62.85714286],0
v3,1,0.926239,0.008571,[ 4 14] ; [14 52],[ 3.85714286 14.14285714] ; [14.14285714 51.85714286],0
n2,1,0.938689,0.005916,[4 4] ; [16 17],[3.90243902 4.09756098] ; [16.09756098 16.90243902],0
v4,1,0.969481,0.001464,[10  8] ; [37 29],[10.07142857  7.92857143] ; [36.92857143 29.07142857],0
a4,1,0.973702,0.001087,[ 7 11] ; [25 40],[ 6.93975904 11.06024096] ; [25.06024096 39.93975904],0
b1,1,1.0,0.0,[9 9] ; [33 33],[9. 9.] ; [33. 33.],0
