Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.135554,[92 16] ; [10 13],[84.09160305 23.90839695] ; [17.90839695  5.09160305],1
p9,1,0.002072,9.484825,[92 14] ; [13  9],[86.953125 19.046875] ; [18.046875  3.953125],0
p2,1,0.0028,8.93344,[88 19] ; [11 10],[82.7578125 24.2421875] ; [16.2421875  4.7578125],0
b1,1,0.005389,7.743951,[55 53] ; [19  4],[61.00763359 46.99236641] ; [12.99236641 10.00763359],0
v4,1,0.00615,7.505764,[100   8] ; [16  6],[96.36923077 11.63076923] ; [19.63076923  2.36923077],0
a5,1,0.006942,7.287937,[95 13] ; [15  8],[90.6870229 17.3129771] ; [19.3129771  3.6870229],0
n4,1,0.01103,6.460544,[94 14] ; [15  8],[89.86259542 18.13740458] ; [19.13740458  3.86259542],0
p11,1,0.013802,6.063267,[87 21] ; [13 10],[82.44274809 25.55725191] ; [17.55725191  5.44274809],0
d5,1,0.024513,5.057938,[106   1] ; [21  2],[104.53076923   2.46923077] ; [22.46923077  0.53076923],0
s5,1,0.026803,4.903443,[50 53] ; [ 5 17],[45.32 57.68] ; [ 9.68 12.32],0
p8,1,0.03748,4.328473,[59 46] ; [ 7 15],[54.56692913 50.43307087] ; [11.43307087 10.56692913],0
p4,1,0.052633,3.755529,[67 39] ; [ 9 13],[62.9375 43.0625] ; [13.0625  8.9375],0
n1,1,0.055656,3.662308,[ 9 17] ; [7 3],[11.55555556 14.44444444] ; [4.44444444 5.55555556],0
p10,1,0.064521,3.417196,[86 21] ; [13  8],[82.7578125 24.2421875] ; [16.2421875  4.7578125],0
s7,1,0.07112,3.256976,[61 42] ; [ 7 12],[57.40983607 45.59016393] ; [10.59016393  8.40983607],0
s1,1,0.073117,3.211613,[  2 106] ; [ 2 20],[  3.32307692 104.67692308] ; [ 0.67692308 21.32307692],0
u2,1,0.096791,2.757639,[7 9] ; [5 1],[8.72727273 7.27272727] ; [3.27272727 2.72727273],0
v3,1,0.107108,2.596374,[47 59] ; [ 5 15],[43.74603175 62.25396825] ; [ 8.25396825 11.74603175],0
a6,1,0.119477,2.424163,[42 66] ; [ 5 18],[38.7480916 69.2519084] ; [ 8.2519084 14.7480916],0
p5,1,0.138915,2.189942,[18 89] ; [ 1 21],[15.75968992 91.24031008] ; [ 3.24031008 18.75968992],0
