Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.002437,9.187652,[32  6] ; [7 9],[27.44444444 10.55555556] ; [11.55555556  4.44444444],0
p7,1,0.003128,8.731103,[19 18] ; [15  1],[23.73584906 13.26415094] ; [10.26415094  5.73584906],0
d3,1,0.020919,5.333561,[27 11] ; [ 6 10],[23.22222222 14.77777778] ; [9.77777778 6.22222222],0
a3,1,0.054898,3.68517,[25 13] ; [ 6 10],[21.81481481 16.18518519] ; [9.18518519 6.81481481],0
d2,1,0.070964,3.260584,[17 21] ; [ 3 13],[14.07407407 23.92592593] ; [ 5.92592593 10.07407407],0
a5,1,0.091824,2.842105,[28 10] ; [8 8],[25.33333333 12.66666667] ; [10.66666667  5.33333333],0
p10,1,0.10889,2.570261,[21 15] ; [13  3],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
n1,1,0.122398,2.386364,[5 9] ; [5 2],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
v3,1,0.122606,2.383709,[ 9 28] ; [ 1 15],[ 6.98113208 30.01886792] ; [ 3.01886792 12.98113208],0
s1,1,0.148287,2.089783,[ 1 37] ; [ 2 14],[ 2.11111111 35.88888889] ; [ 0.88888889 15.11111111],0
u2,1,0.160958,1.965207,[4 9] ; [6 4],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
p5,1,0.20893,1.578823,[ 8 30] ; [ 1 14],[ 6.45283019 31.54716981] ; [ 2.54716981 12.45283019],0
n3,1,0.216522,1.527273,[6 8] ; [5 2],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
s3,1,0.236375,1.402082,[12 22] ; [8 7],[13.87755102 20.12244898] ; [6.12244898 8.87755102],0
n6,1,0.25165,1.314119,[28  8] ; [10  6],[26.30769231  9.69230769] ; [11.69230769  4.30769231],0
s5,1,0.265956,1.237488,[ 9 25] ; [ 2 14],[ 7.48 26.52] ; [ 3.52 12.48],0
p8,1,0.272186,1.205699,[19 19] ; [10  5],[20.79245283 17.20754717] ; [8.20754717 6.79245283],0
a4,1,0.274055,1.196335,[18 20] ; [ 5 11],[16.18518519 21.81481481] ; [6.81481481 9.18518519],0
a7,1,0.309547,1.032606,[20 18] ; [ 6 10],[18.2962963 19.7037037] ; [7.7037037 8.2962963],0
p6,1,0.309762,1.031692,[13 24] ; [8 8],[14.66037736 22.33962264] ; [6.33962264 9.66037736],0
n5,1,0.33123,0.944081,[22 14] ; [12  4],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
p3,1,0.341166,0.906044,[22 16] ; [7 9],[20.40740741 17.59259259] ; [8.59259259 7.40740741],0
a6,1,0.341166,0.906044,[22 16] ; [7 9],[20.40740741 17.59259259] ; [8.59259259 7.40740741],0
b2,1,0.35879,0.842125,[ 8 18] ; [ 2 10],[ 6.84210526 19.15789474] ; [3.15789474 8.84210526],0
b3,1,0.35879,0.842125,[ 8 18] ; [ 2 10],[ 6.84210526 19.15789474] ; [3.15789474 8.84210526],0
v1,1,0.412499,0.671586,[16 21] ; [ 5 11],[14.66037736 22.33962264] ; [6.33962264 9.66037736],0
s7,1,0.413686,0.668182,[17 18] ; [5 9],[15.71428571 19.28571429] ; [6.28571429 7.71428571],0
v4,1,0.427263,0.630252,[25 10] ; [9 6],[23.8 11.2] ; [10.2  4.8],0
b1,1,0.454958,0.558271,[22 16] ; [11  5],[23.22222222 14.77777778] ; [9.77777778 6.22222222],0
r2,1,0.458542,0.549451,[17 18] ; [9 6],[18.2 16.8] ; [7.8 7.2],0
u1,1,0.460781,0.543997,[ 5 33] ; [ 1 15],[ 4.22222222 33.77777778] ; [ 1.77777778 14.22222222],0
b5,1,0.475042,0.510224,[23 15] ; [8 8],[21.81481481 16.18518519] ; [9.18518519 6.81481481],0
r1,1,0.487752,0.481481,[10 26] ; [ 3 13],[ 9. 27.] ; [ 4. 12.],0
s4,1,0.616273,0.251141,[ 7 30] ; [ 4 12],[ 7.67924528 29.32075472] ; [ 3.32075472 12.67924528],0
n4,1,0.623369,0.24116,[21 17] ; [10  6],[21.81481481 16.18518519] ; [9.18518519 6.81481481],0
u3,1,0.63904,0.22,[6 6] ; [4 6],[5.45454545 6.54545455] ; [4.54545455 5.45454545],0
s8,1,0.646149,0.21079,[14 23] ; [ 5 11],[13.26415094 23.73584906] ; [ 5.73584906 10.26415094],0
p11,1,0.711645,0.13664,[28 10] ; [11  5],[27.44444444 10.55555556] ; [11.55555556  4.44444444],0
b4,1,0.723203,0.125445,[17 21] ; [8 8],[17.59259259 20.40740741] ; [7.40740741 8.59259259],0
s2,1,0.748903,0.102455,[17 18] ; [7 9],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
r3,1,0.770675,0.084967,[24 12] ; [10  6],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
p1,1,0.833097,0.044408,[ 3 35] ; [ 1 15],[ 2.81481481 35.18518519] ; [ 1.18518519 14.81481481],0
p9,1,0.877877,0.023612,[27 10] ; [12  4],[27.22641509  9.77358491] ; [11.77358491  4.22641509],0
v2,1,0.888387,0.019697,[15 21] ; [7 9],[15.23076923 20.76923077] ; [6.76923077 9.23076923],0
s6,1,0.924558,0.008967,[17 18] ; [8 8],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
p2,1,0.988488,0.000208,[30  7] ; [13  3],[30.01886792  6.98113208] ; [12.98113208  3.01886792],0
n2,1,1.0,0.0,[10  4] ; [5 2],[10.  4.] ; [5. 2.],0
