Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,27.632215,[13 69] ; [31 21],[26.92537313 55.07462687] ; [17.07462687 34.92537313],1
p2,1,1e-06,24.357943,[34 48] ; [44  8],[47.73134328 34.26865672] ; [30.26865672 21.73134328],1
s6,1,2e-06,23.053442,[23 59] ; [36 15],[36.37593985 45.62406015] ; [22.62406015 28.37593985],1
s7,1,9e-06,19.779013,[15 62] ; [28 20],[26.488 50.512] ; [16.512 31.488],1
p7,1,0.000123,14.748717,[23 59] ; [32 20],[33.65671642 48.34328358] ; [21.34328358 30.65671642],1
n6,1,0.00035,12.779298,[41 41] ; [42 10],[50.79104478 31.20895522] ; [32.20895522 19.79104478],1
r4,1,0.000696,11.499618,[43 40] ; [42 10],[52.25925926 30.74074074] ; [32.74074074 19.25925926],1
s8,1,0.000747,11.367291,[12 70] ; [21 31],[20.19402985 61.80597015] ; [12.80597015 39.19402985],1
r3,1,0.000893,11.036931,[49 34] ; [44  7],[57.60447761 25.39552239] ; [35.39552239 15.60447761],1
v4,1,0.001308,10.330994,[57 26] ; [48  4],[64.55555556 18.44444444] ; [40.44444444 11.55555556],0
s2,1,0.001663,9.888534,[21 62] ; [27 25],[29.51111111 53.48888889] ; [18.48888889 33.51111111],0
p5,1,0.001961,9.585821,[ 2 80] ; [ 9 42],[ 6.78195489 75.21804511] ; [ 4.21804511 46.78195489],0
p6,1,0.003944,8.309271,[10 72] ; [17 35],[16.52238806 65.47761194] ; [10.47761194 41.52238806],0
u3,1,0.005622,7.667557,[ 9 23] ; [14  7],[13.88679245 18.11320755] ; [ 9.11320755 11.88679245],0
s5,1,0.011843,6.334276,[13 68] ; [17 31],[18.8372093 62.1627907] ; [11.1627907 36.8372093],0
p8,1,0.015887,5.815355,[18 65] ; [21 30],[24.15671642 58.84328358] ; [14.84328358 36.15671642],0
d3,1,0.020276,5.387951,[39 41] ; [36 16],[45.45454545 34.54545455] ; [29.54545455 22.45454545],0
b3,1,0.023908,5.101263,[19 27] ; [ 5 25],[14.52631579 31.47368421] ; [ 9.47368421 20.52631579],0
b2,1,0.023908,5.101263,[19 27] ; [ 5 25],[14.52631579 31.47368421] ; [ 9.47368421 20.52631579],0
s3,1,0.028284,4.810692,[31 50] ; [30 22],[37.15037594 43.84962406] ; [23.84962406 28.15037594],0
p9,1,0.031183,4.642857,[36 42] ; [34 18],[42. 36.] ; [28. 24.],0
p1,1,0.03638,4.379221,[ 5 78] ; [ 9 43],[ 8.60740741 74.39259259] ; [ 5.39259259 46.60740741],0
r1,1,0.038232,4.294675,[43 39] ; [36 15],[48.70676692 33.29323308] ; [30.29323308 20.70676692],0
u1,1,0.069779,3.288201,[ 6 77] ; [ 9 43],[ 9.22222222 73.77777778] ; [ 5.77777778 46.22222222],0
v1,1,0.07239,3.227986,[21 61] ; [21 31],[25.70149254 56.29850746] ; [16.29850746 35.70149254],0
p10,1,0.086977,2.929448,[31 51] ; [27 24],[35.7593985 46.2406015] ; [22.2406015 28.7593985],0
s4,1,0.111446,2.533596,[13 70] ; [14 38],[16.6 66.4] ; [10.4 41.6],0
p12,1,0.127998,2.316613,[ 1 82] ; [ 3 49],[ 2.45925926 80.54074074] ; [ 1.54074074 50.45925926],0
d5,1,0.226402,1.463322,[51 30] ; [38 14],[54.20300752 26.79699248] ; [34.79699248 17.20300752],0
a1,1,0.228785,1.448397,[10 73] ; [ 3 49],[ 7.99259259 75.00740741] ; [ 5.00740741 46.99259259],0
b5,1,0.270873,1.212321,[48 35] ; [35 17],[51.02962963 31.97037037] ; [31.97037037 20.02962963],0
a6,1,0.364668,0.821752,[46 36] ; [25 27],[43.44776119 38.55223881] ; [27.55223881 24.44776119],0
b4,1,0.405579,0.691724,[46 37] ; [25 27],[43.65185185 39.34814815] ; [27.34814815 24.65185185],0
a7,1,0.458298,0.550047,[50 32] ; [35 17],[52.01492537 29.98507463] ; [32.98507463 19.01492537],0
a2,1,0.480265,0.498262,[15 68] ; [ 7 45],[13.52592593 69.47407407] ; [ 8.47407407 43.52592593],0
a8,1,0.481685,0.495045,[ 7 74] ; [ 6 42],[ 8.1627907 72.8372093] ; [ 4.8372093 43.1627907],0
s1,1,0.50234,0.449989,[ 7 76] ; [ 6 44],[ 8.11278195 74.88721805] ; [ 4.88721805 45.11278195],0
u2,1,0.53322,0.388251,[11 21] ; [ 9 12],[12.0754717 19.9245283] ; [ 7.9245283 13.0754717],0
d1,1,0.553309,0.351423,[34 49] ; [24 28],[35.65925926 47.34074074] ; [22.34074074 29.65925926],0
a3,1,0.571431,0.320294,[51 29] ; [30 21],[49.46564885 30.53435115] ; [31.53435115 19.46564885],0
n5,1,0.644662,0.212697,[51 32] ; [34 18],[52.25925926 30.74074074] ; [32.74074074 19.25925926],0
n2,1,0.658223,0.195689,[24 18] ; [12  7],[24.78688525 17.21311475] ; [11.21311475  7.78688525],0
n1,1,0.667649,0.184364,[17 24] ; [ 9 10],[17.76666667 23.23333333] ; [ 8.23333333 10.76666667],0
a4,1,0.698428,0.150113,[30 51] ; [21 31],[31.06015038 49.93984962] ; [19.93984962 32.06015038],0
a5,1,0.754406,0.097866,[44 39] ; [29 23],[44.88148148 38.11851852] ; [28.11851852 23.88148148],0
d2,1,0.761897,0.091803,[38 43] ; [23 29],[37.15037594 43.84962406] ; [23.84962406 28.15037594],0
n3,1,0.771066,0.08467,[21 18] ; [11  8],[21.51724138 17.48275862] ; [10.48275862  8.51724138],0
d4,1,0.794307,0.067976,[55 27] ; [36 16],[55.68656716 26.31343284] ; [35.31343284 16.68656716],0
b1,1,0.946855,0.004443,[49 34] ; [31 21],[49.18518519 33.81481481] ; [30.81481481 21.18518519],0
n4,1,0.9502,0.003901,[50 33] ; [31 20],[50.17164179 32.82835821] ; [30.82835821 20.17164179],0
v3,1,0.956241,0.003011,[16 64] ; [10 41],[15.8778626 64.1221374] ; [10.1221374 40.8778626],0
r2,1,0.957292,0.002868,[67 14] ; [42  9],[66.88636364 14.11363636] ; [42.11363636  8.88636364],0
