Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,46.332627,[ 23 352] ; [19 34],[ 36.79906542 338.20093458] ; [ 5.20093458 47.79906542],1
p1,1,0.0,39.305944,[ 19 358] ; [16 37],[ 30.68604651 346.31395349] ; [ 4.31395349 48.68604651],1
s5,1,0.0,36.263337,[116 246] ; [38 12],[135.31067961 226.68932039] ; [18.68932039 31.31067961],1
p4,1,1e-06,24.686942,[221 152] ; [50  3],[237.28403756 135.71596244] ; [33.71596244 19.28403756],1
p3,1,4e-06,21.055371,[194 183] ; [45  8],[209.54186047 167.45813953] ; [29.45813953 23.54186047],1
p8,1,2.1e-05,18.052216,[192 177] ; [44  9],[206.36018957 162.63981043] ; [29.63981043 23.36018957],1
p6,1,5.5e-05,16.253646,[138 234] ; [34 17],[151.26241135 220.73758865] ; [20.73758865 30.26241135],1
p7,1,0.000858,11.111686,[241 127] ; [46  6],[251.46666667 116.53333333] ; [35.53333333 16.46666667],1
b5,1,0.001609,9.949265,[235 142] ; [21 32],[224.44651163 152.55348837] ; [31.55348837 21.44651163],0
a1,1,0.003163,8.711117,[ 18 359] ; [ 8 45],[ 22.79534884 354.20465116] ; [ 3.20465116 49.79534884],0
n5,1,0.005636,7.66311,[293  82] ; [50  3],[300.52570093  74.47429907] ; [42.47429907 10.52570093],0
s7,1,0.005798,7.612111,[187 174] ; [35 13],[195.94621027 165.05378973] ; [26.05378973 21.94621027],0
p10,1,0.006456,7.418447,[314  60] ; [51  1],[320.44600939  53.55399061] ; [44.55399061  7.44600939],0
v3,1,0.011709,6.354396,[204 165] ; [39 14],[212.48104265 156.51895735] ; [30.51895735 22.48104265],0
v1,1,0.013046,6.162822,[235 133] ; [43 10],[243.0023753 124.9976247] ; [34.9976247 18.0023753],0
b3,1,0.017527,5.64277,[ 81 148] ; [23 19],[ 87.88191882 141.11808118] ; [16.11808118 25.88191882],0
b2,1,0.017527,5.64277,[ 81 148] ; [23 19],[ 87.88191882 141.11808118] ; [16.11808118 25.88191882],0
p11,1,0.019099,5.492409,[307  70] ; [50  3],[312.99767442  64.00232558] ; [44.00232558  8.99767442],0
a2,1,0.037386,4.332723,[108 269] ; [ 8 45],[101.70232558 275.29767442] ; [14.29767442 38.70232558],0
r2,1,0.040315,4.204598,[359  13] ; [47  5],[356.20754717  15.79245283] ; [49.79245283  2.20754717],0
p9,1,0.048271,3.900541,[322  49] ; [51  2],[326.375  44.625] ; [46.625  6.375],0
s6,1,0.052138,3.771346,[249 120] ; [42 10],[255.05700713 113.94299287] ; [35.94299287 16.05700713],0
n4,1,0.054627,3.693443,[308  68] ; [49  4],[312.8951049  63.1048951] ; [44.1048951  8.8951049],0
s8,1,0.064549,3.416465,[179 195] ; [32 20],[185.24413146 188.75586854] ; [25.75586854 26.24413146],0
s1,1,0.089523,2.882933,[  7 365] ; [ 3 50],[  8.75294118 363.24705882] ; [ 1.24705882 51.75294118],0
a3,1,0.089742,2.878995,[279  97] ; [45  8],[283.97202797  92.02797203] ; [40.02797203 12.97202797],0
p2,1,0.100403,2.699126,[316  61] ; [49  4],[320.01162791  56.98837209] ; [44.98837209  8.01162791],0
u2,1,0.112657,2.516543,[44 52] ; [6 2],[46.15384615 49.84615385] ; [3.84615385 4.15384615],0
u4,1,0.126584,2.333906,[  8 369] ; [ 3 50],[  9.64418605 367.35581395] ; [ 1.35581395 51.64418605],0
a4,1,0.135534,2.22794,[183 193] ; [20 33],[177.92074592 198.07925408] ; [25.07925408 27.92074592],0
d3,1,0.142953,2.145881,[278  99] ; [34 19],[273.54418605 103.45581395] ; [38.45581395 14.54418605],0
n3,1,0.196733,1.666461,[55 15] ; [6 4],[53.375 16.625] ; [7.625 2.375],0
a5,1,0.244593,1.353928,[297  80] ; [38 15],[293.70930233  83.29069767] ; [41.29069767 11.70930233],0
n2,1,0.302373,1.063698,[52 17] ; [9 1],[53.27848101 15.72151899] ; [7.72151899 2.27848101],0
a6,1,0.327074,0.960447,[266 110] ; [34 19],[262.93706294 113.06293706] ; [37.06293706 15.93706294],0
b4,1,0.467051,0.528945,[233 144] ; [30 23],[230.58372093 146.41627907] ; [32.41627907 20.58372093],0
s2,1,0.475437,0.509312,[195 177] ; [30 22],[197.40566038 174.59433962] ; [27.59433962 24.40566038],0
s4,1,0.510469,0.433106,[ 56 318] ; [ 6 46],[ 54.43192488 319.56807512] ; [ 7.56807512 44.43192488],0
d5,1,0.515196,0.423499,[319  58] ; [43 10],[317.38139535  59.61860465] ; [44.61860465  8.38139535],0
u1,1,0.518558,0.41676,[ 86 291] ; [10 43],[ 84.16744186 292.83255814] ; [11.83255814 41.16744186],0
n1,1,0.523357,0.407273,[21 49] ; [4 6],[21.875 48.125] ; [3.125 6.875],0
s3,1,0.556024,0.346636,[204 165] ; [31 21],[205.97387173 163.02612827] ; [29.02612827 22.97387173],0
b1,1,0.586717,0.295501,[128 249] ; [16 37],[126.25116279 250.74883721] ; [17.74883721 35.25116279],0
r3,1,0.627094,0.236023,[366  10] ; [50  2],[365.45794393  10.54205607] ; [50.54205607  1.45794393],0
d1,1,0.641731,0.216485,[247 130] ; [33 20],[245.48837209 131.51162791] ; [34.51162791 18.48837209],0
u3,1,0.645557,0.211548,[53 45] ; [5 3],[53.62264151 44.37735849] ; [4.37735849 3.62264151],0
v4,1,0.824668,0.049082,[359  17] ; [50  2],[359.30841121  16.69158879] ; [49.69158879  2.30841121],0
r1,1,0.843059,0.039197,[317  60] ; [44  9],[316.50465116  60.49534884] ; [44.49534884  8.50465116],0
d2,1,0.887351,0.020067,[202 173] ; [28 25],[201.51869159 173.48130841] ; [28.48130841 24.51869159],0
d4,1,0.901998,0.015163,[324  52] ; [46  7],[324.28904429  51.71095571] ; [45.71095571  7.28904429],0
r4,1,0.917431,0.010747,[347  30] ; [49  4],[347.19069767  29.80930233] ; [48.80930233  4.19069767],0
a8,1,0.917466,0.010738,[ 52 284] ; [ 7 40],[ 51.75979112 284.24020888] ; [ 7.24020888 39.75979112],0
a7,1,0.932884,0.007092,[285  90] ; [40 13],[284.7546729  90.2453271] ; [40.2453271 12.7546729],0
