Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5e-06,20.928044,[ 14 107] ; [20 26],[24.63473054 96.36526946] ; [ 9.36526946 36.63473054],1
s3,1,8.3e-05,15.478041,[38 82] ; [30 16],[49.15662651 70.84337349] ; [18.84337349 27.15662651],1
p10,1,0.000166,14.176698,[ 21 100] ; [21 25],[30.43113772 90.56886228] ; [11.56886228 34.43113772],1
s2,1,0.000208,13.75716,[27 93] ; [24 22],[36.86746988 83.13253012] ; [14.13253012 31.86746988],1
s6,1,0.000937,10.947301,[42 79] ; [29 17],[51.44311377 69.55688623] ; [19.55688623 26.44311377],1
n1,1,0.014603,5.963792,[13 33] ; [10  6],[17.06451613 28.93548387] ; [ 5.93548387 10.06451613],0
p11,1,0.019928,5.418156,[55 67] ; [30 16],[61.72619048 60.27380952] ; [23.27380952 22.72619048],0
u1,1,0.026186,4.943692,[ 11 111] ; [10 36],[ 15.25 106.75] ; [ 5.75 40.25],0
n6,1,0.057035,3.621568,[73 48] ; [35 11],[78.25149701 42.74850299] ; [29.74850299 16.25149701],0
s4,1,0.057632,3.604263,[ 15 106] ; [11 34],[ 18.95180723 102.04819277] ; [ 7.04819277 37.95180723],0
s5,1,0.060272,3.529887,[ 17 103] ; [12 33],[21.09090909 98.90909091] ; [ 7.90909091 37.09090909],0
v3,1,0.067611,3.340079,[27 91] ; [17 29],[31.65853659 86.34146341] ; [12.34146341 33.65853659],0
v1,1,0.086748,2.933713,[36 86] ; [20 26],[40.66666667 81.33333333] ; [15.33333333 30.66666667],0
a2,1,0.089258,2.887713,[ 16 106] ; [11 35],[ 19.60714286 102.39285714] ; [ 7.39285714 38.60714286],0
d3,1,0.094547,2.7952,[62 60] ; [30 16],[66.80952381 55.19047619] ; [25.19047619 20.80952381],0
d5,1,0.112705,2.515882,[80 42] ; [36 10],[84.23809524 37.76190476] ; [31.76190476 14.23809524],0
p4,1,0.119375,2.425503,[42 79] ; [22 24],[46.37125749 74.62874251] ; [17.62874251 28.37125749],0
n4,1,0.119772,2.420294,[71 50] ; [33 13],[75.35329341 45.64670659] ; [28.64670659 17.35329341],0
a8,1,0.130297,2.288963,[  6 107] ; [ 5 35],[  8.12418301 104.87581699] ; [ 2.87581699 37.12418301],0
p6,1,0.135612,2.227061,[ 19 100] ; [12 34],[22.35757576 96.64242424] ; [ 8.64242424 37.35757576],0
p2,1,0.137451,2.206267,[64 58] ; [30 16],[68.26190476 53.73809524] ; [25.73809524 20.26190476],0
u3,1,0.149405,2.078314,[26 32] ; [11  6],[28.61333333 29.38666667] ; [8.38666667 8.61333333],0
p8,1,0.159151,1.982277,[34 88] ; [18 28],[37.76190476 84.23809524] ; [14.23809524 31.76190476],0
r3,1,0.171819,1.867001,[93 27] ; [40  6],[96.14457831 23.85542169] ; [36.85542169  9.14457831],0
r2,1,0.185129,1.75596,[99 20] ; [42  4],[101.69090909  17.30909091] ; [39.30909091  6.69090909],0
n2,1,0.19335,1.691903,[27 19] ; [13  4],[29.20634921 16.79365079] ; [10.79365079  6.20634921],0
