Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.808027,[56 39] ; [162 328],[35.4017094 59.5982906] ; [182.5982906 307.4017094],1
s6,1,1.2e-05,19.085564,[90 10] ; [342 157],[72.12020033 27.87979967] ; [359.87979967 139.12020033],1
s2,1,2e-05,18.161503,[74 27] ; [251 250],[54.52657807 46.47342193] ; [270.47342193 230.52657807],1
s3,1,0.000288,13.14742,[77 25] ; [279 218],[60.62103506 41.37896494] ; [295.37896494 201.62103506],1
b3,1,0.003472,8.541054,[11 41] ; [134 181],[20.54495913 31.45504087] ; [124.45504087 190.54495913],0
b2,1,0.003472,8.541054,[11 41] ; [134 181],[20.54495913 31.45504087] ; [124.45504087 190.54495913],0
a8,1,0.006938,7.288998,[ 6 91] ; [ 77 376],[14.63818182 82.36181818] ; [ 68.36181818 384.63818182],0
p2,1,0.012699,6.210534,[82 21] ; [445  57],[89.72066116 13.27933884] ; [437.27933884  64.72066116],0
v3,1,0.02144,5.290674,[32 68] ; [214 267],[42.34079174 57.65920826] ; [203.65920826 277.34079174],0
u2,1,0.054773,3.688998,[ 9 13] ; [79 47],[13.08108108  8.91891892] ; [74.91891892 51.08108108],0
v1,1,0.057104,3.61955,[51 51] ; [295 195],[59.61486486 42.38513514] ; [286.38513514 203.61486486],0
n1,1,0.059716,3.54525,[ 3 15] ; [41 62],[ 6.54545455 11.45454545] ; [37.45454545 65.54545455],0
n4,1,0.061988,3.483373,[75 28] ; [408  96],[81.95881384 21.04118616] ; [401.04118616 102.95881384],0
v2,1,0.06348,3.444038,[53 46] ; [306 176],[61.17211704 37.82788296] ; [297.82788296 184.17211704],0
p6,1,0.076795,3.13146,[49 54] ; [191 309],[40.99502488 62.00497512] ; [199.00497512 300.99502488],0
s7,1,0.088998,2.892402,[63 38] ; [256 226],[55.26415094 45.73584906] ; [263.73584906 218.26415094],0
d3,1,0.110286,2.550115,[82 21] ; [362 141],[75.46534653 27.53465347] ; [368.53465347 134.46534653],0
n5,1,0.168066,1.900113,[75 28] ; [395 105],[80.28192371 22.71807629] ; [389.71807629 110.28192371],0
r3,1,0.193444,1.691191,[101   1] ; [486  17],[98.96528926  3.03471074] ; [488.03471074  14.96528926],0
r2,1,0.243296,1.361396,[102   1] ; [485  15],[100.26699834   2.73300166] ; [486.73300166  13.26699834],0
n6,1,0.276016,1.186604,[92 10] ; [431  69],[88.61461794 13.38538206] ; [434.38538206  65.61461794],0
p11,1,0.281714,1.158803,[82 21] ; [424  81],[85.72039474 17.27960526] ; [420.27960526  84.72039474],0
u4,1,0.282767,1.153741,[  1 102] ; [ 14 491],[  2.54111842 100.45888158] ; [ 12.45888158 492.54111842],0
a7,1,0.293646,1.102828,[73 30] ; [382 122],[77.20757825 25.79242175] ; [377.79242175 126.20757825],0
n3,1,0.307899,1.039668,[15  3] ; [74 29],[13.23966942  4.76033058] ; [75.76033058 27.23966942],0
p10,1,0.330951,0.945172,[97  6] ; [461  44],[94.52960526  8.47039474] ; [463.47039474  41.52960526],0
r4,1,0.356442,0.850389,[101   2] ; [486  19],[99.44243421  3.55756579] ; [487.55756579  17.44243421],0
d5,1,0.386254,0.750703,[83 20] ; [422  80],[85.97520661 17.02479339] ; [419.02479339  82.97520661],0
s8,1,0.388114,0.744843,[56 47] ; [249 252],[52.0115894 50.9884106] ; [252.9884106 248.0115894],0
a3,1,0.421163,0.647067,[81 22] ; [376 126],[77.80330579 25.19669421] ; [379.19669421 122.80330579],0
p8,1,0.43501,0.609411,[55 47] ; [290 209],[58.55241265 43.44758735] ; [286.44758735 212.55241265],0
u3,1,0.451694,0.566397,[12 10] ; [80 47],[13.58389262  8.41610738] ; [78.41610738 48.58389262],0
u1,1,0.478896,0.501377,[24 79] ; [102 403],[21.34539474 81.65460526] ; [104.65460526 400.34539474],0
p4,1,0.482914,0.492276,[69 34] ; [318 184],[65.88595041 37.11404959] ; [321.11404959 180.88595041],0
d4,1,0.499906,0.455136,[86 17] ; [432  70],[88.18842975 14.81157025] ; [429.81157025  72.18842975],0
a1,1,0.501235,0.452321,[  3 100] ; [ 22 483],[ 4.23519737 98.76480263] ; [ 20.76480263 484.23519737],0
p7,1,0.502846,0.448925,[72 29] ; [334 158],[69.15008432 31.84991568] ; [336.84991568 155.15008432],0
p12,1,0.664427,0.18819,[ 9 94] ; [ 51 452],[10.1980198 92.8019802] ; [ 49.8019802 453.1980198],0
p5,1,0.669592,0.18208,[12 91] ; [ 66 434],[13.32338308 89.67661692] ; [ 64.67661692 435.32338308],0
n2,1,0.675498,0.175237,[14  4] ; [76 28],[13.27868852  4.72131148] ; [76.72131148 27.27868852],0
b5,1,0.684835,0.164734,[63 40] ; [298 207],[61.15625 41.84375] ; [299.84375 205.15625],0
b1,1,0.691855,0.157084,[34 69] ; [177 328],[35.74506579 67.25493421] ; [175.25493421 329.74506579],0
v4,1,0.700093,0.148375,[101   2] ; [489  13],[100.44628099   2.55371901] ; [489.55371901  12.44628099],0
b4,1,0.762385,0.091416,[60 43] ; [286 219],[58.61513158 44.38486842] ; [287.38486842 217.61513158],0
d2,1,0.770276,0.085272,[51 52] ; [257 246],[52.34983498 50.65016502] ; [255.65016502 247.34983498],0
p3,1,0.811418,0.056929,[56 47] ; [267 236],[54.89933993 48.10066007] ; [268.10066007 234.89933993],0
a2,1,0.84875,0.036372,[27 76] ; [137 368],[27.78289474 75.21710526] ; [136.21710526 368.78289474],0
a4,1,0.881365,0.022272,[51 52] ; [245 258],[50.31023102 52.68976898] ; [245.68976898 257.31023102],0
s1,1,0.883919,0.021317,[ 3 99] ; [ 16 481],[ 3.23539232 98.76460768] ; [ 15.76460768 481.23539232],0
a6,1,0.913666,0.011754,[74 29] ; [358 144],[73.54710744 29.45289256] ; [358.45289256 143.54710744],0
d1,1,0.921371,0.009743,[66 37] ; [321 184],[65.56085526 37.43914474] ; [321.43914474 183.56085526],0
a5,1,0.933259,0.007013,[81 22] ; [399 106],[81.31578947 21.68421053] ; [398.68421053 106.31578947],0
p1,1,0.992936,7.8e-05,[ 9 94] ; [ 44 458],[ 9.0231405 93.9768595] ; [ 43.9768595 458.0231405],0
