Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.294201,[324 102] ; [20 26],[310.47457627 115.52542373] ; [33.52542373 12.47457627],1
p8,1,0.000134,14.578052,[288 139] ; [18 28],[276.2410148 150.7589852] ; [29.7589852 16.2410148],1
p10,1,0.000887,11.049301,[378  47] ; [33 13],[370.85987261  54.14012739] ; [40.14012739  5.85987261],1
p9,1,0.003196,8.691839,[386  41] ; [35 11],[380.05708245  46.94291755] ; [40.94291755  5.05708245],0
n4,1,0.004489,8.074582,[374  55] ; [33 13],[367.58526316  61.41473684] ; [39.41473684  6.58526316],0
n5,1,0.006473,7.413792,[372  57] ; [33 13],[365.77894737  63.22105263] ; [39.22105263  6.77894737],0
d3,1,0.027346,4.86885,[326 104] ; [28 18],[319.78991597 110.21008403] ; [34.21008403 11.78991597],0
p6,1,0.049065,3.873122,[223 204] ; [17 29],[216.65961945 210.34038055] ; [23.34038055 22.65961945],0
p11,1,0.085001,2.966587,[361  69] ; [34 12],[356.82773109  73.17226891] ; [38.17226891  7.82773109],0
a7,1,0.092689,2.827045,[328 101] ; [30 16],[323.33052632 105.66947368] ; [34.66947368 11.33052632],0
d5,1,0.111851,2.527865,[365  64] ; [35 11],[361.26315789  67.73684211] ; [38.73684211  7.26315789],0
d4,1,0.123456,2.372914,[364  65] ; [35 11],[360.36  68.64] ; [38.64  7.36],0
p1,1,0.123664,2.370293,[ 51 379] ; [ 2 44],[ 47.87815126 382.12184874] ; [ 5.12184874 40.87815126],0
s7,1,0.147023,2.102866,[241 166] ; [20 22],[236.5857461 170.4142539] ; [24.4142539 17.5857461],0
a6,1,0.151455,2.057533,[297 133] ; [27 19],[292.68907563 137.31092437] ; [31.31092437 14.68907563],0
a8,1,0.1624,1.951736,[ 57 329] ; [ 3 40],[ 53.98601399 332.01398601] ; [ 6.01398601 36.98601399],0
a3,1,0.169997,1.882972,[320 109] ; [30 16],[316.10526316 112.89473684] ; [33.89473684 12.10526316],0
s1,1,0.216633,1.526538,[ 13 413] ; [ 3 43],[ 14.44067797 411.55932203] ; [ 1.55932203 44.44067797],0
n2,1,0.218347,1.515204,[48 21] ; [12  2],[49.87951807 19.12048193] ; [10.12048193  3.87951807],0
s4,1,0.232346,1.426444,[ 73 350] ; [11 34],[ 75.92307692 347.07692308] ; [ 8.07692308 36.92307692],0
r1,1,0.247145,1.339369,[355  73] ; [35 11],[352.15189873  75.84810127] ; [37.84810127  8.15189873],0
a2,1,0.250967,1.317912,[118 312] ; [ 9 37],[114.72689076 315.27310924] ; [12.27310924 33.72689076],0
