Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000305,13.039451,[23 89] ; [14 11],[30.24817518 81.75182482] ; [ 6.75182482 18.24817518],1
s6,1,0.002653,9.031619,[53 63] ; [21  6],[60.02797203 55.97202797] ; [13.97202797 13.02797203],0
a6,1,0.006149,7.506195,[75 42] ; [10 18],[68.5862069 48.4137931] ; [16.4137931 11.5862069],0
s2,1,0.02609,4.950018,[44 73] ; [17 11],[49.22068966 67.77931034] ; [11.77931034 16.22068966],0
n5,1,0.02854,4.795148,[72 44] ; [11 17],[66.86111111 49.13888889] ; [16.13888889 11.86111111],0
a2,1,0.040802,4.184208,[29 88] ; [ 2 26],[25.0137931 91.9862069] ; [ 5.9862069 22.0137931],0
p8,1,0.048839,3.880882,[28 89] ; [ 2 26],[24.20689655 92.79310345] ; [ 5.79310345 22.20689655],0
u3,1,0.061658,3.492213,[18 20] ; [6 1],[20.26666667 17.73333333] ; [3.73333333 3.26666667],0
p9,1,0.062596,3.467223,[61 54] ; [19  7],[65.24822695 49.75177305] ; [14.75177305 11.24822695],0
r2,1,0.116578,2.462698,[97 17] ; [26  1],[99.44680851 14.55319149] ; [23.55319149  3.44680851],0
d3,1,0.143892,2.135836,[75 42] ; [22  6],[78.26896552 38.73103448] ; [18.73103448  9.26896552],0
s7,1,0.192409,1.699078,[42 69] ; [13 12],[44.88970588 66.11029412] ; [10.11029412 14.88970588],0
p11,1,0.196308,1.669632,[66 51] ; [12 16],[62.93793103 54.06206897] ; [15.06206897 12.93793103],0
v4,1,0.199555,1.645626,[92 25] ; [25  3],[94.40689655 22.59310345] ; [22.59310345  5.40689655],0
r4,1,0.199743,1.644254,[82 35] ; [23  5],[84.72413793 32.27586207] ; [20.27586207  7.72413793],0
s3,1,0.209594,1.574231,[51 65] ; [16 12],[53.97222222 62.02777778] ; [13.02777778 14.97222222],0
p10,1,0.212739,1.552689,[62 54] ; [18  9],[64.8951049 51.1048951] ; [15.1048951 11.8951049],0
d5,1,0.231521,1.43149,[93 24] ; [25  3],[95.2137931 21.7862069] ; [22.7862069  5.2137931],0
v2,1,0.253729,1.302654,[54 57] ; [17 11],[56.69784173 54.30215827] ; [14.30215827 13.69784173],0
u2,1,0.27282,1.202513,[24 13] ; [3 4],[22.70454545 14.29545455] ; [4.29545455 2.70454545],0
a8,1,0.309627,1.032266,[ 11 101] ; [ 1 26],[  9.66906475 102.33093525] ; [ 2.33093525 24.66906475],0
v1,1,0.344464,0.893747,[38 76] ; [12 16],[40.14084507 73.85915493] ; [ 9.85915493 18.14084507],0
a5,1,0.350781,0.870629,[77 40] ; [21  7],[79.07586207 37.92413793] ; [18.92413793  9.07586207],0
p6,1,0.356236,0.85112,[20 95] ; [ 7 21],[21.71328671 93.28671329] ; [ 5.28671329 22.71328671],0
s8,1,0.359034,0.841271,[39 77] ; [12 16],[41.08333333 74.91666667] ; [ 9.91666667 18.08333333],0
a7,1,0.390238,0.738201,[77 40] ; [16 12],[75.04137931 41.95862069] ; [17.95862069 10.04137931],0
p3,1,0.395724,0.721282,[32 84] ; [10 18],[33.83333333 82.16666667] ; [ 8.16666667 19.83333333],0
b4,1,0.439523,0.597527,[72 45] ; [15 13],[70.2 46.8] ; [16.8 11.2],0
a3,1,0.442266,0.590396,[79 38] ; [21  7],[80.68965517 36.31034483] ; [19.31034483  8.68965517],0
p7,1,0.463661,0.537041,[36 76] ; [ 7 21],[34.4 77.6] ; [ 8.6 19.4],0
n4,1,0.493803,0.468229,[75 42] ; [16 12],[73.42758621 43.57241379] ; [17.57241379 10.42758621],0
d2,1,0.516304,0.421271,[62 53] ; [17 11],[63.53146853 51.46853147] ; [15.46853147 12.53146853],0
n6,1,0.531164,0.392165,[80 36] ; [21  7],[81.36111111 34.63888889] ; [19.63888889  8.36111111],0
