Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.6e-05,18.657573,[32 40] ; [107  37],[46.33333333 25.66666667] ; [92.66666667 51.33333333],1
a4,1,3e-05,17.422222,[13 59] ; [68 76],[27. 45.] ; [54. 90.],1
a6,1,9.4e-05,15.26087,[33 39] ; [105  39],[46. 26.] ; [92. 52.],1
d1,1,0.00036,12.729402,[26 46] ; [89 55],[38.33333333 33.66666667] ; [76.66666667 67.33333333],1
d2,1,0.000443,12.342857,[18 54] ; [72 72],[30. 42.] ; [60. 84.],1
u1,1,0.000672,11.565182,[ 1 71] ; [ 25 119],[ 8.66666667 63.33333333] ; [ 17.33333333 126.66666667],1
p3,1,0.001444,10.148601,[18 54] ; [68 75],[28.8 43.2] ; [57.2 85.8],0
p4,1,0.00372,8.415826,[22 50] ; [73 69],[31.96261682 40.03738318] ; [63.03738318 78.96261682],0
r1,1,0.004744,7.974572,[51 21] ; [124  19],[58.60465116 13.39534884] ; [116.39534884  26.60465116],0
p10,1,0.005753,7.625986,[37 32] ; [104  39],[45.89150943 23.10849057] ; [95.10849057 47.89150943],0
s6,1,0.006091,7.523108,[31 39] ; [91 51],[40.28301887 29.71698113] ; [81.71698113 60.28301887],0
p2,1,0.006187,7.495042,[46 26] ; [115  27],[54.1682243 17.8317757] ; [106.8317757  35.1682243],0
d5,1,0.012794,6.197373,[48 23] ; [119  25],[55.14883721 15.85116279] ; [111.85116279  32.14883721],0
n4,1,0.014851,5.934066,[22 50] ; [69 75],[30.33333333 41.66666667] ; [60.66666667 83.33333333],0
p8,1,0.032868,4.552644,[23 49] ; [67 75],[30.28037383 41.71962617] ; [59.71962617 82.28037383],0
s7,1,0.03746,4.329374,[18 50] ; [57 81],[24.75728155 43.24271845] ; [50.24271845 87.75728155],0
p7,1,0.044753,4.027936,[33 39] ; [85 56],[39.88732394 32.11267606] ; [78.11267606 62.88732394],0
s2,1,0.046729,3.955115,[24 48] ; [68 75],[30.80930233 41.19069767] ; [61.19069767 81.80930233],0
p9,1,0.047049,3.943638,[44 24] ; [111  32],[49.95260664 18.04739336] ; [105.04739336  37.95260664],0
n1,1,0.066951,3.356233,[ 9 12] ; [ 8 31],[ 5.95 15.05] ; [11.05 27.95],0
v1,1,0.070811,3.264129,[20 49] ; [59 82],[25.95714286 43.04285714] ; [53.04285714 87.95714286],0
s8,1,0.099398,2.715168,[20 52] ; [56 87],[25.45116279 46.54883721] ; [50.54883721 92.45116279],0
d4,1,0.100449,2.698403,[55 17] ; [123  21],[59.33333333 12.66666667] ; [118.66666667  25.33333333],0
b3,1,0.125047,2.352941,[ 7 28] ; [29 56],[10.5 24.5] ; [25.5 59.5],0
b2,1,0.125047,2.352941,[ 7 28] ; [29 56],[10.5 24.5] ; [25.5 59.5],0
p12,1,0.148437,2.088235,[ 1 70] ; [  8 134],[ 3. 68.] ; [  6. 136.],0
s3,1,0.177772,1.816149,[30 42] ; [73 69],[34.65420561 37.34579439] ; [68.34579439 73.65420561],0
v2,1,0.20012,1.641498,[31 37] ; [76 62],[35.32038835 32.67961165] ; [71.67961165 66.32038835],0
v3,1,0.202031,1.62763,[16 51] ; [44 91],[19.9009901 47.0990099] ; [40.0990099 94.9009901],0
p6,1,0.227067,1.459143,[16 53] ; [44 97],[19.71428571 49.28571429] ; [ 40.28571429 100.71428571],0
n3,1,0.285771,1.139437,[18  3] ; [28 10],[16.37288136  4.62711864] ; [29.62711864  8.37288136],0
s5,1,0.313614,1.015394,[16 51] ; [42 95],[19.04901961 47.95098039] ; [38.95098039 98.04901961],0
b5,1,0.374414,0.788961,[47 25] ; [85 59],[44. 28.] ; [88. 56.],0
b1,1,0.417343,0.657785,[22 50] ; [52 92],[24.66666667 47.33333333] ; [49.33333333 94.66666667],0
d3,1,0.418817,0.653633,[48 23] ; [105  39],[50.5255814 20.4744186] ; [102.4744186  41.5255814],0
p1,1,0.43893,0.599079,[ 4 68] ; [ 12 129],[ 5.4084507 66.5915493] ; [ 10.5915493 130.4084507],0
p11,1,0.603024,0.27046,[48 24] ; [101  43],[49.66666667 22.33333333] ; [99.33333333 44.66666667],0
a7,1,0.618539,0.247926,[51 20] ; [108  36],[52.50697674 18.49302326] ; [106.49302326  37.50697674],0
u3,1,0.623928,0.240385,[27 12] ; [23 13],[26. 13.] ; [24. 12.],0
a8,1,0.641276,0.217077,[ 6 63] ; [  9 122],[ 5.175 63.825] ; [  9.825 121.175],0
v4,1,0.655002,0.199651,[68  4] ; [137   6],[68.65116279  3.34883721] ; [136.34883721   6.65116279],0
n6,1,0.66091,0.19242,[48 24] ; [91 52],[46.54883721 25.45116279] ; [92.45116279 50.54883721],0
b4,1,0.692366,0.156536,[43 29] ; [90 54],[44.33333333 27.66666667] ; [88.66666667 55.33333333],0
u2,1,0.742289,0.108125,[24 14] ; [22 15],[23.30666667 14.69333333] ; [22.69333333 14.30666667],0
r2,1,0.77929,0.078537,[70  2] ; [138   5],[69.65581395  2.34418605] ; [138.34418605   4.65581395],0
n2,1,0.793218,0.068715,[15  5] ; [28 11],[14.57627119  5.42372881] ; [28.42372881 10.57627119],0
s4,1,0.811168,0.057082,[14 58] ; [ 30 114],[14.66666667 57.33333333] ; [ 29.33333333 114.66666667],0
a1,1,0.818892,0.052427,[ 3 69] ; [  7 137],[ 3.33333333 68.66666667] ; [  6.66666667 137.33333333],0
s1,1,1.0,0.0,[ 3 69] ; [  6 138],[ 3. 69.] ; [  6. 138.],0
