Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.00486,7.930712,[ 2 44] ; [2 3],[ 3.60784314 42.39215686] ; [0.39215686 4.60784314],0
a7,1,0.027624,4.851383,[32 14] ; [1 4],[29.76470588 16.23529412] ; [3.23529412 1.76470588],0
u3,1,0.063431,3.445312,[15  1] ; [1 1],[14.22222222  1.77777778] ; [1.77777778 0.22222222],0
v2,1,0.087375,2.922078,[27 18] ; [1 4],[25.2 19.8] ; [2.8 2.2],0
s5,1,0.095011,2.787356,[10 31] ; [3 2],[11.58695652 29.41304348] ; [1.41304348 3.58695652],0
p8,1,0.098645,2.727322,[19 27] ; [4 1],[20.74509804 25.25490196] ; [2.25490196 2.74509804],0
d4,1,0.167419,1.905901,[39  7] ; [3 2],[37.88235294  8.11764706] ; [4.11764706 0.88235294],0
b5,1,0.223521,1.481621,[31 15] ; [2 3],[29.76470588 16.23529412] ; [3.23529412 1.76470588],0
a6,1,0.223521,1.481621,[31 15] ; [2 3],[29.76470588 16.23529412] ; [3.23529412 1.76470588],0
p4,1,0.311021,1.026335,[26 20] ; [4 1],[27.05882353 18.94117647] ; [2.94117647 2.05882353],0
p11,1,0.316195,1.004621,[29 17] ; [2 3],[27.96078431 18.03921569] ; [3.03921569 1.96078431],0
d2,1,0.316195,1.004621,[29 17] ; [2 3],[27.96078431 18.03921569] ; [3.03921569 1.96078431],0
p6,1,0.335924,0.925926,[17 28] ; [3 2],[18. 27.] ; [2. 3.],0
v3,1,0.439001,0.598893,[18 25] ; [3 2],[18.8125 24.1875] ; [2.1875 2.8125],0
d3,1,0.45114,0.567787,[29 17] ; [4 1],[29.76470588 16.23529412] ; [3.23529412 1.76470588],0
b4,1,0.45114,0.567787,[29 17] ; [4 1],[29.76470588 16.23529412] ; [3.23529412 1.76470588],0
s2,1,0.486056,0.485245,[29 16] ; [4 1],[29.7 15.3] ; [3.3 1.7],0
u2,1,0.496329,0.462778,[11  4] ; [1 1],[10.58823529  4.41176471] ; [1.41176471 0.58823529],0
p2,1,0.507924,0.438341,[34 12] ; [3 2],[33.37254902 12.62745098] ; [3.62745098 1.37254902],0
p3,1,0.541566,0.372645,[21 25] ; [3 2],[21.64705882 24.35294118] ; [2.35294118 2.64705882],0
b2,1,0.559109,0.34125,[14 21] ; [1 3],[13.46153846 21.53846154] ; [1.53846154 2.46153846],0
b3,1,0.559109,0.34125,[14 21] ; [1 3],[13.46153846 21.53846154] ; [1.53846154 2.46153846],0
v1,1,0.637352,0.222222,[22 23] ; [3 2],[22.5 22.5] ; [2.5 2.5],0
a5,1,0.66155,0.191646,[32 14] ; [3 2],[31.56862745 14.43137255] ; [3.43137255 1.56862745],0
b1,1,0.670977,0.180462,[23 23] ; [3 2],[23.45098039 22.54901961] ; [2.54901961 2.45098039],0
a8,1,0.783892,0.075214,[10 29] ; [1 4],[ 9.75 29.25] ; [1.25 3.75],0
a3,1,0.816654,0.053755,[30 16] ; [3 2],[29.76470588 16.23529412] ; [3.23529412 1.76470588],0
p7,1,0.849361,0.036075,[20 25] ; [2 3],[19.8 25.2] ; [2.2 2.8],0
p9,1,0.881441,0.022243,[26 20] ; [3 2],[26.15686275 19.84313725] ; [2.84313725 2.15686275],0
d5,1,0.884458,0.021118,[38  8] ; [4 1],[37.88235294  8.11764706] ; [4.11764706 0.88235294],0
u1,1,0.92845,0.008063,[10 36] ; [1 4],[ 9.92156863 36.07843137] ; [1.07843137 3.92156863],0
a4,1,0.955117,0.003168,[19 27] ; [2 3],[18.94117647 27.05882353] ; [2.05882353 2.94117647],0
d1,1,0.969829,0.001431,[28 18] ; [3 2],[27.96078431 18.03921569] ; [3.03921569 1.96078431],0
