Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,36.268636,[218  90] ; [101 124],[184.33771107 123.66228893] ; [134.66228893  90.33771107],1
n5,1,0.0,34.954384,[267  43] ; [151  83],[238.19852941  71.80147059] ; [179.80147059  54.19852941],1
v3,1,0.0,31.971838,[162 143] ; [ 66 164],[129.98130841 175.01869159] ; [ 98.01869159 131.98130841],1
s8,1,5.5e-05,16.259953,[176 134] ; [ 92 142],[152.72058824 157.27941176] ; [115.27941176 118.72058824],1
n4,1,0.000186,13.971682,[263  48] ; [167  67],[245.37614679  65.62385321] ; [184.62385321  49.37614679],1
p10,1,0.000257,13.363973,[277  31] ; [184  50],[261.9704797  46.0295203] ; [199.0295203  34.9704797],1
p9,1,0.001209,10.476813,[282  29] ; [189  44],[269.26654412  41.73345588] ; [201.73345588  31.26654412],0
p4,1,0.001314,10.322509,[231  80] ; [143  90],[213.8125  97.1875] ; [160.1875  72.8125],0
p3,1,0.001514,10.061871,[204 107] ; [122 112],[186.0293578 124.9706422] ; [139.9706422  94.0293578],0
s5,1,0.001873,9.670099,[134 171] ; [ 70 158],[116.73545966 188.26454034] ; [ 87.26454034 140.73545966],0
a3,1,0.001953,9.593005,[243  68] ; [155  79],[227.11559633  83.88440367] ; [170.88440367  63.11559633],0
n6,1,0.003328,8.618128,[277  32] ; [189  45],[265.18232044  43.81767956] ; [200.81767956  33.18232044],0
r1,1,0.003998,8.284858,[269  41] ; [181  53],[256.43382353  53.56617647] ; [193.56617647  40.43382353],0
p6,1,0.004943,7.900013,[167 141] ; [ 97 134],[150.85714286 157.14285714] ; [113.14285714 117.85714286],0
d4,1,0.006641,7.36765,[269  42] ; [180  52],[257.16206262  53.83793738] ; [191.83793738  40.16206262],0
d1,1,0.010883,6.48426,[201 112] ; [125 109],[186.54113346 126.45886654] ; [139.45886654  94.54113346],0
n1,1,0.011574,6.375,[22 26] ; [12 42],[16. 32.] ; [18. 36.],0
u1,1,0.01256,6.230055,[ 69 244] ; [ 32 202],[ 57.79341865 255.20658135] ; [ 43.20658135 190.79341865],0
a4,1,0.014345,5.995143,[151 160] ; [ 89 145],[136.95412844 174.04587156] ; [103.04587156 130.95412844],0
d5,1,0.022325,5.220243,[265  46] ; [180  52],[254.87108656  56.12891344] ; [190.12891344  41.87108656],0
