Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-05,19.47658,[ 7 42] ; [26 19],[17.20212766 31.79787234] ; [15.79787234 29.20212766],1
r4,1,0.000425,12.41779,[26 23] ; [39  6],[33.88297872 15.11702128] ; [31.11702128 13.88297872],1
p10,1,0.001692,9.85689,[23 25] ; [35  9],[30.26086957 17.73913043] ; [27.73913043 16.26086957],0
r3,1,0.003195,8.692817,[32 17] ; [40  4],[37.93548387 11.06451613] ; [34.06451613  9.93548387],0
v1,1,0.004257,8.170767,[12 37] ; [23 20],[18.64130435 30.35869565] ; [16.35869565 26.64130435],0
p9,1,0.014239,6.008316,[29 18] ; [38  7],[34.22826087 12.77173913] ; [32.77173913 12.22826087],0
v4,1,0.015404,5.869656,[35 14] ; [41  4],[39.61702128  9.38297872] ; [36.38297872  8.61702128],0
r1,1,0.015764,5.828962,[24 25] ; [33 12],[29.71276596 19.28723404] ; [27.28723404 17.71276596],0
s2,1,0.016995,5.696867,[10 38] ; [19 24],[15.2967033 32.7032967] ; [13.7032967 29.2967033],0
a6,1,0.021973,5.247907,[20 29] ; [29 16],[25.54255319 23.45744681] ; [23.45744681 21.54255319],0
a5,1,0.023136,5.158277,[19 30] ; [28 17],[24.5 24.5] ; [22.5 22.5],0
d4,1,0.025301,5.003136,[16 33] ; [25 20],[21.37234043 27.62765957] ; [19.62765957 25.37234043],0
s3,1,0.032166,4.589636,[14 34] ; [22 21],[18.98901099 29.01098901] ; [17.01098901 25.98901099],0
b1,1,0.046403,3.96689,[24 25] ; [13 32],[19.28723404 29.71276596] ; [17.71276596 27.28723404],0
r2,1,0.057696,3.602392,[36 13] ; [40  5],[39.61702128  9.38297872] ; [36.38297872  8.61702128],0
u3,1,0.061323,3.501231,[ 9 22] ; [12 10],[12.28301887 18.71698113] ; [ 8.71698113 13.28301887],0
n6,1,0.063165,3.452273,[30 18] ; [36  9],[34.06451613 13.93548387] ; [31.93548387 13.06451613],0
p6,1,0.063386,3.446495,[ 2 46] ; [ 7 38],[ 4.64516129 43.35483871] ; [ 4.35483871 40.64516129],0
b5,1,0.092655,2.827635,[22 27] ; [28 17],[26.06382979 22.93617021] ; [23.93617021 21.06382979],0
p11,1,0.100408,2.699056,[28 21] ; [33 12],[31.79787234 17.20212766] ; [29.20212766 15.79787234],0
v2,1,0.105651,2.618094,[10 34] ; [17 27],[13.5 30.5] ; [13.5 30.5],0
a3,1,0.106724,2.602068,[18 31] ; [23 20],[21.83695652 27.16304348] ; [19.16304348 23.83695652],0
p4,1,0.133336,2.253224,[ 9 40] ; [14 30],[12.11827957 36.88172043] ; [10.88172043 33.11827957],0
