Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,65.656566,[ 2 31] ; [128  34],[22. 11.] ; [108.  54.],1
d4,1,0.0,39.953308,[17 16] ; [151  11],[28.43076923  4.56923077] ; [139.56923077  22.43076923],1
d2,1,3e-06,21.999272,[ 7 26] ; [106  56],[19.12307692 13.87692308] ; [93.87692308 68.12307692],1
a4,1,1.2e-05,19.124969,[ 6 27] ; [97 65],[17.43076923 15.56923077] ; [85.56923077 76.43076923],1
d3,1,0.000126,14.7005,[16 17] ; [130  32],[24.70769231  8.29230769] ; [121.29230769  40.70769231],1
u1,1,0.000624,11.704247,[ 1 32] ; [ 52 110],[ 8.96923077 24.03076923] ; [ 44.03076923 117.96923077],1
a2,1,0.001599,9.961343,[ 2 31] ; [ 54 108],[ 9.47692308 23.52307692] ; [ 46.52307692 115.47692308],0
s6,1,0.004756,7.969811,[22 11] ; [138  21],[27.5  5.5] ; [132.5  26.5],0
v1,1,0.005174,7.817717,[14 19] ; [109  51],[21.03108808 11.96891192] ; [101.96891192  58.03108808],0
p9,1,0.007536,7.140615,[27  6] ; [153   8],[30.6185567  2.3814433] ; [149.3814433  11.6185567],0
p1,1,0.009652,6.697983,[10 23] ; [ 20 141],[ 5.10309278 27.89690722] ; [ 24.89690722 136.10309278],0
a5,1,0.009928,6.647727,[21 12] ; [135  27],[26.4  6.6] ; [129.6  32.4],0
a3,1,0.012821,6.193683,[22 11] ; [136  24],[27.01554404  5.98445596] ; [130.98445596  29.01554404],0
p4,1,0.0157,5.836197,[22 11] ; [137  25],[26.90769231  6.09230769] ; [132.09230769  29.90769231],0
r3,1,0.024158,5.083285,[29  4] ; [157   5],[31.47692308  1.52307692] ; [154.52307692   7.47692308],0
s8,1,0.069691,3.290289,[20 13] ; [123  39],[24.2  8.8] ; [118.8  43.2],0
a7,1,0.097592,2.744459,[27  6] ; [109  53],[23.01538462  9.98461538] ; [112.98461538  49.01538462],0
p8,1,0.124053,2.365387,[26  7] ; [104  56],[22.22797927 10.77202073] ; [107.77202073  52.22797927],0
p3,1,0.20996,1.571699,[20 13] ; [116  46],[23.01538462  9.98461538] ; [112.98461538  49.01538462],0
p7,1,0.280633,1.164022,[29  3] ; [132  27],[26.97382199  5.02617801] ; [134.02617801  24.97382199],0
b1,1,0.306083,1.047503,[16 17] ; [63 99],[13.36923077 19.63076923] ; [65.63076923 96.36923077],0
v2,1,0.308481,1.037167,[17 15] ; [101  60],[19.56476684 12.43523316] ; [98.43523316 62.56476684],0
p10,1,0.318963,0.993195,[27  6] ; [142  19],[28.74742268  4.25257732] ; [140.25257732  20.74742268],0
s2,1,0.318966,0.993182,[23 10] ; [126  36],[25.21538462  7.78461538] ; [123.78461538  38.21538462],0
u2,1,0.405521,0.691893,[7 4] ; [20  6],[8.02702703 2.97297297] ; [18.97297297  7.02702703],0
s5,1,0.503261,0.448052,[15 16] ; [83 68],[16.69230769 14.30769231] ; [81.30769231 69.69230769],0
n1,1,0.52111,0.411696,[4 2] ; [20 18],[3.27272727 2.72727273] ; [20.72727273 17.27272727],0
p5,1,0.530236,0.393939,[ 9 24] ; [ 36 126],[ 7.61538462 25.38461538] ; [ 37.38461538 124.61538462],0
v3,1,0.552371,0.353087,[14 19] ; [76 82],[15.54973822 17.45026178] ; [74.45026178 83.54973822],0
