Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.3e-05,17.936255,[3 8] ; [42  6],[8.38983051 2.61016949] ; [36.61016949 11.38983051],1
p9,1,0.000976,10.873225,[5 6] ; [41  5],[8.87719298 2.12280702] ; [37.12280702  8.87719298],1
d1,1,0.003213,8.682515,[ 1 10] ; [28 20],[5.40677966 5.59322034] ; [23.59322034 24.40677966],0
p10,1,0.004527,8.059151,[5 6] ; [40  7],[8.53448276 2.46551724] ; [36.46551724 10.53448276],0
s7,1,0.029921,4.713805,[ 1 10] ; [20 25],[4.125 6.875] ; [16.875 28.125],0
p2,1,0.041094,4.172116,[5 6] ; [36 11],[7.77586207 3.22413793] ; [33.22413793 13.77586207],0
s3,1,0.082924,3.006642,[3 8] ; [27 21],[5.59322034 5.40677966] ; [24.40677966 23.59322034],0
d5,1,0.090735,2.861283,[6 5] ; [38 10],[8.20338983 2.79661017] ; [35.79661017 12.20338983],0
v4,1,0.095367,2.781371,[9 2] ; [46  2],[10.25423729  0.74576271] ; [44.74576271  3.25423729],0
p11,1,0.108745,2.572368,[5 6] ; [34 14],[7.27118644 3.72881356] ; [31.72881356 16.27118644],0
n5,1,0.108745,2.572368,[6 5] ; [14 34],[3.72881356 7.27118644] ; [16.27118644 31.72881356],0
v2,1,0.165578,1.92253,[7 4] ; [38  8],[8.68421053 2.31578947] ; [36.31578947  9.68421053],0
s5,1,0.206389,1.596579,[2 9] ; [18 29],[3.79310345 7.20689655] ; [16.20689655 30.79310345],0
u3,1,0.211088,1.563946,[2 3] ; [10  4],[3.15789474 1.84210526] ; [8.84210526 5.15789474],0
d2,1,0.222143,1.490472,[2 9] ; [18 30],[3.72881356 7.27118644] ; [16.27118644 31.72881356],0
s8,1,0.222143,1.490472,[2 9] ; [18 30],[3.72881356 7.27118644] ; [16.27118644 31.72881356],0
a1,1,0.246701,1.341889,[ 1 10] ; [ 1 47],[ 0.37288136 10.62711864] ; [ 1.62711864 46.37288136],0
s6,1,0.250807,1.318805,[6 5] ; [34 13],[7.5862069 3.4137931] ; [32.4137931 14.5862069],0
a6,1,0.297041,1.08743,[6 5] ; [34 14],[7.45762712 3.54237288] ; [32.54237288 15.45762712],0
p8,1,0.314982,1.009671,[4 7] ; [25 22],[5.5 5.5] ; [23.5 23.5],0
r3,1,0.329678,0.950162,[9 2] ; [44  4],[9.88135593 1.11864407] ; [43.11864407  4.88135593],0
b1,1,0.367082,0.813519,[ 1 10] ; [10 38],[2.05084746 8.94915254] ; [ 8.94915254 39.05084746],0
a3,1,0.369355,0.805835,[6 5] ; [33 15],[7.27118644 3.72881356] ; [31.72881356 16.27118644],0
b5,1,0.437736,0.602211,[5 6] ; [28 20],[6.15254237 4.84745763] ; [26.84745763 21.15254237],0
a5,1,0.44885,0.573555,[6 5] ; [32 16],[7.08474576 3.91525424] ; [30.91525424 17.08474576],0
b2,1,0.487561,0.481905,[1 3] ; [10 13],[1.62962963 2.37037037] ; [ 9.37037037 13.62962963],0
b3,1,0.487561,0.481905,[1 3] ; [10 13],[1.62962963 2.37037037] ; [ 9.37037037 13.62962963],0
p6,1,0.497633,0.45998,[ 1 10] ; [ 8 38],[1.73684211 9.26315789] ; [ 7.26315789 38.73684211],0
s1,1,0.502511,0.44963,[ 1 10] ; [ 2 46],[ 0.55932203 10.44067797] ; [ 2.44067797 45.55932203],0
p1,1,0.514479,0.424946,[ 1 10] ; [ 2 45],[ 0.56896552 10.43103448] ; [ 2.43103448 44.56896552],0
d4,1,0.631278,0.230332,[10  1] ; [41  7],[9.50847458 1.49152542] ; [41.49152542  6.50847458],0
s4,1,0.63162,0.22987,[2 9] ; [12 36],[2.61016949 8.38983051] ; [11.38983051 36.61016949],0
s2,1,0.654759,0.199953,[4 7] ; [21 27],[4.66101695 6.33898305] ; [20.33898305 27.66101695],0
n3,1,0.711138,0.137143,[2 2] ; [12  8],[2.33333333 1.66666667] ; [11.66666667  8.33333333],0
v1,1,0.720684,0.127839,[6 5] ; [29 19],[6.52542373 4.47457627] ; [28.47457627 19.52542373],0
r4,1,0.764632,0.089642,[9 2] ; [41  7],[9.3220339 1.6779661] ; [40.6779661  7.3220339],0
n6,1,0.777176,0.080089,[7 4] ; [32 15],[7.39655172 3.60344828] ; [31.60344828 15.39655172],0
p7,1,0.80224,0.062725,[6 5] ; [27 19],[6.36842105 4.63157895] ; [26.63157895 19.36842105],0
r1,1,0.843781,0.038832,[9 2] ; [38 10],[8.76271186 2.23728814] ; [38.23728814  9.76271186],0
b4,1,0.848129,0.036674,[7 4] ; [32 16],[7.27118644 3.72881356] ; [31.72881356 16.27118644],0
p12,1,0.879425,0.023012,[ 1 10] ; [ 5 42],[1.13793103 9.86206897] ; [ 4.86206897 42.13793103],0
r2,1,0.935144,0.006622,[10  1] ; [44  4],[10.06779661  0.93220339] ; [43.93220339  4.06779661],0
p4,1,0.935409,0.006568,[5 6] ; [22 25],[5.12068966 5.87931034] ; [21.87931034 25.12068966],0
p3,1,0.990413,0.000144,[4 7] ; [17 30],[3.98275862 7.01724138] ; [17.01724138 29.98275862],0
u2,1,1.0,0.0,[4 1] ; [12  3],[4. 1.] ; [12.  3.],0
