Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2.1e-05,18.129824,[39 17] ; [ 91 147],[24.76190476 31.23809524] ; [105.23809524 132.76190476],1
n4,1,4.8e-05,16.526367,[42 21] ; [218  30],[52.66881029 10.33118971] ; [207.33118971  40.66881029],1
n6,1,0.002255,9.329698,[49 13] ; [227  19],[55.55844156  6.44155844] ; [220.44155844  25.55844156],0
s6,1,0.005813,7.607259,[54  7] ; [172  69],[45.64900662 15.35099338] ; [180.35099338  60.64900662],0
s2,1,0.00883,6.856942,[47 16] ; [139 107],[37.9223301 25.0776699] ; [148.0776699  97.9223301],0
v1,1,0.009954,6.643191,[30 32] ; [162  83],[38.7752443 23.2247557] ; [153.2247557  91.7752443],0
v3,1,0.010978,6.468931,[17 44] ; [111 131],[25.7689769 35.2310231] ; [102.2310231 139.7689769],0
v2,1,0.014238,6.008443,[28 33] ; [154  90],[36.4 24.6] ; [145.6  98.4],0
a8,1,0.020971,5.329212,[ 3 57] ; [ 37 184],[ 8.54092527 51.45907473] ; [ 31.45907473 189.54092527],0
d3,1,0.031683,4.615555,[52 10] ; [173  73],[45.29220779 16.70779221] ; [179.70779221  66.29220779],0
n5,1,0.04667,3.957261,[45 18] ; [204  43],[50.60322581 12.39677419] ; [198.39677419  48.60322581],0
s3,1,0.057957,3.594894,[45 18] ; [143 102],[38.45454545 24.54545455] ; [149.54545455  95.45454545],0
d1,1,0.063736,3.437388,[47 16] ; [154  94],[40.7170418 22.2829582] ; [160.2829582  87.7170418],0
s7,1,0.088287,2.905338,[45 17] ; [143  92],[39.24579125 22.75420875] ; [148.75420875  86.24579125],0
r3,1,0.10955,2.560708,[58  4] ; [241   6],[59.99352751  2.00647249] ; [239.00647249   7.99352751],0
b2,1,0.116469,2.464172,[13 24] ; [81 83],[17.30348259 19.69651741] ; [76.69651741 87.30348259],0
b3,1,0.116469,2.464172,[13 24] ; [81 83],[17.30348259 19.69651741] ; [76.69651741 87.30348259],0
p4,1,0.144401,2.130423,[54  9] ; [191  56],[49.79032258 13.20967742] ; [195.20967742  51.79032258],0
p8,1,0.146123,2.112263,[48 15] ; [164  82],[43.22330097 19.77669903] ; [168.77669903  77.22330097],0
b4,1,0.17487,1.840693,[42 21] ; [142 106],[37.2733119 25.7266881] ; [146.7266881 101.2733119],0
a1,1,0.176435,1.827403,[ 2 61] ; [ 20 228],[ 4.45659164 58.54340836] ; [ 17.54340836 230.45659164],0
