Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.00052,12.041936,[5 7] ; [124  25],[9.61490683 2.38509317] ; [119.38509317  29.61490683],1
v4,1,0.000902,11.017901,[9 3] ; [144   5],[11.40372671  0.59627329] ; [141.59627329   7.40372671],1
v2,1,0.00244,9.185346,[ 1 11] ; [76 65],[6.03921569 5.96078431] ; [70.96078431 70.03921569],0
r4,1,0.003163,8.711182,[7 5] ; [133  17],[10.37037037  1.62962963] ; [129.62962963  20.37037037],0
a6,1,0.02047,5.371353,[4 8] ; [100  50],[7.7037037 4.2962963] ; [96.2962963 53.7037037],0
d1,1,0.023713,5.115499,[3 9] ; [88 62],[6.74074074 5.25925926] ; [84.25925926 65.74074074],0
b1,1,0.037402,4.332019,[7 5] ; [ 44 106],[3.77777778 8.22222222] ; [ 47.22222222 102.77777778],0
a5,1,0.043074,4.092483,[5 7] ; [105  45],[8.14814815 3.85185185] ; [101.85185185  48.14814815],0
p9,1,0.050588,3.821878,[9 3] ; [138  12],[10.88888889  1.11111111] ; [136.11111111  13.88888889],0
a1,1,0.051328,3.797532,[ 2 10] ; [  6 144],[ 0.59259259 11.40740741] ; [  7.40740741 142.59259259],0
s3,1,0.052705,3.753251,[3 9] ; [80 68],[6.225 5.775] ; [76.775 71.225],0
n6,1,0.058633,3.575624,[5 7] ; [102  47],[7.97515528 4.02484472] ; [99.02484472 49.97515528],0
a3,1,0.08098,3.045113,[5 7] ; [100  50],[7.77777778 4.22222222] ; [97.22222222 52.77777778],0
p3,1,0.084918,2.968159,[ 2 10] ; [63 87],[4.81481481 7.18518519] ; [60.18518519 89.81481481],0
r3,1,0.116474,2.464105,[10  2] ; [142   8],[11.25925926  0.74074074] ; [140.74074074   9.25925926],0
s8,1,0.137305,2.207903,[7 5] ; [55 95],[4.59259259 7.40740741] ; [57.40740741 92.59259259],0
r1,1,0.142636,2.149284,[7 5] ; [115  34],[9.0931677 2.9068323] ; [112.9068323  36.0931677],0
p5,1,0.16044,1.97007,[ 2 10] ; [  9 140],[ 0.81987578 11.18012422] ; [ 10.18012422 138.81987578],0
d3,1,0.18056,1.793007,[7 5] ; [113  36],[8.94409938 3.05590062] ; [111.05590062  37.94409938],0
s4,1,0.185028,1.756773,[ 1 11] ; [ 38 112],[2.88888889 9.11111111] ; [ 36.11111111 113.88888889],0
p11,1,0.195981,1.672071,[7 5] ; [113  37],[8.88888889 3.11111111] ; [111.11111111  38.88888889],0
a7,1,0.281165,1.161448,[8 4] ; [119  30],[9.46583851 2.53416149] ; [117.53416149  31.46583851],0
s2,1,0.317034,1.001141,[4 8] ; [72 77],[5.66459627 6.33540373] ; [70.33540373 78.66459627],0
u2,1,0.322848,0.977376,[6 1] ; [33 16],[4.875 2.125] ; [34.125 14.875],0
p6,1,0.33625,0.924678,[ 2 10] ; [ 44 104],[3.45 8.55] ; [ 42.55 105.45],0
s7,1,0.362929,0.827734,[3 8] ; [61 87],[4.42767296 6.57232704] ; [59.57232704 88.42767296],0
a4,1,0.369533,0.805235,[3 9] ; [57 93],[4.44444444 7.55555556] ; [55.55555556 94.44444444],0
b3,1,0.399126,0.710956,[1 5] ; [27 54],[1.93103448 4.06896552] ; [26.06896552 54.93103448],0
b2,1,0.399126,0.710956,[1 5] ; [27 54],[1.93103448 4.06896552] ; [26.06896552 54.93103448],0
s1,1,0.477458,0.504664,[ 1 11] ; [  6 144],[ 0.51851852 11.48148148] ; [  6.48148148 143.51851852],0
u3,1,0.540922,0.373834,[4 3] ; [33 15],[4.70909091 2.29090909] ; [32.29090909 15.70909091],0
n2,1,0.597356,0.279002,[2 2] ; [26 15],[2.48888889 1.51111111] ; [25.51111111 15.48888889],0
p2,1,0.599801,0.275296,[9 3] ; [121  28],[9.68944099 2.31055901] ; [120.31055901  28.68944099],0
p7,1,0.611283,0.258311,[8 4] ; [87 60],[7.16981132 4.83018868] ; [87.83018868 59.16981132],0
d2,1,0.61798,0.248717,[4 8] ; [61 89],[4.81481481 7.18518519] ; [60.18518519 89.81481481],0
p12,1,0.662427,0.190588,[ 1 11] ; [  8 142],[ 0.66666667 11.33333333] ; [  8.33333333 141.66666667],0
n4,1,0.681617,0.168312,[4 8] ; [59 91],[4.66666667 7.33333333] ; [58.33333333 91.66666667],0
a8,1,0.717424,0.130975,[ 1 11] ; [  8 131],[ 0.71523179 11.28476821] ; [  8.28476821 130.71523179],0
p4,1,0.73819,0.111724,[5 7] ; [70 80],[5.55555556 6.44444444] ; [69.44444444 80.55555556],0
p8,1,0.756251,0.096353,[5 7] ; [69 80],[5.51552795 6.48447205] ; [68.48447205 80.51552795],0
s6,1,0.756566,0.096096,[7 5] ; [93 55],[7.5 4.5] ; [92.5 55.5],0
b4,1,0.782466,0.076235,[8 4] ; [94 56],[7.55555556 4.44444444] ; [94.44444444 55.55555556],0
v1,1,0.7875,0.072662,[4 8] ; [54 91],[4.43312102 7.56687898] ; [53.56687898 91.43312102],0
v3,1,0.797328,0.06595,[3 9] ; [ 41 103],[3.38461538 8.61538462] ; [ 40.61538462 103.38461538],0
b5,1,0.801458,0.063232,[7 5] ; [93 57],[7.40740741 4.59259259] ; [92.59259259 57.40740741],0
