Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,77.530199,[48 69] ; [99  3],[78.53424658 38.46575342] ; [68.46575342 33.53424658],1
d2,1,0.0,71.959455,[22 96] ; [76 24],[53.04587156 64.95412844] ; [44.95412844 55.04587156],1
d4,1,0.0,61.885868,[59 59] ; [98  2],[84.98165138 33.01834862] ; [72.01834862 27.98165138],1
d3,1,0.0,50.710195,[40 76] ; [84 18],[65.98165138 50.01834862] ; [58.01834862 43.98165138],1
a5,1,0.0,31.259769,[46 72] ; [78 24],[66.50909091 51.49090909] ; [57.49090909 44.50909091],1
a4,1,0.0,28.813597,[27 91] ; [59 42],[46.33789954 71.66210046] ; [39.66210046 61.33789954],1
a2,1,0.0,26.907382,[  4 114] ; [29 73],[ 17.7 100.3] ; [15.3 86.7],1
a6,1,1.3e-05,19.012684,[55 63] ; [77 25],[70.8 47.2] ; [61.2 40.8],1
a3,1,4e-05,16.848058,[60 56] ; [80 22],[74.49541284 41.50458716] ; [65.50458716 36.49541284],1
v2,1,4.9e-05,16.48599,[31 80] ; [54 43],[45.36057692 65.63942308] ; [39.63942308 57.36057692],1
r1,1,7.4e-05,15.70813,[60 57] ; [78 23],[74.06422018 42.93577982] ; [63.93577982 37.06422018],1
n6,1,0.00025,13.409647,[65 51] ; [81 21],[77.68807339 38.31192661] ; [68.31192661 33.68807339],1
r2,1,0.000282,13.188296,[90 27] ; [91  5],[99.42253521 17.57746479] ; [81.57746479 14.42253521],1
a7,1,0.000461,12.267024,[58 58] ; [74 27],[70.56221198 45.43778802] ; [61.43778802 39.56221198],1
r4,1,0.000568,11.878491,[68 50] ; [81 21],[79.91818182 38.08181818] ; [69.08181818 32.91818182],1
u1,1,0.001029,10.774541,[  3 115] ; [15 87],[  9.65454545 108.34545455] ; [ 8.34545455 93.65454545],0
r3,1,0.003858,8.349326,[87 29] ; [91 10],[95.15207373 20.84792627] ; [82.84792627 18.15207373],0
n4,1,0.005285,7.779338,[61 56] ; [72 30],[71.05479452 45.94520548] ; [61.94520548 40.05479452],0
v3,1,0.027377,4.866892,[22 92] ; [31 64],[28.90909091 85.09090909] ; [24.09090909 70.90909091],0
p10,1,0.03703,4.349016,[59 56] ; [66 35],[66.55092593 48.44907407] ; [58.44907407 42.55092593],0
b1,1,0.039665,4.232169,[53 65] ; [32 70],[45.59090909 72.40909091] ; [39.40909091 62.59090909],0
v4,1,0.045246,4.009436,[88 27] ; [88 13],[93.7037037 21.2962963] ; [82.2962963 18.7037037],0
p9,1,0.049372,3.862669,[66 49] ; [69 29],[72.88732394 42.11267606] ; [62.11267606 35.88732394],0
p11,1,0.061805,3.488264,[69 49] ; [72 30],[75.62727273 42.37272727] ; [65.37272727 36.62727273],0
n1,1,0.085539,2.956376,[18 22] ; [10 28],[14.35897436 25.64102564] ; [13.64102564 24.35897436],0
p8,1,0.096387,2.764336,[28 87] ; [35 66],[33.54166667 81.45833333] ; [29.45833333 71.54166667],0
s8,1,0.103097,2.656965,[ 11 107] ; [17 85],[ 15.01818182 102.98181818] ; [12.98181818 89.01818182],0
p7,1,0.103246,2.654674,[37 76] ; [44 57],[42.77102804 70.22897196] ; [38.22897196 62.77102804],0
n2,1,0.118918,2.43152,[29 12] ; [21 18],[25.625 15.375] ; [24.375 14.625],0
p4,1,0.145061,2.123435,[25 92] ; [30 70],[29.65437788 87.34562212] ; [25.34562212 74.65437788],0
a1,1,0.192679,1.697014,[  8 110] ; [ 3 99],[  5.9 112.1] ; [ 5.1 96.9],0
s4,1,0.2473,1.338493,[ 12 106] ; [ 6 96],[  9.65454545 108.34545455] ; [ 8.34545455 93.65454545],0
u3,1,0.260826,1.264368,[21 37] ; [11 11],[23.2 34.8] ; [ 8.8 13.2],0
s5,1,0.267425,1.229905,[  8 108] ; [11 87],[ 10.29906542 105.70093458] ; [ 8.70093458 89.29906542],0
p1,1,0.27602,1.18658,[  7 109] ; [ 3 99],[  5.32110092 110.67889908] ; [ 4.67889908 97.32110092],0
s7,1,0.318185,0.996393,[15 95] ; [18 78],[17.62135922 92.37864078] ; [15.37864078 80.62135922],0
n5,1,0.332039,0.940928,[66 50] ; [64 37],[69.49308756 46.50691244] ; [60.50691244 40.49308756],0
p6,1,0.392906,0.729931,[17 99] ; [19 81],[19.33333333 96.66666667] ; [16.66666667 83.33333333],0
s3,1,0.467067,0.528907,[31 86] ; [22 77],[28.70833333 88.29166667] ; [24.29166667 74.70833333],0
n3,1,0.48214,0.494018,[26 13] ; [23 16],[24.5 14.5] ; [24.5 14.5],0
b4,1,0.493968,0.467871,[64 54] ; [60 42],[66.50909091 51.49090909] ; [57.49090909 44.50909091],0
p2,1,0.528571,0.397138,[74 43] ; [68 33],[76.21100917 40.78899083] ; [65.78899083 35.21100917],0
u2,1,0.552269,0.353268,[26 32] ; [11 10],[27.16455696 30.83544304] ; [ 9.83544304 11.16455696],0
p12,1,0.63812,0.22121,[  2 114] ; [  1 101],[  1.59633028 114.40366972] ; [  1.40366972 100.59633028],0
s2,1,0.719888,0.1286,[20 98] ; [15 84],[19.03225806 98.96774194] ; [15.96774194 83.03225806],0
b5,1,0.794448,0.067881,[68 50] ; [57 45],[67.04545455 50.95454545] ; [57.95454545 44.04545455],0
v1,1,0.829538,0.046351,[36 79] ; [33 68],[36.73611111 78.26388889] ; [32.26388889 68.73611111],0
p5,1,0.881488,0.022226,[  3 112] ; [ 3 99],[  3.1797235 111.8202765] ; [ 2.8202765 99.1797235],0
a8,1,0.932748,0.007121,[ 11 101] ; [ 9 86],[ 10.82125604 101.17874396] ; [ 9.17874396 85.82125604],0
b3,1,0.95252,0.003545,[25 40] ; [23 36],[25.16129032 39.83870968] ; [22.83870968 36.16129032],0
b2,1,0.95252,0.003545,[25 40] ; [23 36],[25.16129032 39.83870968] ; [22.83870968 36.16129032],0
