Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.579492,[32 11] ; [ 8 32],[20.72289157 22.27710843] ; [19.27710843 20.72289157],1
s8,1,0.004887,7.920827,[25 18] ; [11 29],[18.65060241 24.34939759] ; [17.34939759 22.65060241],0
s5,1,0.008344,6.958103,[22 19] ; [10 30],[16.19753086 24.80246914] ; [15.80246914 24.19753086],0
s6,1,0.008468,6.931695,[36  7] ; [23 17],[30.56626506 12.43373494] ; [28.43373494 11.56626506],0
b4,1,0.038798,4.269693,[31 12] ; [20 20],[26.42168675 16.57831325] ; [24.57831325 15.42168675],0
n6,1,0.088287,2.905329,[24 18] ; [30 10],[27.65853659 14.34146341] ; [26.34146341 13.65853659],0
s4,1,0.114848,2.486212,[14 29] ; [ 7 33],[10.87951807 32.12048193] ; [10.12048193 29.87951807],0
p1,1,0.125114,2.352107,[ 8 34] ; [ 3 37],[ 5.63414634 36.36585366] ; [ 5.36585366 34.63414634],0
d4,1,0.126503,2.334902,[37  6] ; [29 11],[34.19277108  8.80722892] ; [31.80722892  8.19277108],0
d1,1,0.154446,2.027781,[25 18] ; [17 23],[21.75903614 21.24096386] ; [20.24096386 19.75903614],0
n1,1,0.163187,1.944444,[4 5] ; [ 2 10],[2.57142857 6.42857143] ; [3.42857143 8.57142857],0
d2,1,0.181875,1.782232,[19 24] ; [12 28],[16.06024096 26.93975904] ; [14.93975904 25.06024096],0
r2,1,0.198534,1.653124,[41  2] ; [35  5],[39.37349398  3.62650602] ; [36.62650602  3.37349398],0
r4,1,0.294355,1.099596,[38  5] ; [32  8],[36.26506024  6.73493976] ; [33.73493976  6.26506024],0
p2,1,0.311971,1.022314,[37  6] ; [31  9],[35.22891566  7.77108434] ; [32.77108434  7.22891566],0
u1,1,0.344738,0.892733,[ 6 37] ; [ 3 37],[ 4.6626506 38.3373494] ; [ 4.3373494 35.6626506],0
u3,1,0.376482,0.782159,[13  4] ; [8 5],[11.9  5.1] ; [9.1 3.9],0
p5,1,0.394232,0.725848,[ 3 40] ; [ 5 35],[ 4.14457831 38.85542169] ; [ 3.85542169 36.14457831],0
p6,1,0.408423,0.683385,[17 25] ; [12 26],[15.225 26.775] ; [13.775 24.225],0
n5,1,0.432587,0.615867,[13 30] ; [15 24],[14.68292683 28.31707317] ; [13.31707317 25.68292683],0
v3,1,0.443789,0.586466,[12 27] ; [ 9 30],[10.5 28.5] ; [10.5 28.5],0
