Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5.7e-05,16.198224,[51 42] ; [ 40 100],[36.32188841 56.67811159] ; [54.67811159 85.32188841],1
v3,1,0.00162,9.936701,[34 62] ; [ 25 118],[23.69874477 72.30125523] ; [ 35.30125523 107.69874477],0
r1,1,0.008904,6.841888,[70 26] ; [84 65],[60.34285714 35.65714286] ; [93.65714286 55.34285714],0
p9,1,0.012786,6.198507,[75 21] ; [90 53],[66.27615063 29.72384937] ; [98.72384937 44.27615063],0
r2,1,0.013083,6.157912,[87  8] ; [118  30],[80.14403292 14.85596708] ; [124.85596708  23.14403292],0
a4,1,0.015411,5.868856,[30 65] ; [ 27 122],[22.19262295 72.80737705] ; [ 34.80737705 114.19262295],0
n2,1,0.022161,5.233068,[18  1] ; [32 15],[14.39393939  4.60606061] ; [35.60606061 11.39393939],0
u3,1,0.023628,5.12174,[25 19] ; [31 55],[18.95384615 25.04615385] ; [37.04615385 48.95384615],0
a3,1,0.02479,5.038515,[53 43] ; [60 88],[44.45901639 51.54098361] ; [68.54098361 79.45901639],0
p10,1,0.045979,3.982373,[67 28] ; [82 60],[59.7257384 35.2742616] ; [89.2742616 52.7257384],0
p2,1,0.060173,3.5326,[72 24] ; [94 54],[65.31147541 30.68852459] ; [100.68852459  47.31147541],0
a5,1,0.06516,3.400921,[52 45] ; [62 87],[44.95121951 52.04878049] ; [69.04878049 79.95121951],0
n4,1,0.069334,3.298709,[65 31] ; [83 65],[58.2295082 37.7704918] ; [89.7704918 58.2295082],0
a6,1,0.081821,3.028348,[49 48] ; [92 57],[55.59756098 41.40243902] ; [85.40243902 63.59756098],0
n6,1,0.08731,2.923291,[74 21] ; [101  48],[68.1352459 26.8647541] ; [106.8647541  42.1352459],0
a2,1,0.092814,2.824874,[ 7 90] ; [  4 145],[ 4.33739837 92.66260163] ; [  6.66260163 142.33739837],0
p11,1,0.106571,2.604352,[72 25] ; [96 53],[66.24390244 30.75609756] ; [101.75609756  47.24390244],0
r4,1,0.126875,2.330332,[78 19] ; [107  42],[72.94715447 24.05284553] ; [112.05284553  36.94715447],0
n5,1,0.13555,2.227763,[65 30] ; [86 60],[59.52282158 35.47717842] ; [91.47717842 54.52282158],0
u1,1,0.166947,1.910147,[ 4 93] ; [  2 147],[ 2.36585366 94.63414634] ; [  3.63414634 145.36585366],0
p4,1,0.167684,1.903527,[42 54] ; [51 95],[36.89256198 59.10743802] ; [56.10743802 89.89256198],0
n3,1,0.168121,1.899618,[16  3] ; [31 15],[13.73846154  5.26153846] ; [33.26153846 12.73846154],0
b5,1,0.180267,1.795425,[63 34] ; [84 65],[57.96341463 39.03658537] ; [89.03658537 59.96341463],0
d5,1,0.181296,1.78697,[55 42] ; [71 77],[49.88571429 47.11428571] ; [76.11428571 71.88571429],0
a7,1,0.199872,1.643306,[63 32] ; [86 62],[58.25102881 36.74897119] ; [90.74897119 57.25102881],0
p7,1,0.203516,1.616965,[50 44] ; [64 79],[45.21518987 48.78481013] ; [68.78481013 74.21518987],0
v4,1,0.212164,1.556595,[85 10] ; [124  24],[81.70781893 13.29218107] ; [127.29218107  20.70781893],0
p1,1,0.232314,1.426636,[10 87] ; [  9 138],[ 7.55327869 89.44672131] ; [ 11.44672131 135.55327869],0
p3,1,0.259949,1.269029,[37 59] ; [ 47 102],[32.91428571 63.08571429] ; [51.08571429 97.91428571],0
