Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000435,12.375,[ 6 12] ; [38 10],[12.  6.] ; [32. 16.],1
d3,1,0.001538,10.031939,[ 3 15] ; [29 19],[8.72727273 9.27272727] ; [23.27272727 24.72727273],0
a6,1,0.003546,8.502757,[ 4 14] ; [30 18],[9.27272727 8.72727273] ; [24.72727273 23.27272727],0
s6,1,0.011796,6.341348,[ 3 15] ; [24 23],[ 7.47692308 10.52307692] ; [19.52307692 27.47692308],0
n3,1,0.022862,5.17895,[11  2] ; [ 9 11],[7.87878788 5.12121212] ; [12.12121212  7.87878788],0
p7,1,0.070311,3.275735,[12  6] ; [20 28],[8.72727273 9.27272727] ; [23.27272727 24.72727273],0
a5,1,0.077374,3.119213,[ 5 13] ; [25 23],[8.18181818 9.81818182] ; [21.81818182 26.18181818],0
p3,1,0.087672,2.916609,[ 2 16] ; [15 32],[ 4.70769231 13.29230769] ; [12.29230769 34.70769231],0
s5,1,0.090701,2.861885,[ 1 17] ; [11 35],[ 3.375 14.625] ; [ 8.625 37.375],0
b4,1,0.099865,2.707692,[ 8 10] ; [32 16],[10.90909091  7.09090909] ; [29.09090909 18.90909091],0
v1,1,0.127413,2.32375,[ 2 16] ; [14 34],[ 4.36363636 13.63636364] ; [11.63636364 36.36363636],0
a8,1,0.134481,2.24,[ 2 16] ; [ 1 44],[ 0.85714286 17.14285714] ; [ 2.14285714 42.85714286],0
p11,1,0.138339,2.196344,[10  8] ; [17 31],[ 7.36363636 10.63636364] ; [19.63636364 28.36363636],0
r1,1,0.138339,2.196344,[ 8 10] ; [31 17],[10.63636364  7.36363636] ; [28.36363636 19.63636364],0
v2,1,0.140849,2.168658,[ 4 13] ; [21 27],[ 6.53846154 10.46153846] ; [18.46153846 29.53846154],0
p2,1,0.158645,1.987097,[11  7] ; [20 28],[8.45454545 9.54545455] ; [22.54545455 25.45454545],0
b5,1,0.158645,1.987097,[ 7 11] ; [28 20],[9.54545455 8.45454545] ; [25.45454545 22.54545455],0
n1,1,0.160475,1.969742,[5 7] ; [ 4 17],[3.27272727 8.72727273] ; [ 5.72727273 15.27272727],0
d2,1,0.174052,1.847696,[ 6 12] ; [25 23],[8.45454545 9.54545455] ; [22.54545455 25.45454545],0
a4,1,0.182913,1.773796,[ 3 15] ; [16 32],[ 5.18181818 12.81818182] ; [13.81818182 34.18181818],0
a7,1,0.24427,1.355778,[ 8 10] ; [29 19],[10.09090909  7.90909091] ; [26.90909091 21.09090909],0
a3,1,0.24427,1.355778,[ 8 10] ; [29 19],[10.09090909  7.90909091] ; [26.90909091 21.09090909],0
p10,1,0.312099,1.021771,[ 5 13] ; [ 8 40],[ 3.54545455 14.45454545] ; [ 9.45454545 38.54545455],0
s1,1,0.32748,0.958838,[ 3 15] ; [ 4 44],[ 1.90909091 16.09090909] ; [ 5.09090909 42.90909091],0
s8,1,0.344383,0.894047,[ 4 14] ; [ 6 41],[ 2.76923077 15.23076923] ; [ 7.23076923 39.76923077],0
p6,1,0.35311,0.86225,[ 5 13] ; [ 8 38],[ 3.65625 14.34375] ; [ 9.34375 36.65625],0
b3,1,0.423558,0.640421,[1 9] ; [ 6 22],[1.84210526 8.15789474] ; [ 5.15789474 22.84210526],0
b2,1,0.423558,0.640421,[1 9] ; [ 6 22],[1.84210526 8.15789474] ; [ 5.15789474 22.84210526],0
p4,1,0.445712,0.581532,[9 9] ; [19 29],[ 7.63636364 10.36363636] ; [20.36363636 27.63636364],0
n6,1,0.481526,0.495404,[ 8 10] ; [26 22],[9.27272727 8.72727273] ; [24.72727273 23.27272727],0
u2,1,0.517613,0.418647,[4 6] ; [10  9],[4.82758621 5.17241379] ; [9.17241379 9.82758621],0
u3,1,0.523094,0.407788,[7 3] ; [11  8],[6.20689655 3.79310345] ; [11.79310345  7.20689655],0
p8,1,0.548952,0.359198,[ 5 12] ; [18 30],[ 6.01538462 10.98461538] ; [16.98461538 31.01538462],0
s7,1,0.650196,0.205653,[ 3 15] ; [10 36],[ 3.65625 14.34375] ; [ 9.34375 36.65625],0
n5,1,0.681504,0.168438,[ 5 13] ; [11 37],[ 4.36363636 13.63636364] ; [11.63636364 36.36363636],0
r4,1,0.720549,0.127968,[10  8] ; [29 19],[10.63636364  7.36363636] ; [28.36363636 19.63636364],0
n2,1,0.726713,0.122152,[7 6] ; [12  8],[7.48484848 5.51515152] ; [11.51515152  8.48484848],0
r3,1,0.752091,0.099782,[14  4] ; [39  9],[14.45454545  3.54545455] ; [38.54545455  9.45454545],0
s3,1,0.753983,0.098214,[ 6 12] ; [18 30],[ 6.54545455 11.45454545] ; [17.45454545 30.54545455],0
p1,1,0.809362,0.058201,[ 1 17] ; [ 2 46],[ 0.81818182 17.18181818] ; [ 2.18181818 45.81818182],0
s2,1,0.873361,0.025406,[ 5 13] ; [14 33],[ 5.26153846 12.73846154] ; [13.73846154 33.26153846],0
s4,1,0.902169,0.01511,[ 4 14] ; [10 38],[ 3.81818182 14.18181818] ; [10.18181818 37.81818182],0
v4,1,0.902169,0.01511,[14  4] ; [38 10],[14.18181818  3.81818182] ; [37.81818182 10.18181818],0
r2,1,0.95219,0.003595,[14  4] ; [37 11],[13.90909091  4.09090909] ; [37.09090909 10.90909091],0
b1,1,1.0,0.0,[9 9] ; [24 24],[9. 9.] ; [24. 24.],0
