Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.3e-05,16.7465,[ 86 187] ; [42 31],[100.99421965 172.00578035] ; [27.00578035 45.99421965],1
s8,1,0.028552,4.794399,[ 32 245] ; [16 59],[ 37.77272727 239.22727273] ; [10.22727273 64.77272727],0
p7,1,0.03679,4.360097,[134 138] ; [46 27],[141.91304348 130.08695652] ; [38.08695652 34.91304348],0
p2,1,0.053557,3.726454,[197  78] ; [62 13],[203.5  71.5] ; [55.5 19.5],0
r3,1,0.108827,2.571166,[238  37] ; [70  5],[242.  33.] ; [66.  9.],0
b4,1,0.170105,1.882017,[161 117] ; [50 25],[166.16997167 111.83002833] ; [44.83002833 30.16997167],0
a5,1,0.214683,1.539561,[181  97] ; [43 32],[176.40793201 101.59206799] ; [47.59206799 27.40793201],0
n3,1,0.249354,1.326918,[54 25] ; [14  3],[55.95833333 23.04166667] ; [12.04166667  4.95833333],0
p1,1,0.267998,1.226967,[ 26 252] ; [ 4 71],[ 23.62606232 254.37393768] ; [ 6.37393768 68.62606232],0
a2,1,0.271375,1.209781,[ 48 230] ; [ 9 66],[ 44.88951841 233.11048159] ; [12.11048159 62.88951841],0
r4,1,0.286967,1.133798,[218  60] ; [63 12],[221.29745042  56.70254958] ; [59.70254958 15.29745042],0
n2,1,0.287453,1.131512,[51 30] ; [13  4],[52.89795918 28.10204082] ; [11.10204082  5.89795918],0
r1,1,0.292201,1.10945,[200  76] ; [49 25],[196.35428571  79.64571429] ; [52.64571429 21.35428571],0
p6,1,0.302896,1.061398,[ 59 213] ; [20 53],[ 62.28405797 209.71594203] ; [16.71594203 56.28405797],0
a7,1,0.311324,1.025051,[190  86] ; [47 28],[186.35897436  89.64102564] ; [50.64102564 24.35897436],0
d5,1,0.354389,0.857678,[211  67] ; [53 22],[207.90934844  70.09065156] ; [56.09065156 18.90934844],0
d1,1,0.356244,0.851091,[139 139] ; [33 42],[135.45609065 142.54390935] ; [36.54390935 38.45609065],0
u1,1,0.368652,0.808205,[ 28 250] ; [ 5 70],[ 25.98866856 252.01133144] ; [ 7.01133144 67.98866856],0
