Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,79.460344,[503  84] ; [78 71],[463.37907609 123.62092391] ; [117.62092391  31.37907609],1
p9,1,0.0,50.030431,[516  72] ; [95 55],[486.81300813 101.18699187] ; [124.18699187  25.81300813],1
p2,1,3e-06,21.775324,[507  82] ; [108  46],[487.53028264 101.46971736] ; [127.46971736  26.53028264],1
p8,1,4e-06,21.295896,[323 262] ; [ 52 100],[297.65943012 287.34056988] ; [77.34056988 74.65943012],1
n6,1,1.6e-05,18.579418,[509  84] ; [108  44],[491.11543624 101.88456376] ; [125.88456376  26.11543624],1
n4,1,9.6e-05,15.222028,[478 118] ; [100  53],[459.9305741 136.0694259] ; [118.0694259  34.9305741],1
b1,1,0.000335,12.861525,[210 386] ; [79 76],[229.35286285 366.64713715] ; [59.64713715 95.35286285],1
n5,1,0.000557,11.914916,[449 142] ; [95 58],[432.12903226 158.87096774] ; [111.87096774  41.12903226],1
s1,1,0.000599,11.77873,[ 13 574] ; [ 12 141],[ 19.83108108 567.16891892] ; [  5.16891892 147.83108108],1
p7,1,0.000625,11.699479,[380 198] ; [77 75],[361.84383562 216.15616438] ; [95.15616438 56.84383562],1
p12,1,0.00282,8.920268,[ 54 534] ; [  3 150],[ 45.23076923 542.76923077] ; [ 11.76923077 141.23076923],0
r4,1,0.003719,8.416225,[552  44] ; [132  23],[542.82822903  53.17177097] ; [141.17177097  13.82822903],0
p4,1,0.005438,7.7278,[357 233] ; [73 79],[341.91374663 248.08625337] ; [88.08625337 63.91374663],0
p3,1,0.005748,7.62778,[298 293] ; [58 95],[282.79032258 308.20967742] ; [73.20967742 79.79032258],0
v4,1,0.006777,7.331075,[567  25] ; [139  15],[560.25737265  31.74262735] ; [145.74262735   8.25737265],0
v2,1,0.009842,6.663358,[348 222] ; [73 75],[334.22005571 235.77994429] ; [86.77994429 61.22005571],0
b5,1,0.011555,6.377842,[345 251] ; [107  48],[358.71105193 237.28894807] ; [93.28894807 61.71105193],0
v1,1,0.013748,6.070211,[323 251] ; [69 84],[309.50206327 264.49793673] ; [82.49793673 70.50206327],0
s8,1,0.026181,4.944048,[263 330] ; [ 53 101],[250.854083 342.145917] ; [65.145917 88.854083],0
a5,1,0.035153,4.437721,[442 153] ; [102  53],[431.57333333 163.42666667] ; [112.42666667  42.57333333],0
a3,1,0.040793,4.184593,[427 167] ; [97 56],[416.6746988 177.3253012] ; [107.3253012  45.6746988],0
u2,1,0.067284,3.348076,[103  65] ; [26 29],[97.1838565 70.8161435] ; [31.8161435 23.1838565],0
p5,1,0.07736,3.11951,[ 72 516] ; [ 11 142],[ 65.86234818 522.13765182] ; [ 17.13765182 135.86234818],0
a6,1,0.078315,3.099522,[410 183] ; [95 59],[400.89022758 192.10977242] ; [104.10977242  49.89022758],0
v3,1,0.082791,3.00924,[243 330] ; [50 95],[233.82869081 339.17130919] ; [59.17130919 85.82869081],0
n3,1,0.087564,2.918592,[89 26] ; [33 18],[84.51807229 30.48192771] ; [37.48192771 13.51807229],0
b2,1,0.109883,2.555906,[157 223] ; [25 54],[150.67538126 229.32461874] ; [31.32461874 47.67538126],0
b3,1,0.109883,2.555906,[157 223] ; [25 54],[150.67538126 229.32461874] ; [31.32461874 47.67538126],0
d1,1,0.126787,2.331414,[352 244] ; [81 74],[343.63249001 252.36750999] ; [89.36750999 65.63249001],0
d5,1,0.175261,1.837355,[484 110] ; [118  36],[478.05882353 115.94117647] ; [123.94117647  30.05882353],0
d4,1,0.221242,1.496294,[494  99] ; [121  32],[488.86729223 104.13270777] ; [126.13270777  26.86729223],0
n1,1,0.226361,1.463585,[38 76] ; [22 29],[41.45454545 72.54545455] ; [18.54545455 32.45454545],0
b4,1,0.291114,1.114462,[351 245] ; [84 71],[345.21970706 250.78029294] ; [89.78029294 65.21970706],0
n2,1,0.293228,1.104739,[87 28] ; [36 17],[84.19642857 30.80357143] ; [38.80357143 14.19642857],0
a2,1,0.297828,1.083893,[134 462] ; [ 41 114],[138.88149134 457.11850866] ; [ 36.11850866 118.88149134],0
p6,1,0.325462,0.96687,[206 376] ; [ 47 104],[200.88130969 381.11869031] ; [52.11869031 98.88130969],0
r1,1,0.407073,0.687334,[479 114] ; [119  34],[475.3538874 117.6461126] ; [122.6461126  30.3538874],0
u3,1,0.436796,0.604686,[97 71] ; [29 27],[94.5 73.5] ; [31.5 24.5],0
d3,1,0.441724,0.5918,[400 194] ; [98 55],[396. 198.] ; [102.  51.],0
p1,1,0.458755,0.54893,[ 49 541] ; [ 10 144],[ 46.78763441 543.21236559] ; [ 12.21236559 141.78763441],0
r2,1,0.477165,0.505335,[554  33] ; [143  11],[552.14439946  34.85560054] ; [144.85560054   9.14439946],0
s5,1,0.522156,0.409633,[172 407] ; [ 40 108],[168.84181568 410.15818432] ; [ 43.15818432 104.84181568],0
a8,1,0.544307,0.367616,[ 89 454] ; [ 20 120],[ 86.65739385 456.34260615] ; [ 22.34260615 117.65739385],0
s3,1,0.694942,0.153787,[311 275] ; [79 75],[308.83783784 277.16216216] ; [81.16216216 72.83783784],0
s2,1,0.702603,0.145778,[272 319] ; [74 81],[274.10991957 316.89008043] ; [71.89008043 83.10991957],0
d2,1,0.718769,0.129675,[283 310] ; [76 78],[284.9892905 308.0107095] ; [74.0107095 79.9892905],0
s7,1,0.724731,0.124005,[264 305] ; [64 79],[262.12359551 306.87640449] ; [65.87640449 77.12359551],0
u1,1,0.771255,0.084526,[ 98 498] ; [ 27 128],[ 99.20106525 496.79893475] ; [ 25.79893475 129.20106525],0
a4,1,0.830882,0.045612,[262 331] ; [67 88],[260.82486631 332.17513369] ; [68.17513369 86.82486631],0
a7,1,0.847339,0.037062,[430 164] ; [111  44],[429.04405874 164.95594126] ; [111.95594126  43.04405874],0
a1,1,0.855958,0.03295,[ 29 567] ; [  7 148],[ 28.56990679 567.43009321] ; [  7.43009321 147.56990679],0
u4,1,0.866599,0.028217,[ 14 582] ; [  4 151],[ 14.2849534 581.7150466] ; [  3.7150466 151.2849534],0
s6,1,0.928555,0.008039,[366 221] ; [96 57],[366.47837838 220.52162162] ; [95.52162162 57.47837838],0
