Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.87811,[39  3] ; [10 17],[29.82608696 12.17391304] ; [19.17391304  7.82608696],1
s3,1,0.002365,9.242021,[33 12] ; [10 17],[26.875 18.125] ; [16.125 10.875],0
r1,1,0.057952,3.595035,[40  5] ; [20  8],[36.98630137  8.01369863] ; [23.01369863  4.98630137],0
v1,1,0.074014,3.191677,[35 10] ; [15 11],[31.69014085 13.30985915] ; [18.30985915  7.69014085],0
s4,1,0.089162,2.889439,[ 8 37] ; [ 1 25],[ 5.70422535 39.29577465] ; [ 3.29577465 22.70422535],0
s6,1,0.095121,2.785498,[39  5] ; [19  7],[36.45714286  7.54285714] ; [21.54285714  4.45714286],0
d3,1,0.102034,2.67346,[37  8] ; [19 10],[34.05405405 10.94594595] ; [21.94594595  7.05405405],0
p7,1,0.117927,2.444646,[36  7] ; [19  9],[33.30985915  9.69014085] ; [21.69014085  6.30985915],0
r2,1,0.127399,2.323911,[43  1] ; [25  3],[41.55555556  2.44444444] ; [26.44444444  1.55555556],0
s2,1,0.129963,2.292942,[29 16] ; [13 15],[25.89041096 19.10958904] ; [16.10958904 11.89041096],0
p9,1,0.131434,2.27549,[44  1] ; [26  3],[42.56756757  2.43243243] ; [27.43243243  1.56756757],0
a1,1,0.147176,2.101274,[ 4 41] ; [ 6 23],[ 6.08108108 38.91891892] ; [ 3.91891892 25.08108108],0
r4,1,0.152682,2.045246,[42  3] ; [24  5],[40.13513514  4.86486486] ; [25.86486486  3.13513514],0
b5,1,0.16827,1.89829,[19 26] ; [17 12],[21.89189189 23.10810811] ; [14.10810811 14.89189189],0
a3,1,0.208855,1.579346,[38  7] ; [21  8],[35.87837838  9.12162162] ; [23.12162162  5.87837838],0
a6,1,0.221103,1.497201,[28 17] ; [22  7],[30.40540541 14.59459459] ; [19.59459459  9.40540541],0
b3,1,0.245278,1.35,[14 22] ; [10  8],[16. 20.] ; [ 8. 10.],0
b2,1,0.245278,1.35,[14 22] ; [10  8],[16. 20.] ; [ 8. 10.],0
d4,1,0.283205,1.151644,[41  4] ; [24  5],[39.52702703  5.47297297] ; [25.47297297  3.52702703],0
p2,1,0.283205,1.151644,[41  4] ; [24  5],[39.52702703  5.47297297] ; [25.47297297  3.52702703],0
b4,1,0.29972,1.075438,[24 21] ; [19 10],[26.14864865 18.85135135] ; [16.85135135 12.14864865],0
n3,1,0.308709,1.03619,[8 4] ; [2 3],[7.05882353 4.94117647] ; [2.94117647 2.05882353],0
p10,1,0.31338,1.016375,[43  1] ; [26  2],[42.16666667  1.83333333] ; [26.83333333  1.16666667],0
s5,1,0.373113,0.793269,[25 15] ; [19  7],[26.66666667 13.33333333] ; [17.33333333  8.66666667],0
p11,1,0.38025,0.769895,[37  8] ; [26  3],[38.31081081  6.68918919] ; [24.68918919  4.31081081],0
u1,1,0.396922,0.71763,[10 35] ; [ 9 20],[11.55405405 33.44594595] ; [ 7.44594595 21.55405405],0
