Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.004975,7.888595,[13  4] ; [1 6],[9.91666667 7.08333333] ; [4.08333333 2.91666667],0
p9,1,0.011072,6.453782,[14  3] ; [2 5],[11.33333333  5.66666667] ; [4.66666667 2.33333333],0
n6,1,0.01962,5.445378,[15  3] ; [2 4],[12.75  5.25] ; [4.25 1.75],0
n4,1,0.021368,5.296517,[14  4] ; [2 5],[11.52  6.48] ; [4.48 2.52],0
n5,1,0.092838,2.824463,[14  4] ; [3 4],[12.24  5.76] ; [4.76 2.24],0
d3,1,0.092838,2.824463,[14  4] ; [3 4],[12.24  5.76] ; [4.76 2.24],0
p6,1,0.101707,2.678571,[9 9] ; [1 6],[ 7.2 10.8] ; [2.8 4.2],0
p11,1,0.143687,2.138024,[11  7] ; [2 5],[9.36 8.64] ; [3.64 3.36],0
a6,1,0.143687,2.138024,[11  7] ; [2 5],[9.36 8.64] ; [3.64 3.36],0
b5,1,0.16962,1.886299,[13  5] ; [3 4],[11.52  6.48] ; [4.48 2.52],0
d5,1,0.16962,1.886299,[13  5] ; [3 4],[11.52  6.48] ; [4.48 2.52],0
r1,1,0.2253,1.470289,[10  8] ; [2 5],[8.64 9.36] ; [3.36 3.64],0
p8,1,0.236958,1.398601,[ 7 11] ; [4 2],[8.25 9.75] ; [2.75 3.25],0
b4,1,0.275234,1.190476,[12  6] ; [3 4],[10.8  7.2] ; [4.2 2.8],0
r3,1,0.302191,1.0645,[14  4] ; [4 3],[12.96  5.04] ; [5.04 1.96],0
d2,1,0.332474,0.939239,[9 9] ; [5 2],[10.08  7.92] ; [3.92 3.08],0
v1,1,0.332474,0.939239,[9 9] ; [2 5],[ 7.92 10.08] ; [3.08 3.92],0
s8,1,0.340904,0.907029,[ 6 12] ; [1 6],[ 5.04 12.96] ; [1.96 5.04],0
s7,1,0.350122,0.873016,[ 5 10] ; [1 6],[ 4.09090909 10.90909091] ; [1.90909091 5.09090909],0
r4,1,0.466985,0.529101,[ 8 10] ; [2 5],[ 7.2 10.8] ; [2.8 4.2],0
p1,1,0.470027,0.521912,[ 1 17] ; [1 6],[ 1.44 16.56] ; [0.56 6.44],0
u3,1,0.490153,0.47619,[1 6] ; [1 2],[1.4 5.6] ; [0.6 2.4],0
s4,1,0.504036,0.446429,[ 3 15] ; [2 5],[ 3.6 14.4] ; [1.4 5.6],0
s6,1,0.525358,0.403361,[12  5] ; [4 3],[11.33333333  5.66666667] ; [4.66666667 2.33333333],0
s2,1,0.562069,0.336134,[ 7 10] ; [2 5],[ 6.375 10.625] ; [2.625 4.375],0
b1,1,0.568261,0.3256,[10  8] ; [3 4],[9.36 8.64] ; [3.64 3.36],0
p3,1,0.629412,0.232859,[11  7] ; [5 2],[11.52  6.48] ; [4.48 2.52],0
p7,1,0.629412,0.232859,[11  7] ; [5 2],[11.52  6.48] ; [4.48 2.52],0
s3,1,0.653368,0.201681,[9 8] ; [3 4],[8.5 8.5] ; [3.5 3.5],0
v2,1,0.656005,0.198413,[12  6] ; [4 3],[11.52  6.48] ; [4.48 2.52],0
a5,1,0.656005,0.198413,[14  4] ; [6 1],[14.4  3.6] ; [5.6 1.4],0
a7,1,0.748233,0.103022,[9 9] ; [3 4],[8.64 9.36] ; [3.36 3.64],0
r2,1,0.748233,0.103022,[9 9] ; [4 3],[9.36 8.64] ; [3.64 3.36],0
u2,1,0.77816,0.079365,[3 4] ; [1 2],[2.8 4.2] ; [1.2 1.8],0
v3,1,0.795418,0.067227,[ 5 13] ; [2 4],[ 5.25 12.75] ; [1.75 4.25],0
s5,1,0.795418,0.067227,[ 4 13] ; [2 5],[ 4.25 12.75] ; [1.75 5.25],0
b3,1,0.813945,0.055385,[ 2 11] ; [1 4],[ 2.16666667 10.83333333] ; [0.83333333 4.16666667],0
b2,1,0.813945,0.055385,[ 2 11] ; [1 4],[ 2.16666667 10.83333333] ; [0.83333333 4.16666667],0
d4,1,0.818733,0.052521,[12  6] ; [5 2],[12.24  5.76] ; [4.76 2.24],0
d1,1,0.855702,0.033069,[ 7 11] ; [3 4],[ 7.2 10.8] ; [2.8 4.2],0
a4,1,0.855702,0.033069,[ 7 11] ; [3 4],[ 7.2 10.8] ; [2.8 4.2],0
a3,1,0.855702,0.033069,[11  7] ; [4 3],[10.8  7.2] ; [4.2 2.8],0
p5,1,1.0,0.0,[ 3 15] ; [1 5],[ 3. 15.] ; [1. 5.],0
