Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,119.454285,[554  13] ; [80 36],[526.32210835  40.67789165] ; [107.67789165   8.32210835],1
r2,1,0.0,48.280096,[556   7] ; [96 16],[543.8162963  19.1837037] ; [108.1837037   3.8162963],1
a5,1,1e-06,24.146194,[456 110] ; [69 47],[435.70381232 130.29618768] ; [89.29618768 26.70381232],1
r3,1,2e-06,22.591777,[549  16] ; [101  15],[539.2804699  25.7195301] ; [110.7195301   5.2804699],1
d1,1,2.9e-05,17.479979,[367 200] ; [51 65],[347.00732064 219.99267936] ; [70.99267936 45.00732064],1
u1,1,3.5e-05,17.138497,[130 437] ; [  7 109],[113.73206442 453.26793558] ; [23.26793558 92.73206442],1
d3,1,6e-05,16.087613,[408 156] ; [62 54],[389.82352941 174.17647059] ; [80.17647059 35.82352941],1
a2,1,0.000165,14.197701,[164 403] ; [ 14 102],[147.76866764 419.23133236] ; [30.23133236 85.76866764],1
d2,1,0.000804,11.230898,[307 256] ; [43 72],[290.63421829 272.36578171] ; [59.36578171 55.63421829],1
s8,1,0.00155,10.018048,[279 282] ; [39 77],[263.51255539 297.48744461] ; [54.48744461 61.51255539],0
a7,1,0.005542,7.693646,[417 147] ; [71 45],[404.75294118 159.24705882] ; [83.24705882 32.75294118],0
d5,1,0.01082,6.494602,[474  90] ; [86 30],[464.47058824  99.52941176] ; [95.52941176 20.47058824],0
a4,1,0.011569,6.375821,[286 277] ; [44 72],[273.62297496 289.37702504] ; [56.37702504 59.62297496],0
u3,1,0.012089,6.297714,[86 55] ; [15 24],[79.11666667 61.88333333] ; [21.88333333 17.11666667],0
s6,1,0.012691,6.21167,[395 160] ; [67 46],[383.84730539 171.15269461] ; [78.15269461 34.84730539],0
s7,1,0.015101,5.9047,[301 238] ; [47 62],[289.46296296 249.53703704] ; [58.53703704 50.46296296],0
v2,1,0.017348,5.660775,[325 221] ; [53 59],[313.65957447 232.34042553] ; [64.34042553 47.65957447],0
a6,1,0.017671,5.628484,[398 165] ; [69 47],[387.2179676 175.7820324] ; [79.7820324 36.2179676],0
d4,1,0.017788,5.616888,[473  89] ; [87 29],[464.18879056  97.81120944] ; [95.81120944 20.18879056],0
a3,1,0.023376,5.140335,[426 137] ; [76 40],[416.23858616 146.76141384] ; [85.76141384 30.23858616],0
p7,1,0.02381,5.108426,[369 180] ; [64 50],[358.54751131 190.45248869] ; [74.45248869 39.54751131],0
