Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8.2e-05,15.520406,[4 4] ; [96  7],[7.20720721 0.79279279] ; [92.79279279 10.20720721],1
r2,1,0.0037,8.425245,[5 3] ; [95  7],[7.27272727 0.72727273] ; [92.72727273  9.27272727],0
r1,1,0.005309,7.77105,[3 5] ; [82 20],[6.18181818 1.81818182] ; [78.81818182 23.18181818],0
p10,1,0.032198,4.587944,[4 4] ; [81 18],[6.35514019 1.64485981] ; [78.64485981 20.35514019],0
p9,1,0.032238,4.585819,[4 3] ; [87 13],[5.95327103 1.04672897] ; [85.04672897 14.95327103],0
d5,1,0.03932,4.246999,[2 6] ; [64 39],[4.75675676 3.24324324] ; [61.24324324 41.75675676],0
p7,1,0.04151,4.155055,[3 5] ; [72 28],[5.55555556 2.44444444] ; [69.44444444 30.55555556],0
p6,1,0.085824,2.951006,[1 7] ; [44 57],[3.30275229 4.69724771] ; [41.69724771 59.30275229],0
p4,1,0.096657,2.759861,[2 6] ; [56 45],[4.25688073 3.74311927] ; [53.74311927 47.25688073],0
d3,1,0.113767,2.501095,[1 7] ; [42 61],[3.0990991 4.9009009] ; [39.9009009 63.0990991],0
d2,1,0.136656,2.215219,[3 5] ; [17 86],[1.44144144 6.55855856] ; [18.55855856 84.44144144],0
p8,1,0.160684,1.967775,[2 5] ; [57 45],[3.78899083 3.21100917] ; [55.21100917 46.78899083],0
p3,1,0.190073,1.717052,[2 6] ; [50 52],[3.78181818 4.21818182] ; [48.21818182 53.78181818],0
u3,1,0.217496,1.520816,[1 3] ; [24 18],[2.17391304 1.82608696] ; [22.82608696 19.17391304],0
p1,1,0.235924,1.404786,[2 6] ; [11 90],[0.95412844 7.04587156] ; [12.04587156 88.95412844],0
v4,1,0.266413,1.235122,[7 1] ; [97  4],[7.63302752 0.36697248] ; [96.36697248  4.63302752],0
s3,1,0.270216,1.215649,[3 4] ; [65 37],[4.36697248 2.63302752] ; [63.63302752 38.36697248],0
s2,1,0.299219,1.07767,[4 4] ; [70 33],[5.33333333 2.66666667] ; [68.66666667 34.33333333],0
n5,1,0.305907,1.048267,[7 1] ; [72 30],[5.74545455 2.25454545] ; [73.25454545 28.74545455],0
s7,1,0.309731,1.031822,[3 4] ; [61 37],[4.26666667 2.73333333] ; [59.73333333 38.26666667],0
d4,1,0.329262,0.951799,[4 4] ; [69 34],[5.26126126 2.73873874] ; [67.73873874 35.26126126],0
n6,1,0.330741,0.945992,[6 2] ; [89 13],[6.90909091 1.09090909] ; [88.09090909 13.90909091],0
s8,1,0.353891,0.859454,[2 5] ; [48 55],[3.18181818 3.81818182] ; [46.81818182 56.18181818],0
s1,1,0.367458,0.812244,[1 7] ; [ 5 96],[0.44036697 7.55963303] ; [ 5.55963303 95.44036697],0
a4,1,0.389615,0.740145,[1 7] ; [27 76],[2.01801802 5.98198198] ; [25.98198198 77.01801802],0
n2,1,0.414216,0.666667,[2 1] ; [23  4],[2.5 0.5] ; [22.5  4.5],0
p11,1,0.41839,0.654834,[7 1] ; [77 26],[6.05405405 1.94594595] ; [77.94594595 25.05405405],0
b5,1,0.446934,0.578417,[5 3] ; [50 53],[3.96396396 4.03603604] ; [51.03603604 51.96396396],0
a1,1,0.454363,0.559744,[1 7] ; [ 6 97],[0.5045045 7.4954955] ; [ 6.4954955 96.5045045],0
v3,1,0.455958,0.555798,[2 6] ; [39 63],[2.98181818 5.01818182] ; [38.01818182 63.98181818],0
a7,1,0.46153,0.542182,[4 4] ; [65 38],[4.97297297 3.02702703] ; [64.02702703 38.97297297],0
a6,1,0.546906,0.36289,[5 3] ; [53 50],[4.18018018 3.81981982] ; [53.81981982 49.18018018],0
a3,1,0.587062,0.294956,[4 4] ; [61 41],[4.72727273 3.27272727] ; [60.27272727 41.72727273],0
b1,1,0.609964,0.260227,[4 4] ; [42 61],[3.31531532 4.68468468] ; [42.68468468 60.31531532],0
p2,1,0.669237,0.182496,[6 2] ; [82 19],[6.4587156 1.5412844] ; [81.5412844 19.4587156],0
n1,1,0.765064,0.089304,[1 2] ; [11 15],[1.24137931 1.75862069] ; [10.75862069 15.24137931],0
a5,1,0.814266,0.05519,[5 3] ; [60 43],[4.68468468 3.31531532] ; [60.31531532 42.68468468],0
p5,1,0.832552,0.044702,[2 6] ; [22 79],[1.76146789 6.23853211] ; [22.23853211 78.76146789],0
b2,1,0.853529,0.034084,[2 3] ; [19 34],[1.81034483 3.18965517] ; [19.18965517 33.81034483],0
b3,1,0.853529,0.034084,[2 3] ; [19 34],[1.81034483 3.18965517] ; [19.18965517 33.81034483],0
n4,1,0.880851,0.022467,[6 2] ; [74 28],[5.81818182 2.18181818] ; [74.18181818 27.81818182],0
b4,1,0.897804,0.016496,[5 3] ; [62 41],[4.82882883 3.17117117] ; [62.17117117 40.82882883],0
s4,1,0.975549,0.000939,[2 6] ; [26 76],[2.03636364 5.96363636] ; [25.96363636 76.03636364],0
v1,1,0.978493,0.000727,[4 4] ; [51 50],[4.03669725 3.96330275] ; [50.96330275 50.03669725],0
s6,1,0.983206,0.000443,[6 1] ; [86 14],[6.01869159 0.98130841] ; [85.98130841 14.01869159],0
n3,1,1.0,0.0,[2 1] ; [18  9],[2. 1.] ; [18.  9.],0
u2,1,1.0,0.0,[2 2] ; [21 21],[2. 2.] ; [21. 21.],0
