Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,24.613138,[16 18] ; [97 14],[26.49655172  7.50344828] ; [86.50344828 24.49655172],1
a3,1,2.1e-05,18.114037,[14 20] ; [88 23],[23.91724138 10.08275862] ; [78.08275862 32.91724138],1
a5,1,2.9e-05,17.465428,[13 21] ; [85 26],[22.97931034 11.02068966] ; [75.02068966 35.97931034],1
d3,1,0.001057,10.724186,[ 9 25] ; [65 46],[17.35172414 16.64827586] ; [56.64827586 54.35172414],0
p9,1,0.001415,10.186034,[23 11] ; [100  11],[28.84137931  5.15862069] ; [94.15862069 16.84137931],0
p8,1,0.003298,8.634866,[14 20] ; [76 34],[21.25 12.75] ; [68.75 41.25],0
a4,1,0.003463,8.545785,[ 8 25] ; [59 52],[15.35416667 17.64583333] ; [51.64583333 59.35416667],0
s5,1,0.007455,7.159968,[ 7 25] ; [51 54],[13.54744526 18.45255474] ; [44.45255474 60.54744526],0
d2,1,0.035865,4.403515,[12 22] ; [62 49],[17.35172414 16.64827586] ; [56.64827586 54.35172414],0
s2,1,0.037556,4.325013,[13 21] ; [65 46],[18.28965517 15.71034483] ; [59.71034483 51.28965517],0
p3,1,0.038505,4.282554,[17 17] ; [77 34],[22.04137931 11.95862069] ; [71.95862069 39.04137931],0
r1,1,0.045881,3.985948,[19 15] ; [82 29],[23.68275862 10.31724138] ; [77.31724138 33.68275862],0
s7,1,0.055846,3.656658,[15 18] ; [68 38],[19.70503597 13.29496403] ; [63.29496403 42.70503597],0
n6,1,0.088109,2.908579,[24 10] ; [93 18],[27.43448276  6.56551724] ; [89.56551724 21.43448276],0
r4,1,0.088109,2.908579,[24 10] ; [93 18],[27.43448276  6.56551724] ; [89.56551724 21.43448276],0
u3,1,0.090512,2.86525,[ 7 13] ; [14  9],[ 9.76744186 10.23255814] ; [11.23255814 11.76744186],0
p10,1,0.097258,2.749945,[23 10] ; [92 19],[26.35416667  6.64583333] ; [88.64583333 22.35416667],0
s1,1,0.109786,2.557299,[ 3 30] ; [  3 107],[ 1.38461538 31.61538462] ; [  4.61538462 105.38461538],0
a6,1,0.119734,2.420795,[16 18] ; [36 75],[12.19310345 21.80689655] ; [39.80689655 71.19310345],0
r3,1,0.119865,2.419088,[29  5] ; [104   7],[31.1862069  2.8137931] ; [101.8137931   9.1862069],0
v3,1,0.124633,2.35811,[10 23] ; [49 59],[13.80851064 19.19148936] ; [45.19148936 62.80851064],0
p2,1,0.151203,2.060068,[25  9] ; [92 17],[27.81818182  6.18181818] ; [89.18181818 19.81818182],0
b3,1,0.161667,1.95856,[ 7 17] ; [34 41],[ 9.93939394 14.06060606] ; [31.06060606 43.93939394],0
b2,1,0.161667,1.95856,[ 7 17] ; [34 41],[ 9.93939394 14.06060606] ; [31.06060606 43.93939394],0
s4,1,0.202679,1.622961,[ 4 30] ; [24 87],[ 6.56551724 27.43448276] ; [21.43448276 89.56551724],0
u2,1,0.225546,1.468733,[ 9 11] ; [14  8],[10.95238095  9.04761905] ; [12.04761905  9.95238095],0
p1,1,0.261745,1.259503,[ 5 29] ; [  9 101],[ 3.30555556 30.69444444] ; [10.69444444 99.30555556],0
a8,1,0.265339,1.240688,[ 6 26] ; [12 95],[ 4.14388489 27.85611511] ; [13.85611511 93.14388489],0
v2,1,0.275897,1.187191,[14 19] ; [57 50],[16.73571429 16.26428571] ; [54.26428571 52.73571429],0
v1,1,0.308797,1.035813,[15 18] ; [60 48],[17.55319149 15.44680851] ; [57.44680851 50.55319149],0
p6,1,0.311636,1.023727,[13 21] ; [52 56],[15.56338028 18.43661972] ; [49.43661972 58.56338028],0
s8,1,0.320454,0.987091,[16 18] ; [63 48],[18.52413793 15.47586207] ; [60.47586207 50.52413793],0
s6,1,0.334095,0.93296,[21 11] ; [81 28],[23.14893617  8.85106383] ; [78.85106383 30.14893617],0
n4,1,0.341562,0.904559,[25  9] ; [90 21],[26.96551724  7.03448276] ; [88.03448276 22.96551724],0
b4,1,0.501307,0.452168,[20 14] ; [58 53],[18.28965517 15.71034483] ; [59.71034483 51.28965517],0
s3,1,0.550936,0.355643,[18 15] ; [67 44],[19.47916667 13.52083333] ; [65.52083333 45.47916667],0
p11,1,0.555176,0.348126,[25  9] ; [87 24],[26.26206897  7.73793103] ; [85.73793103 25.26206897],0
n5,1,0.556508,0.345787,[26  8] ; [90 21],[27.2  6.8] ; [88.8 22.2],0
b5,1,0.562404,0.335558,[16 18] ; [46 65],[14.53793103 19.46206897] ; [47.46206897 63.53793103],0
n3,1,0.599203,0.276199,[11  4] ; [13  7],[10.28571429  4.71428571] ; [13.71428571  6.28571429],0
p7,1,0.667815,0.184169,[24 10] ; [81 28],[24.96503497  9.03496503] ; [80.03496503 28.96503497],0
p5,1,0.761902,0.091799,[ 6 28] ; [22 88],[ 6.61111111 27.38888889] ; [21.38888889 88.61111111],0
a2,1,0.78967,0.07115,[ 2 32] ; [  8 103],[ 2.34482759 31.65517241] ; [  7.65517241 103.34482759],0
r2,1,0.808399,0.058802,[29  4] ; [94 15],[28.58450704  4.41549296] ; [94.41549296 14.58450704],0
b1,1,0.818135,0.052874,[17 17] ; [58 53],[17.5862069 16.4137931] ; [57.4137931 53.5862069],0
v4,1,0.889112,0.01944,[30  3] ; [100  11],[29.79166667  3.20833333] ; [100.20833333  10.79166667],0
n1,1,0.890186,0.019063,[7 7] ; [11 10],[7.2 6.8] ; [10.8 10.2],0
n2,1,0.899895,0.015824,[11  4] ; [15  6],[10.83333333  4.16666667] ; [15.16666667  5.83333333],0
p12,1,0.91929,0.010267,[ 2 32] ; [  7 103],[ 2.125 31.875] ; [  6.875 103.125],0
