Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5.6e-05,16.228492,[ 5 28] ; [34 24],[14.14285714 18.85714286] ; [24.85714286 33.14285714],1
s2,1,0.001057,10.724516,[ 9 28] ; [34 24],[16.74736842 20.25263158] ; [26.25263158 31.74736842],0
s3,1,0.00606,7.53248,[12 25] ; [35 22],[18.5 18.5] ; [28.5 28.5],0
s8,1,0.014035,6.033678,[ 8 29] ; [27 31],[13.63157895 23.36842105] ; [21.36842105 36.63157895],0
p9,1,0.016763,5.720998,[21 15] ; [47 11],[26.04255319  9.95744681] ; [41.95744681 16.04255319],0
s5,1,0.077727,3.111791,[ 8 28] ; [22 33],[11.86813187 24.13186813] ; [18.13186813 36.86813187],0
s4,1,0.101024,2.689306,[ 3 34] ; [12 46],[ 5.84210526 31.15789474] ; [ 9.15789474 48.84210526],0
a2,1,0.106022,2.612539,[ 4 33] ; [14 44],[ 7.01052632 29.98947368] ; [10.98947368 47.01052632],0
s1,1,0.153418,2.037937,[ 5 32] ; [ 3 55],[ 3.11578947 33.88421053] ; [ 4.88421053 53.11578947],0
n2,1,0.168598,1.895363,[4 3] ; [15  3],[5.32 1.68] ; [13.68  4.32],0
b1,1,0.169339,1.888785,[18 19] ; [20 38],[14.8 22.2] ; [23.2 34.8],0
u2,1,0.173016,1.856614,[5 4] ; [16  4],[6.51724138 2.48275862] ; [14.48275862  5.51724138],0
p10,1,0.180442,1.793981,[19 17] ; [38 19],[22.06451613 13.93548387] ; [34.93548387 22.06451613],0
n6,1,0.223117,1.484213,[18 19] ; [35 22],[20.86170213 16.13829787] ; [32.13829787 24.86170213],0
p2,1,0.224174,1.477447,[30  6] ; [42 16],[27.57446809  8.42553191] ; [44.42553191 13.57446809],0
a3,1,0.224373,1.476181,[28  9] ; [37 21],[25.31578947 11.68421053] ; [39.68421053 18.31578947],0
d3,1,0.240568,1.377263,[29  8] ; [39 19],[26.48421053 10.51578947] ; [41.51578947 16.48421053],0
u3,1,0.258383,1.2774,[5 4] ; [16  5],[6.3 2.7] ; [14.7  6.3],0
n4,1,0.302202,1.064454,[18 19] ; [22 36],[15.57894737 21.42105263] ; [24.42105263 33.57894737],0
p5,1,0.315013,1.009539,[ 3 33] ; [ 2 55],[ 1.93548387 34.06451613] ; [ 3.06451613 53.93548387],0
p6,1,0.353853,0.85959,[ 8 26] ; [18 37],[ 9.93258427 24.06741573] ; [16.06741573 38.93258427],0
p3,1,0.3746,0.788348,[13 22] ; [27 31],[15.05376344 19.94623656] ; [24.94623656 33.05376344],0
v3,1,0.37738,0.779221,[16 19] ; [20 35],[14. 21.] ; [22. 33.],0
a6,1,0.390739,0.73664,[21 16] ; [38 20],[22.97894737 14.02105263] ; [36.02105263 21.97894737],0
p11,1,0.445856,0.581165,[27 10] ; [38 20],[25.31578947 11.68421053] ; [39.68421053 18.31578947],0
b3,1,0.463436,0.537584,[ 8 13] ; [15 16],[ 9.28846154 11.71153846] ; [13.71153846 17.28846154],0
b2,1,0.463436,0.537584,[ 8 13] ; [15 16],[ 9.28846154 11.71153846] ; [13.71153846 17.28846154],0
v4,1,0.492859,0.470279,[32  4] ; [53  4],[32.90322581  3.09677419] ; [52.09677419  4.90322581],0
r3,1,0.50291,0.44879,[33  4] ; [54  4],[33.88421053  3.11578947] ; [53.11578947  4.88421053],0
r2,1,0.503375,0.447814,[34  3] ; [49  7],[33.02150538  3.97849462] ; [49.97849462  6.02150538],0
d4,1,0.504062,0.446373,[30  7] ; [50  8],[31.15789474  5.84210526] ; [48.84210526  9.15789474],0
a8,1,0.524976,0.404107,[ 4 30] ; [ 4 48],[ 3.1627907 30.8372093] ; [ 4.8372093 47.1627907],0
d5,1,0.532142,0.3903,[28  9] ; [47 11],[29.21052632  7.78947368] ; [45.78947368 12.21052632],0
b4,1,0.606292,0.26561,[21 16] ; [36 22],[22.2 14.8] ; [34.8 23.2],0
a5,1,0.613418,0.255228,[25 12] ; [42 16],[26.09473684 10.90526316] ; [40.90526316 17.09473684],0
n1,1,0.629412,0.232859,[2 5] ; [ 7 11],[2.52 4.48] ; [ 6.48 11.52],0
n3,1,0.629412,0.232859,[5 2] ; [11  7],[4.48 2.52] ; [11.52  6.48],0
u1,1,0.669616,0.182052,[ 4 33] ; [ 8 50],[ 4.67368421 32.32631579] ; [ 7.32631579 50.67368421],0
p7,1,0.679871,0.170271,[18 18] ; [26 31],[17.03225806 18.96774194] ; [26.96774194 30.03225806],0
p8,1,0.686837,0.162531,[14 22] ; [25 33],[14.93617021 21.06382979] ; [24.06382979 33.93617021],0
a4,1,0.715703,0.132647,[18 19] ; [26 32],[17.13684211 19.86315789] ; [26.86315789 31.13684211],0
v2,1,0.716167,0.132195,[24 13] ; [33 21],[23.17582418 13.82417582] ; [33.82417582 20.17582418],0
b5,1,0.739406,0.11065,[23 14] ; [38 20],[23.75789474 13.24210526] ; [37.24210526 20.75789474],0
p4,1,0.763865,0.090245,[15 21] ; [26 32],[15.70212766 20.29787234] ; [25.29787234 32.70212766],0
d1,1,0.77001,0.085476,[18 19] ; [30 28],[18.69473684 18.30526316] ; [29.30526316 28.69473684],0
a1,1,0.770778,0.084889,[ 2 35] ; [ 4 54],[ 2.33684211 34.66315789] ; [ 3.66315789 54.33684211],0
r1,1,0.776786,0.080378,[29  8] ; [44 14],[28.43157895  8.56842105] ; [44.56842105 13.43157895],0
a7,1,0.80986,0.057891,[27 10] ; [41 17],[26.48421053 10.51578947] ; [41.51578947 16.48421053],0
p12,1,0.822105,0.050552,[ 2 33] ; [ 4 54],[ 2.25806452 32.74193548] ; [ 3.74193548 54.25806452],0
p1,1,0.828523,0.046914,[ 4 33] ; [ 7 50],[ 4.32978723 32.67021277] ; [ 6.67021277 50.32978723],0
d2,1,0.859405,0.031376,[14 23] ; [23 35],[14.41052632 22.58947368] ; [22.58947368 35.41052632],0
r4,1,0.91348,0.011805,[29  8] ; [46 12],[29.21052632  7.78947368] ; [45.78947368 12.21052632],0
