Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-06,21.31007,[ 6 21] ; [27  6],[14.85 12.15] ; [18.15 14.85],1
d2,1,0.002003,9.546634,[ 8 19] ; [23 10],[13.95 13.05] ; [17.05 15.95],0
a4,1,0.008731,6.877001,[ 8 19] ; [21 12],[13.05 13.95] ; [15.95 17.05],0
s7,1,0.010681,6.517697,[ 5 19] ; [17 14],[ 9.6 14.4] ; [12.4 18.6],0
s5,1,0.018138,5.582741,[ 4 20] ; [15 17],[ 8.14285714 15.85714286] ; [10.85714286 21.14285714],0
n4,1,0.026098,4.949495,[12 15] ; [24  9],[16.2 10.8] ; [19.8 13.2],0
a2,1,0.026652,4.913184,[ 1 26] ; [ 8 25],[ 4.05 22.95] ; [ 4.95 28.05],0
a3,1,0.0514,3.795179,[13 14] ; [24  9],[16.65 10.35] ; [20.35 12.65],0
a5,1,0.053708,3.721759,[16 11] ; [27  6],[19.35  7.65] ; [23.65  9.35],0
n6,1,0.054418,3.699833,[18  9] ; [28  4],[21.05084746  5.94915254] ; [24.94915254  7.05084746],0
p6,1,0.081799,3.028793,[ 6 21] ; [14 18],[ 9.15254237 17.84745763] ; [10.84745763 21.15254237],0
b4,1,0.083965,2.986425,[12 15] ; [22 11],[15.3 11.7] ; [18.7 14.3],0
a7,1,0.083965,2.986425,[12 15] ; [22 11],[15.3 11.7] ; [18.7 14.3],0
s2,1,0.102556,2.665343,[11 15] ; [21 12],[14.10169492 11.89830508] ; [17.89830508 15.10169492],0
s6,1,0.238939,1.386845,[16 10] ; [25  8],[18.06779661  7.93220339] ; [22.93220339 10.06779661],0
a8,1,0.25105,1.317453,[ 3 24] ; [ 1 29],[ 1.89473684 25.10526316] ; [ 2.10526316 27.89473684],0
n5,1,0.258119,1.278817,[15 12] ; [23 10],[17.1  9.9] ; [20.9 12.1],0
s8,1,0.262088,1.257695,[10 17] ; [17 16],[12.15 14.85] ; [14.85 18.15],0
s1,1,0.27819,1.175911,[ 4 23] ; [ 2 30],[ 2.74576271 24.25423729] ; [ 3.25423729 28.74576271],0
p10,1,0.306238,1.046832,[19  8] ; [19 14],[17.1  9.9] ; [20.9 12.1],0
v2,1,0.315436,1.007777,[12 14] ; [19 13],[13.89655172 12.10344828] ; [17.10344828 14.89655172],0
b3,1,0.316578,1.003031,[ 4 11] ; [11 15],[5.48780488 9.51219512] ; [ 9.51219512 16.48780488],0
b2,1,0.316578,1.003031,[ 4 11] ; [11 15],[5.48780488 9.51219512] ; [ 9.51219512 16.48780488],0
s4,1,0.332892,0.937615,[ 4 23] ; [ 8 24],[ 5.49152542 21.50847458] ; [ 6.50847458 25.49152542],0
b1,1,0.334552,0.931197,[14 13] ; [13 20],[12.15 14.85] ; [14.85 18.15],0
n1,1,0.410117,0.678462,[3 2] ; [5 8],[2.22222222 2.77777778] ; [5.77777778 7.22222222],0
p9,1,0.418581,0.654296,[17 10] ; [24  9],[18.45  8.55] ; [22.55 10.45],0
p1,1,0.43897,0.598972,[ 2 25] ; [ 1 32],[ 1.35 25.65] ; [ 1.65 31.35],0
p8,1,0.447246,0.577622,[12 14] ; [12 21],[10.57627119 15.42372881] ; [13.42372881 19.57627119],0
v1,1,0.483433,0.491108,[11 15] ; [16 15],[12.31578947 13.68421053] ; [14.68421053 16.31578947],0
v4,1,0.49202,0.472107,[23  4] ; [30  3],[23.85  3.15] ; [29.15  3.85],0
n2,1,0.516407,0.421062,[5 1] ; [9 4],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
p7,1,0.534679,0.385491,[14 13] ; [14 18],[12.81355932 14.18644068] ; [15.18644068 16.81355932],0
p11,1,0.581989,0.30303,[17 10] ; [23 10],[18.  9.] ; [22. 11.],0
r1,1,0.610299,0.25974,[18  9] ; [24  9],[18.9  8.1] ; [23.1  9.9],0
r4,1,0.727724,0.121212,[22  5] ; [28  5],[22.5  4.5] ; [27.5  5.5],0
s3,1,0.79525,0.06734,[13 14] ; [17 16],[13.5 13.5] ; [16.5 16.5],0
u2,1,0.805803,0.06044,[8 6] ; [5 3],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
r3,1,0.814421,0.055096,[25  2] ; [30  3],[24.75  2.25] ; [30.25  2.75],0
a1,1,0.814421,0.055096,[ 2 25] ; [ 3 30],[ 2.25 24.75] ; [ 2.75 30.25],0
p12,1,0.814421,0.055096,[ 2 25] ; [ 3 30],[ 2.25 24.75] ; [ 2.75 30.25],0
a6,1,0.83518,0.04329,[14 13] ; [18 15],[14.4 12.6] ; [17.6 15.4],0
p3,1,0.875164,0.024681,[15 12] ; [19 14],[15.3 11.7] ; [18.7 14.3],0
b5,1,0.875164,0.024681,[15 12] ; [19 14],[15.3 11.7] ; [18.7 14.3],0
u3,1,0.906855,0.01369,[9 5] ; [6 3],[9.13043478 4.86956522] ; [5.86956522 3.13043478],0
p5,1,0.919074,0.010323,[ 3 22] ; [ 4 27],[ 3.125 21.875] ; [ 3.875 27.125],0
v3,1,0.919505,0.010213,[ 9 17] ; [10 20],[ 8.82142857 17.17857143] ; [10.17857143 19.82142857],0
