Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000602,11.770015,[78  7] ; [33 15],[70.93984962 14.06015038] ; [40.06015038  7.93984962],1
p7,1,0.000699,11.492176,[44 40] ; [10 36],[34.89230769 49.10769231] ; [19.10769231 26.89230769],1
p9,1,0.001455,10.135009,[67 19] ; [24 23],[58.84210526 27.15789474] ; [32.15789474 14.84210526],0
v2,1,0.004666,8.004728,[34 50] ; [ 7 37],[26.90625 57.09375] ; [14.09375 29.90625],0
p4,1,0.006064,7.53106,[30 56] ; [ 6 41],[23.27819549 62.72180451] ; [12.72180451 34.27819549],0
r3,1,0.009574,6.712402,[75 11] ; [33 15],[69.31343284 16.68656716] ; [38.68656716  9.31343284],0
p10,1,0.013682,6.078763,[60 25] ; [23 24],[53.4469697 31.5530303] ; [29.5530303 17.4469697],0
p1,1,0.020604,5.359949,[ 4 83] ; [ 8 41],[ 7.67647059 79.32352941] ; [ 4.32352941 44.67647059],0
s3,1,0.021236,5.307322,[48 38] ; [16 30],[41.6969697 44.3030303] ; [22.3030303 23.6969697],0
n1,1,0.022298,5.222368,[ 7 21] ; [12  9],[10.85714286 17.14285714] ; [ 8.14285714 12.85714286],0
n6,1,0.031261,4.638576,[67 19] ; [29 19],[61.6119403 24.3880597] ; [34.3880597 13.6119403],0
p8,1,0.037043,4.348429,[33 53] ; [10 38],[27.59701493 58.40298507] ; [15.40298507 32.59701493],0
s1,1,0.044911,4.021983,[ 4 80] ; [ 7 40],[ 7.05343511 76.94656489] ; [ 3.94656489 43.05343511],0
d3,1,0.076964,3.127875,[42 45] ; [16 33],[37.10294118 49.89705882] ; [20.89705882 28.10294118],0
p11,1,0.094698,2.792648,[62 25] ; [28 21],[57.57352941 29.42647059] ; [32.42647059 16.57352941],0
a7,1,0.09735,2.748422,[51 36] ; [21 27],[46.4 40.6] ; [25.6 22.4],0
s7,1,0.117888,2.445163,[29 54] ; [10 36],[25.09302326 57.90697674] ; [13.90697674 32.09302326],0
s6,1,0.128286,2.313125,[44 42] ; [18 30],[39.79104478 46.20895522] ; [22.20895522 25.79104478],0
s8,1,0.137241,2.208629,[24 63] ; [ 8 41],[20.47058824 66.52941176] ; [11.52941176 37.47058824],0
d4,1,0.156679,2.00599,[46 40] ; [20 29],[42.04444444 43.95555556] ; [23.95555556 25.04444444],0
a4,1,0.171698,1.868052,[19 67] ; [ 6 42],[16.04477612 69.95522388] ; [ 8.95522388 39.04477612],0
r2,1,0.188095,1.732477,[71 15] ; [35 13],[68.02985075 17.97014925] ; [37.97014925 10.02985075],0
r4,1,0.229545,1.443679,[62 25] ; [30 19],[58.85294118 28.14705882] ; [33.14705882 15.85294118],0
a1,1,0.232199,1.427342,[ 3 84] ; [ 4 45],[ 4.47794118 82.52205882] ; [ 2.52205882 46.47794118],0
r1,1,0.245295,1.349904,[56 31] ; [26 22],[52.84444444 34.15555556] ; [29.15555556 18.84444444],0
