Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000102,15.093205,[81 22] ; [12 17],[72.56818182 30.43181818] ; [20.43181818  8.56818182],1
n4,1,0.003289,8.639975,[76 27] ; [13 16],[69.4469697 33.5530303] ; [19.5530303  9.4469697],0
p9,1,0.006799,7.325267,[101   2] ; [25  4],[98.31818182  4.68181818] ; [27.68181818  1.31818182],0
d2,1,0.009537,6.719395,[43 60] ; [20  9],[49.15909091 53.84090909] ; [13.84090909 15.15909091],0
p8,1,0.048045,3.908406,[62 38] ; [12 17],[57.36434109 42.63565891] ; [16.63565891 12.36434109],0
d5,1,0.057325,3.613144,[79 24] ; [26  2],[82.55725191 20.44274809] ; [22.44274809  5.55725191],0
v1,1,0.06468,3.41312,[55 47] ; [10 19],[50.61068702 51.38931298] ; [14.38931298 14.61068702],0
d3,1,0.083504,2.995356,[76 27] ; [25  3],[79.41221374 23.58778626] ; [21.58778626  6.41221374],0
s3,1,0.121298,2.400479,[75 27] ; [17 12],[71.63358779 30.36641221] ; [20.36641221  8.63358779],0
n6,1,0.161321,1.961799,[91 11] ; [23  6],[88.76335878 13.23664122] ; [25.23664122  3.76335878],0
p2,1,0.178512,1.809968,[86 17] ; [21  8],[83.49242424 19.50757576] ; [23.50757576  5.49242424],0
s5,1,0.192954,1.694921,[49 47] ; [17  9],[51.93442623 44.06557377] ; [14.06557377 11.93442623],0
p3,1,0.216312,1.528668,[56 47] ; [12 17],[53.06060606 49.93939394] ; [14.93939394 14.06060606],0
s7,1,0.221928,1.491862,[65 38] ; [13 13],[62.27906977 40.72093023] ; [15.72093023 10.27906977],0
n2,1,0.224551,1.475048,[17  3] ; [8 4],[15.625  4.375] ; [9.375 2.625],0
n1,1,0.264122,1.247021,[ 7 13] ; [ 2 10],[ 5.625 14.375] ; [3.375 8.625],0
b2,1,0.307509,1.041346,[14 48] ; [ 1 10],[12.73972603 49.26027397] ; [2.26027397 8.73972603],0
b3,1,0.307509,1.041346,[14 48] ; [ 1 10],[12.73972603 49.26027397] ; [2.26027397 8.73972603],0
d1,1,0.341211,0.905878,[61 42] ; [20  9],[63.20454545 39.79545455] ; [17.79545455 11.20454545],0
p12,1,0.341642,0.904259,[ 9 94] ; [ 1 28],[ 7.8030303 95.1969697] ; [ 2.1969697 26.8030303],0
n3,1,0.399075,0.711111,[14  6] ; [10  2],[15.  5.] ; [9. 3.],0
a7,1,0.41767,0.656861,[69 34] ; [21  7],[70.76335878 32.23664122] ; [19.23664122  8.76335878],0
p4,1,0.438246,0.60087,[65 38] ; [16 13],[63.20454545 39.79545455] ; [17.79545455 11.20454545],0
a6,1,0.462323,0.540265,[68 35] ; [17 12],[66.32575758 36.67424242] ; [18.67424242 10.32575758],0
r3,1,0.464452,0.535144,[99  4] ; [26  2],[98.28244275  4.71755725] ; [26.71755725  1.28244275],0
u3,1,0.478105,0.503182,[21 12] ; [4 4],[20.12195122 12.87804878] ; [4.87804878 3.12195122],0
r2,1,0.50449,0.445479,[96  7] ; [28  1],[96.75757576  6.24242424] ; [27.24242424  1.75757576],0
p7,1,0.520431,0.413039,[71 28] ; [19 10],[69.609375 29.390625] ; [20.390625  8.609375],0
b1,1,0.552121,0.353532,[33 70] ; [11 18],[34.33333333 68.66666667] ; [ 9.66666667 19.33333333],0
r1,1,0.555304,0.3479,[80 23] ; [21  8],[78.81060606 24.18939394] ; [22.18939394  6.81060606],0
v2,1,0.568798,0.324697,[47 52] ; [15 13],[48.33070866 50.66929134] ; [13.66929134 14.33070866],0
b5,1,0.627062,0.236066,[62 41] ; [16 13],[60.86363636 42.13636364] ; [17.13636364 11.86363636],0
r4,1,0.640733,0.217785,[92 11] ; [25  4],[91.29545455 11.70454545] ; [25.70454545  3.29545455],0
a3,1,0.647147,0.209516,[70 33] ; [21  8],[71.00757576 31.99242424] ; [19.99242424  9.00757576],0
s6,1,0.656041,0.198369,[85 15] ; [22  5],[84.2519685 15.7480315] ; [22.7480315  4.2519685],0
a4,1,0.695896,0.152776,[42 61] ; [13 16],[42.91666667 60.08333333] ; [12.08333333 16.91666667],0
a2,1,0.706614,0.141682,[21 82] ; [ 5 24],[20.28787879 82.71212121] ; [ 5.71212121 23.28787879],0
p6,1,0.761828,0.091858,[46 56] ; [14 15],[46.71755725 55.28244275] ; [13.28244275 15.71755725],0
a8,1,0.763443,0.090579,[ 5 93] ; [ 1 26],[ 4.704 93.296] ; [ 1.296 25.704],0
b4,1,0.766884,0.087885,[60 43] ; [16 13],[59.3030303 43.6969697] ; [16.6969697 12.3030303],0
p1,1,0.790311,0.070706,[ 9 94] ; [ 3 26],[ 9.36363636 93.63636364] ; [ 2.63636364 26.36363636],0
u1,1,0.791631,0.069798,[20 83] ; [ 5 24],[19.50757576 83.49242424] ; [ 5.49242424 23.50757576],0
s2,1,0.808556,0.058704,[72 29] ; [20  9],[71.47692308 29.52307692] ; [20.52307692  8.47692308],0
d4,1,0.879057,0.023154,[83 20] ; [23  6],[82.71212121 20.28787879] ; [23.28787879  5.71212121],0
v4,1,0.906559,0.013778,[98  4] ; [28  1],[98.10687023  3.89312977] ; [27.89312977  1.10687023],0
v3,1,0.914949,0.011406,[30 70] ; [ 9 20],[30.23255814 69.76744186] ; [ 8.76744186 20.23255814],0
p5,1,0.919114,0.010312,[10 93] ; [ 3 26],[10.14393939 92.85606061] ; [ 2.85606061 26.14393939],0
u2,1,0.938689,0.005916,[17 16] ; [4 4],[16.90243902 16.09756098] ; [4.09756098 3.90243902],0
s8,1,0.946616,0.004483,[54 49] ; [15 14],[53.84090909 49.15909091] ; [15.15909091 13.84090909],0
a5,1,0.965773,0.001841,[75 28] ; [21  8],[74.90909091 28.09090909] ; [21.09090909  7.90909091],0
