Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.6e-05,15.922064,[ 47 111] ; [33 22],[59.342723 98.657277] ; [20.657277 34.342723],1
p8,1,0.00076,11.336948,[ 37 124] ; [25 28],[ 46.64485981 114.35514019] ; [15.35514019 37.64485981],1
p6,1,0.000867,11.091859,[ 19 141] ; [17 37],[ 26.91588785 133.08411215] ; [ 9.08411215 44.91588785],1
p2,1,0.001509,10.067554,[96 65] ; [45  9],[105.58604651  55.41395349] ; [35.41395349 18.58604651],0
a4,1,0.003684,8.433161,[ 55 106] ; [31 24],[64.10185185 96.89814815] ; [21.89814815 33.10185185],0
p11,1,0.014225,6.009955,[97 65] ; [43 12],[104.51612903  57.48387097] ; [35.48387097 19.51612903],0
v1,1,0.028521,4.79627,[ 45 114] ; [24 30],[ 51.50704225 107.49295775] ; [17.49295775 36.50704225],0
a3,1,0.028998,4.767722,[96 64] ; [42 13],[102.69767442  57.30232558] ; [35.30232558 19.69767442],0
v4,1,0.032671,4.562947,[123  35] ; [50  5],[128.3286385  29.6713615] ; [44.6713615 10.3286385],0
a2,1,0.04393,4.059254,[ 20 142] ; [13 42],[ 24.6359447 137.3640553] ; [ 8.3640553 46.6359447],0
n3,1,0.053679,3.722665,[34 26] ; [14  3],[37.4025974 22.5974026] ; [10.5974026  6.4025974],0
p10,1,0.063628,3.4402,[86 73] ; [37 17],[91.81690141 67.18309859] ; [31.18309859 22.81690141],0
a5,1,0.066577,3.365451,[86 76] ; [37 18],[91.82488479 70.17511521] ; [31.17511521 23.82488479],0
s8,1,0.069211,3.301635,[ 17 145] ; [11 44],[ 20.90322581 141.09677419] ; [ 7.09677419 47.90322581],0
v2,1,0.105767,2.616357,[57 96] ; [26 26],[61.94634146 91.05365854] ; [21.05365854 30.94634146],0
p9,1,0.115793,2.473316,[94 62] ; [39 15],[98.8 57.2] ; [34.2 19.8],0
s7,1,0.122191,2.38901,[ 21 130] ; [12 40],[ 24.54679803 126.45320197] ; [ 8.45320197 43.54679803],0
d1,1,0.145061,2.123435,[70 92] ; [30 25],[74.65437788 87.34562212] ; [25.34562212 29.65437788],0
p5,1,0.146383,2.109539,[  3 158] ; [ 3 50],[  4.51401869 156.48598131] ; [ 1.48598131 51.51401869],0
u1,1,0.167778,1.902689,[ 11 151] ; [ 7 48],[ 13.43778802 148.56221198] ; [ 4.56221198 50.43778802],0
d5,1,0.175064,1.839038,[104  57] ; [41 14],[108.0787037  52.9212963] ; [36.9212963 18.0787037],0
s1,1,0.178508,1.809998,[  5 154] ; [ 4 50],[  6.71830986 152.28169014] ; [ 2.28169014 51.71830986],0
v3,1,0.206994,1.59233,[ 35 120] ; [16 35],[ 38.37378641 116.62621359] ; [12.62621359 38.37378641],0
d4,1,0.211358,1.562099,[111  49] ; [43 12],[114.60465116  45.39534884] ; [39.39534884 15.60465116],0
r4,1,0.211584,1.560554,[106  56] ; [41 14],[109.74193548  52.25806452] ; [37.25806452 17.74193548],0
n2,1,0.231119,1.43396,[37 26] ; [12  4],[39.07594937 23.92405063] ; [9.92405063 6.07594937],0
s3,1,0.24908,1.328454,[ 36 125] ; [16 37],[ 39.12149533 121.87850467] ; [12.87850467 40.12149533],0
r3,1,0.257466,1.282334,[128  31] ; [48  7],[130.76635514  28.23364486] ; [45.23364486  9.76635514],0
b2,1,0.278273,1.175507,[32 56] ; [16 18],[34.62295082 53.37704918] ; [13.37704918 20.62295082],0
b3,1,0.278273,1.175507,[32 56] ; [16 18],[34.62295082 53.37704918] ; [13.37704918 20.62295082],0
d2,1,0.279171,1.171119,[68 92] ; [28 27],[71.44186047 88.55813953] ; [24.55813953 30.44186047],0
r1,1,0.298106,1.08265,[98 62] ; [38 17],[101.20930233  58.79069767] ; [34.79069767 20.20930233],0
u2,1,0.332805,0.937951,[32 34] ; [4 8],[30.46153846 35.53846154] ; [5.53846154 6.46153846],0
n5,1,0.338477,0.916193,[93 67] ; [36 19],[96. 64.] ; [33. 22.],0
r2,1,0.367128,0.813361,[132  26] ; [47  6],[134.03791469  23.96208531] ; [44.96208531  8.03791469],0
b1,1,0.432292,0.616657,[ 61 101] ; [24 31],[63.4562212 98.5437788] ; [21.5437788 33.4562212],0
n1,1,0.490159,0.476178,[21 40] ; [7 9],[22.18181818 38.81818182] ; [ 5.81818182 10.18181818],0
s5,1,0.49607,0.463334,[ 13 145] ; [ 6 47],[ 14.22748815 143.77251185] ; [ 4.77251185 48.22748815],0
s2,1,0.56853,0.325148,[ 25 136] ; [10 43],[ 26.3317757 134.6682243] ; [ 8.6682243 44.3317757],0
d3,1,0.572101,0.319179,[89 71] ; [33 22],[90.79069767 69.20930233] ; [31.20930233 23.79069767],0
a1,1,0.575067,0.314278,[  9 153] ; [ 2 53],[  8.21198157 153.78801843] ; [ 2.78801843 52.21198157],0
u3,1,0.5765,0.311927,[25 41] ; [6 7],[25.89873418 40.10126582] ; [5.10126582 7.89873418],0
a8,1,0.616091,0.2514,[ 14 139] ; [ 6 46],[ 14.92682927 138.07317073] ; [ 5.07317073 46.92682927],0
p1,1,0.678677,0.171619,[  8 152] ; [ 2 53],[  7.44186047 152.55813953] ; [ 2.55813953 52.44186047],0
n6,1,0.699154,0.149353,[106  54] ; [38 17],[107.1627907  52.8372093] ; [36.8372093 18.1627907],0
a7,1,0.729472,0.119597,[97 62] ; [35 20],[98.07476636 60.92523364] ; [33.92523364 21.07476636],0
a6,1,0.737945,0.111941,[96 66] ; [34 21],[97.05069124 64.94930876] ; [32.94930876 22.05069124],0
