Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.009908,6.651312,[ 7 12] ; [8 1],[10.17857143  8.82142857] ; [4.82142857 4.17857143],0
r3,1,0.029604,4.732164,[16  3] ; [4 5],[13.57142857  5.42857143] ; [6.42857143 2.57142857],0
r4,1,0.035644,4.414048,[10  9] ; [1 8],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
d1,1,0.043047,4.093567,[12  7] ; [2 7],[9.5 9.5] ; [4.5 4.5],0
p10,1,0.079741,3.070175,[13  6] ; [3 6],[10.85714286  8.14285714] ; [5.14285714 3.85714286],0
p4,1,0.079741,3.070175,[ 6 13] ; [6 3],[ 8.14285714 10.85714286] ; [3.85714286 5.14285714],0
a8,1,0.099438,2.714533,[ 2 17] ; [3 5],[ 3.51851852 15.48148148] ; [1.48148148 6.51851852],0
d4,1,0.10197,2.674464,[16  3] ; [5 4],[14.25  4.75] ; [6.75 2.25],0
s5,1,0.114057,2.497095,[ 7 10] ; [1 8],[ 5.23076923 11.76923077] ; [2.76923077 6.23076923],0
b3,1,0.11953,2.423469,[6 6] ; [1 6],[4.42105263 7.57894737] ; [2.57894737 4.42105263],0
b2,1,0.11953,2.423469,[6 6] ; [1 6],[4.42105263 7.57894737] ; [2.57894737 4.42105263],0
d5,1,0.131543,2.274204,[14  5] ; [4 5],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
v2,1,0.139445,2.184076,[12  7] ; [3 6],[10.17857143  8.82142857] ; [4.82142857 4.17857143],0
r1,1,0.224765,1.473684,[11  8] ; [3 6],[9.5 9.5] ; [4.5 4.5],0
p7,1,0.224765,1.473684,[ 8 11] ; [6 3],[9.5 9.5] ; [4.5 4.5],0
n5,1,0.305141,1.051592,[11  8] ; [7 2],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
a4,1,0.305141,1.051592,[ 8 11] ; [2 7],[ 6.78571429 12.21428571] ; [3.21428571 5.78571429],0
a7,1,0.338939,0.91444,[10  9] ; [3 6],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
n1,1,0.345779,0.888889,[5 1] ; [1 1],[4.5 1.5] ; [1.5 0.5],0
d2,1,0.350045,0.873294,[12  7] ; [4 5],[10.85714286  8.14285714] ; [5.14285714 3.85714286],0
s1,1,0.408809,0.682261,[ 2 17] ; [2 7],[ 2.71428571 16.28571429] ; [1.28571429 7.71428571],0
s7,1,0.431847,0.617851,[ 7 10] ; [2 6],[ 6.12 10.88] ; [2.88 5.12],0
d3,1,0.5051,0.444205,[11  8] ; [4 5],[10.17857143  8.82142857] ; [4.82142857 4.17857143],0
p5,1,0.512054,0.429868,[ 1 18] ; [1 7],[ 1.40740741 17.59259259] ; [0.59259259 7.40740741],0
s4,1,0.521213,0.411492,[ 4 15] ; [1 8],[ 3.39285714 15.60714286] ; [1.60714286 7.39285714],0
a3,1,0.608757,0.261988,[13  6] ; [7 2],[13.57142857  5.42857143] ; [6.42857143 2.57142857],0
p8,1,0.620079,0.245756,[ 5 13] ; [3 5],[ 5.53846154 12.46153846] ; [2.46153846 5.53846154],0
p6,1,0.65714,0.197017,[ 8 11] ; [3 6],[ 7.46428571 11.53571429] ; [3.53571429 5.46428571],0
u2,1,0.67329,0.177778,[2 4] ; [1 1],[2.25 3.75] ; [0.75 1.25],0
a6,1,0.685734,0.163743,[10  9] ; [4 5],[9.5 9.5] ; [4.5 4.5],0
p3,1,0.685734,0.163743,[10  9] ; [4 5],[9.5 9.5] ; [4.5 4.5],0
p9,1,0.700472,0.147981,[12  7] ; [5 4],[11.53571429  7.46428571] ; [5.46428571 3.53571429],0
b1,1,0.700472,0.147981,[12  7] ; [5 4],[11.53571429  7.46428571] ; [5.46428571 3.53571429],0
n6,1,0.700472,0.147981,[12  7] ; [5 4],[11.53571429  7.46428571] ; [5.46428571 3.53571429],0
s8,1,0.701063,0.147368,[ 5 14] ; [3 6],[ 5.42857143 13.57142857] ; [2.57142857 6.42857143],0
v3,1,0.756158,0.096429,[ 5 13] ; [2 7],[ 4.66666667 13.33333333] ; [2.33333333 6.66666667],0
n3,1,0.80915,0.058333,[3 2] ; [1 1],[2.85714286 2.14285714] ; [1.14285714 0.85714286],0
v1,1,0.815276,0.054581,[ 5 14] ; [2 7],[ 4.75 14.25] ; [2.25 6.75],0
n4,1,0.856395,0.032749,[12  7] ; [6 3],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
b4,1,0.856395,0.032749,[12  7] ; [6 3],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
s2,1,0.884799,0.020993,[10  9] ; [5 4],[10.17857143  8.82142857] ; [4.82142857 4.17857143],0
p11,1,0.884799,0.020993,[10  9] ; [5 4],[10.17857143  8.82142857] ; [4.82142857 4.17857143],0
s6,1,0.898768,0.016184,[9 8] ; [5 4],[9.15384615 7.84615385] ; [4.84615385 4.15384615],0
p2,1,0.907008,0.013645,[11  8] ; [5 4],[10.85714286  8.14285714] ; [5.14285714 3.85714286],0
a5,1,0.907008,0.013645,[11  8] ; [5 4],[10.85714286  8.14285714] ; [5.14285714 3.85714286],0
p1,1,0.962732,0.002183,[ 2 17] ; [1 8],[ 2.03571429 16.96428571] ; [0.96428571 8.03571429],0
