Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,27.188811,[ 4 20] ; [22  2],[13. 11.] ; [13. 11.],1
r3,1,2.7e-05,17.616943,[ 8 17] ; [21  2],[15.10416667  9.89583333] ; [13.89583333  9.10416667],1
p11,1,3.3e-05,17.229192,[ 4 21] ; [18  6],[11.2244898 13.7755102] ; [10.7755102 13.2244898],1
n6,1,4.4e-05,16.70276,[ 8 16] ; [21  2],[14.80851064  9.19148936] ; [14.19148936  8.80851064],1
p2,1,5.3e-05,16.325963,[ 4 21] ; [17  6],[10.9375 14.0625] ; [10.0625 12.9375],1
s8,1,0.001583,9.978963,[ 1 24] ; [10 14],[ 5.6122449 19.3877551] ; [ 5.3877551 18.6122449],0
p7,1,0.001652,9.900382,[ 3 22] ; [13 11],[ 8.16326531 16.83673469] ; [ 7.83673469 16.16326531],0
p6,1,0.003414,8.571793,[ 1 23] ; [ 9 14],[ 5.10638298 18.89361702] ; [ 4.89361702 18.10638298],0
s6,1,0.005391,7.743284,[ 4 21] ; [12 10],[ 8.5106383 16.4893617] ; [ 7.4893617 14.5106383],0
p4,1,0.011178,6.436818,[ 4 21] ; [12 12],[ 8.16326531 16.83673469] ; [ 7.83673469 16.16326531],0
v2,1,0.014509,5.975184,[ 6 19] ; [14 10],[10.20408163 14.79591837] ; [ 9.79591837 14.20408163],0
p8,1,0.017188,5.677078,[ 1 24] ; [ 7 17],[ 4.08163265 20.91836735] ; [ 3.91836735 20.08163265],0
s3,1,0.038823,4.268603,[ 6 18] ; [13 11],[ 9.5 14.5] ; [ 9.5 14.5],0
n5,1,0.039894,4.222376,[17  8] ; [22  2],[19.89795918  5.10204082] ; [19.10204082  4.89795918],0
a1,1,0.04733,3.933611,[ 6 19] ; [ 1 23],[ 3.57142857 21.42857143] ; [ 3.42857143 20.57142857],0
n3,1,0.050962,3.809524,[5 9] ; [5 1],[7. 7.] ; [3. 3.],0
a5,1,0.052489,3.760105,[12 13] ; [18  6],[15.30612245  9.69387755] ; [14.69387755  9.30612245],0
r4,1,0.053894,3.715988,[ 5 20] ; [11 13],[ 8.16326531 16.83673469] ; [ 7.83673469 16.16326531],0
p5,1,0.072345,3.228999,[ 1 24] ; [ 5 19],[ 3.06122449 21.93877551] ; [ 2.93877551 21.06122449],0
s5,1,0.079384,3.077459,[ 2 23] ; [ 6 16],[ 4.25531915 20.74468085] ; [ 3.74468085 18.25531915],0
s7,1,0.083935,2.987013,[ 3 20] ; [ 8 15],[ 5.5 17.5] ; [ 5.5 17.5],0
p3,1,0.099958,2.706209,[ 5 20] ; [10 14],[ 7.65306122 17.34693878] ; [ 7.34693878 16.65306122],0
u3,1,0.21289,1.551667,[1 9] ; [3 6],[2.10526316 7.89473684] ; [1.89473684 7.10526316],0
d4,1,0.263011,1.252841,[15 10] ; [18  6],[16.83673469  8.16326531] ; [16.16326531  7.83673469],0
b4,1,0.281614,1.159286,[14 11] ; [17  7],[15.81632653  9.18367347] ; [15.18367347  8.81632653],0
