Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,80.253853,[ 2 85] ; [102  67],[35.34375 51.65625] ; [ 68.65625 100.34375],1
d4,1,0.0,36.837321,[41 46] ; [141  28],[61.8515625 25.1484375] ; [120.1484375  48.8515625],1
d3,1,0.0,27.980726,[30 57] ; [116  52],[49.81176471 37.18823529] ; [96.18823529 71.81176471],1
a5,1,3e-06,21.831708,[35 52] ; [119  50],[52.3359375 34.6640625] ; [101.6640625  67.3359375],1
r2,1,2.8e-05,17.525649,[65 22] ; [155  11],[75.65217391 11.34782609] ; [144.34782609  21.65217391],1
r4,1,3.1e-05,17.331853,[52 35] ; [141  28],[65.58984375 21.41015625] ; [127.41015625  41.58984375],1
d2,1,9.9e-05,15.151652,[21 66] ; [83 85],[35.48235294 51.51764706] ; [68.51764706 99.48235294],1
a6,1,0.000264,13.309559,[37 50] ; [112  57],[50.63671875 36.36328125] ; [98.36328125 70.63671875],1
a4,1,0.000568,11.877221,[20 65] ; [77 91],[32.58893281 52.41106719] ; [ 64.41106719 103.58893281],1
a3,1,0.000906,11.010129,[39 45] ; [115  54],[51.13043478 32.86956522] ; [102.86956522  66.13043478],1
a7,1,0.000967,10.888874,[43 44] ; [119  50],[55.0546875 31.9453125] ; [106.9453125  62.0546875],1
a2,1,0.001275,10.378341,[ 6 81] ; [ 39 130],[15.29296875 71.70703125] ; [ 29.70703125 139.29296875],0
r3,1,0.001321,10.312538,[62 24] ; [149  20],[71.16078431 14.83921569] ; [139.83921569  29.16078431],0
r1,1,0.001804,9.739279,[46 41] ; [121  46],[57.2007874 29.7992126] ; [109.7992126  57.2007874],0
v4,1,0.002117,9.445276,[67 20] ; [152  15],[75.01181102 11.98818898] ; [143.98818898  23.01181102],0
p2,1,0.002237,9.344149,[50 37] ; [127  40],[60.62598425 26.37401575] ; [116.37401575  50.62598425],0
u2,1,0.003736,8.407787,[16 31] ; [34 20],[23.26732673 23.73267327] ; [26.73267327 27.26732673],0
s6,1,0.00516,7.822452,[34 52] ; [97 70],[44.52964427 41.47035573] ; [86.47035573 80.52964427],0
s8,1,0.00712,7.242507,[16 71] ; [ 58 110],[25.24705882 61.75294118] ; [ 48.75294118 119.24705882],0
u1,1,0.007276,7.203435,[ 2 85] ; [ 21 148],[ 7.81640625 79.18359375] ; [ 15.18359375 153.81640625],0
s1,1,0.013381,6.118065,[10 76] ; [  6 160],[ 5.46031746 80.53968254] ; [ 10.53968254 155.46031746],0
p7,1,0.016673,5.730462,[27 56] ; [80 85],[35.81048387 47.18951613] ; [71.18951613 93.81048387],0
n4,1,0.052581,3.757201,[50 37] ; [117  51],[56.97647059 30.02352941] ; [110.02352941  57.97647059],0
n6,1,0.087593,2.918055,[57 29] ; [129  40],[62.72941176 23.27058824] ; [123.27058824  45.72941176],0
s5,1,0.128629,2.308969,[16 70] ; [ 45 120],[20.90039841 65.09960159] ; [ 40.09960159 124.90039841],0
u3,1,0.129125,2.302994,[19 28] ; [30 24],[22.8019802 24.1980198] ; [26.1980198 27.8019802],0
a1,1,0.141105,2.16587,[ 6 81] ; [  5 164],[ 3.73828125 83.26171875] ; [  7.26171875 161.73828125],0
p8,1,0.151849,2.053575,[24 61] ; [ 63 106],[29.11417323 55.88582677] ; [ 57.88582677 111.11417323],0
p6,1,0.165098,1.926904,[14 72] ; [ 40 128],[18.28346457 67.71653543] ; [ 35.71653543 132.28346457],0
p1,1,0.174335,1.845266,[ 8 79] ; [  8 158],[ 5.50197628 81.49802372] ; [ 10.49802372 155.50197628],0
s7,1,0.19334,1.691985,[23 61] ; [ 58 105],[27.5465587 56.4534413] ; [ 53.4534413 109.5465587],0
p4,1,0.28444,1.145753,[24 61] ; [ 59 110],[27.77559055 57.22440945] ; [ 55.22440945 113.77559055],0
p11,1,0.29828,1.081868,[53 34] ; [114  55],[56.75390625 30.24609375] ; [110.24609375  58.75390625],0
b1,1,0.325941,0.964959,[39 48] ; [ 65 104],[35.34375 51.65625] ; [ 68.65625 100.34375],0
p10,1,0.327347,0.959363,[51 34] ; [110  56],[54.52191235 30.47808765] ; [106.47808765  59.52191235],0
p9,1,0.418683,0.654009,[56 30] ; [115  49],[58.824 27.176] ; [112.176  51.824],0
b4,1,0.434598,0.610505,[46 41] ; [98 71],[48.9375 38.0625] ; [95.0625 73.9375],0
s2,1,0.530615,0.393213,[29 57] ; [ 63 104],[31.27272727 54.72727273] ; [ 60.72727273 106.27272727],0
n2,1,0.569672,0.323232,[26 10] ; [40 20],[24.75 11.25] ; [41.25 18.75],0
p12,1,0.590585,0.289432,[ 2 84] ; [  6 162],[ 2.70866142 83.29133858] ; [  5.29133858 162.70866142],0
s4,1,0.593839,0.284389,[16 71] ; [ 26 139],[14.5 72.5] ; [ 27.5 137.5],0
n5,1,0.632188,0.229105,[57 29] ; [117  52],[58.68235294 27.31764706] ; [115.31764706  53.68235294],0
s3,1,0.695649,0.153038,[38 47] ; [79 88],[39.46428571 45.53571429] ; [77.53571429 89.46428571],0
v3,1,0.701672,0.146738,[14 72] ; [ 24 142],[12.96825397 73.03174603] ; [ 25.03174603 140.96825397],0
a8,1,0.717359,0.131037,[10 70] ; [ 23 139],[10.90909091 69.09090909] ; [ 22.09090909 139.90909091],0
n3,1,0.758177,0.094787,[20 14] ; [36 22],[20.69565217 13.30434783] ; [35.30434783 22.69565217],0
b5,1,0.790063,0.070878,[54 33] ; [102  67],[53.015625 33.984375] ; [102.984375  66.015625],0
n1,1,0.821413,0.050953,[14 21] ; [25 34],[14.5212766 20.4787234] ; [24.4787234 34.5212766],0
p5,1,0.86298,0.029784,[ 5 80] ; [  9 159],[ 4.70355731 80.29644269] ; [  9.29644269 158.70355731],0
v1,1,0.87584,0.024412,[27 58] ; [ 55 113],[27.54940711 57.45059289] ; [ 54.45059289 113.54940711],0
b2,1,0.906994,0.01365,[20 34] ; [35 62],[19.66887417 34.33112583] ; [35.33112583 61.66887417],0
b3,1,0.906994,0.01365,[20 34] ; [35 62],[19.66887417 34.33112583] ; [35.33112583 61.66887417],0
