Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.4e-05,17.186821,[13  1] ; [10 26],[6.44 7.56] ; [16.56 19.44],1
s6,1,0.001085,10.675841,[11  3] ; [10 26],[5.88 8.12] ; [15.12 20.88],0
p7,1,0.008558,6.912842,[10  4] ; [11 25],[5.88 8.12] ; [15.12 20.88],0
p3,1,0.010818,6.494902,[8 6] ; [ 7 28],[4.28571429 9.71428571] ; [10.71428571 24.28571429],0
s3,1,0.010818,6.494902,[8 6] ; [ 7 28],[4.28571429 9.71428571] ; [10.71428571 24.28571429],0
d4,1,0.031211,4.641308,[12  2] ; [19 17],[8.68 5.32] ; [22.32 13.68],0
a6,1,0.08638,2.940578,[10  4] ; [16 20],[7.28 6.72] ; [18.72 17.28],0
v1,1,0.088843,2.895221,[7 7] ; [ 9 27],[4.48 9.52] ; [11.52 24.48],0
d3,1,0.105698,2.617386,[9 5] ; [14 22],[6.44 7.56] ; [16.56 19.44],0
a7,1,0.123074,2.377757,[ 4 10] ; [19 17],[6.44 7.56] ; [16.56 19.44],0
p10,1,0.123841,2.36806,[9 5] ; [14 21],[6.57142857 7.42857143] ; [16.42857143 18.57142857],0
s8,1,0.130506,2.28647,[ 4 10] ; [ 4 32],[ 2.24 11.76] ; [ 5.76 30.24],0
n6,1,0.132205,2.266419,[11  3] ; [20 16],[8.68 5.32] ; [22.32 13.68],0
p11,1,0.132205,2.266419,[11  3] ; [20 16],[8.68 5.32] ; [22.32 13.68],0
p6,1,0.155566,2.016807,[ 4 10] ; [ 4 30],[ 2.33333333 11.66666667] ; [ 5.66666667 28.33333333],0
n5,1,0.198398,1.654128,[7 7] ; [25 11],[8.96 5.04] ; [23.04 12.96],0
b2,1,0.201754,1.62963,[1 8] ; [ 8 16],[2.45454545 6.54545455] ; [ 6.54545455 17.45454545],0
b3,1,0.201754,1.62963,[1 8] ; [ 8 16],[2.45454545 6.54545455] ; [ 6.54545455 17.45454545],0
b4,1,0.207712,1.587302,[5 9] ; [20 16],[7. 7.] ; [18. 18.],0
p2,1,0.230238,1.439388,[10  4] ; [19 17],[8.12 5.88] ; [20.88 15.12],0
a5,1,0.242997,1.363121,[8 6] ; [14 22],[6.16 7.84] ; [15.84 20.16],0
r3,1,0.289291,1.122917,[11  3] ; [22 13],[9.42857143 4.57142857] ; [23.57142857 11.42857143],0
a1,1,0.306934,1.043823,[ 2 12] ; [ 2 34],[ 1.12 12.88] ; [ 2.88 33.12],0
d2,1,0.317643,0.998629,[ 3 11] ; [13 23],[4.48 9.52] ; [11.52 24.48],0
d1,1,0.328779,0.953701,[5 9] ; [ 8 28],[ 3.64 10.36] ; [ 9.36 26.64],0
p8,1,0.335375,0.92803,[6 8] ; [10 25],[4.57142857 9.42857143] ; [11.42857143 23.57142857],0
b5,1,0.362806,0.828157,[9 5] ; [18 18],[7.56 6.44] ; [19.44 16.56],0
n2,1,0.422489,0.643382,[3 1] ; [9 8],[2.28571429 1.71428571] ; [9.71428571 7.28571429],0
n1,1,0.431923,0.617647,[2 2] ; [ 5 12],[1.33333333 2.66666667] ; [ 5.66666667 11.33333333],0
s7,1,0.4379,0.601779,[ 3 11] ; [ 4 28],[ 2.13043478 11.86956522] ; [ 4.86956522 27.13043478],0
v3,1,0.513785,0.426351,[ 3 11] ; [ 5 31],[ 2.24 11.76] ; [ 5.76 30.24],0
s5,1,0.513785,0.426351,[ 3 11] ; [ 5 31],[ 2.24 11.76] ; [ 5.76 30.24],0
a8,1,0.519243,0.415397,[ 1 12] ; [ 5 29],[ 1.65957447 11.34042553] ; [ 4.34042553 29.65957447],0
d5,1,0.528733,0.396825,[6 8] ; [19 17],[7. 7.] ; [18. 18.],0
p5,1,0.550533,0.356364,[ 2 12] ; [ 3 32],[ 1.42857143 12.57142857] ; [ 3.57142857 31.42857143],0
v4,1,0.5744,0.315375,[9 5] ; [20 16],[8.12 5.88] ; [20.88 15.12],0
n3,1,0.585804,0.296946,[2 2] ; [11  6],[2.47619048 1.52380952] ; [10.52380952  6.47619048],0
a3,1,0.594032,0.284091,[7 7] ; [15 21],[6.16 7.84] ; [15.84 20.16],0
b1,1,0.594032,0.284091,[7 7] ; [21 15],[7.84 6.16] ; [20.16 15.84],0
u3,1,0.594853,0.282828,[2 5] ; [ 4 17],[1.5 5.5] ; [ 4.5 16.5],0
r4,1,0.693935,0.154859,[ 3 11] ; [ 6 30],[ 2.52 11.48] ; [ 6.48 29.52],0
p9,1,0.725038,0.123717,[9 5] ; [20 14],[8.45833333 5.54166667] ; [20.54166667 13.45833333],0
u2,1,0.826824,0.047863,[4 3] ; [11 10],[3.75 3.25] ; [11.25  9.75],0
s4,1,0.874862,0.024802,[ 3 11] ; [ 7 29],[ 2.8 11.2] ; [ 7.2 28.8],0
p12,1,0.889198,0.01941,[ 1 13] ; [ 3 33],[ 1.12 12.88] ; [ 2.88 33.12],0
n4,1,0.919134,0.010307,[8 6] ; [20 16],[7.84 6.16] ; [20.16 15.84],0
v2,1,0.924389,0.009007,[5 9] ; [12 23],[4.85714286 9.14285714] ; [12.14285714 22.85714286],0
a4,1,0.951496,0.0037,[ 3 11] ; [ 8 28],[ 3.08 10.92] ; [ 7.92 28.08],0
