Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.014524,5.973333,[4 2] ; [ 2 13],[1.71428571 4.28571429] ; [ 4.28571429 10.71428571],0
b2,1,0.014524,5.973333,[4 2] ; [ 2 13],[1.71428571 4.28571429] ; [ 4.28571429 10.71428571],0
v3,1,0.017065,5.689674,[3 3] ; [ 2 21],[1.03448276 4.96551724] ; [ 3.96551724 19.03448276],0
r1,1,0.034138,4.487762,[4 2] ; [ 5 18],[1.86206897 4.13793103] ; [ 7.13793103 15.86206897],0
p5,1,0.04329,4.08404,[2 4] ; [ 1 21],[0.64285714 5.35714286] ; [ 2.35714286 19.64285714],0
s8,1,0.096451,2.763269,[3 3] ; [ 4 19],[1.44827586 4.55172414] ; [ 5.55172414 17.44827586],0
s6,1,0.103332,2.653345,[4 2] ; [ 7 16],[2.27586207 3.72413793] ; [ 8.72413793 14.27586207],0
s1,1,0.119088,2.429275,[2 4] ; [ 2 21],[0.82758621 5.17241379] ; [ 3.17241379 19.82758621],0
s5,1,0.119088,2.429275,[2 4] ; [ 2 21],[0.82758621 5.17241379] ; [ 3.17241379 19.82758621],0
p1,1,0.119088,2.429275,[2 4] ; [ 2 21],[0.82758621 5.17241379] ; [ 3.17241379 19.82758621],0
a5,1,0.119355,2.425759,[5 1] ; [11 12],[3.31034483 2.68965517] ; [12.68965517 10.31034483],0
d4,1,0.167554,1.904696,[5 1] ; [12 11],[3.51724138 2.48275862] ; [13.48275862  9.51724138],0
s2,1,0.167792,1.902562,[3 3] ; [ 5 18],[1.65517241 4.34482759] ; [ 6.34482759 16.65517241],0
n6,1,0.254478,1.298551,[4 1] ; [12 11],[2.85714286 2.14285714] ; [13.14285714  9.85714286],0
v1,1,0.259509,1.271377,[3 3] ; [ 6 17],[1.86206897 4.13793103] ; [ 7.13793103 15.86206897],0
r4,1,0.288916,1.124665,[1 5] ; [ 1 22],[0.4137931 5.5862069] ; [ 1.5862069 21.4137931],0
a2,1,0.288916,1.124665,[1 5] ; [ 1 22],[0.4137931 5.5862069] ; [ 1.5862069 21.4137931],0
a1,1,0.288916,1.124665,[1 5] ; [ 1 22],[0.4137931 5.5862069] ; [ 1.5862069 21.4137931],0
p4,1,0.302557,1.062891,[1 5] ; [ 9 14],[2.06896552 3.93103448] ; [ 7.93103448 15.06896552],0
a6,1,0.302557,1.062891,[1 5] ; [ 9 14],[2.06896552 3.93103448] ; [ 7.93103448 15.06896552],0
n1,1,0.303052,1.060714,[1 3] ; [4 3],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
n2,1,0.303052,1.060714,[1 3] ; [4 3],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
p10,1,0.356981,0.848485,[4 2] ; [10 12],[3. 3.] ; [11. 11.],0
p9,1,0.356981,0.848485,[4 2] ; [10 12],[3. 3.] ; [11. 11.],0
r3,1,0.356981,0.848485,[4 2] ; [10 12],[3. 3.] ; [11. 11.],0
d2,1,0.369219,0.806293,[3 3] ; [ 7 16],[2.06896552 3.93103448] ; [ 7.93103448 15.06896552],0
n4,1,0.39299,0.72967,[5 1] ; [15  8],[4.13793103 1.86206897] ; [15.86206897  7.13793103],0
p11,1,0.410806,0.676467,[4 2] ; [11 12],[3.10344828 2.89655172] ; [11.89655172 11.10344828],0
a4,1,0.501594,0.451561,[1 5] ; [ 7 16],[1.65517241 4.34482759] ; [ 6.34482759 16.65517241],0
s4,1,0.568028,0.325994,[1 5] ; [ 2 21],[0.62068966 5.37931034] ; [ 2.37931034 20.62068966],0
p12,1,0.568028,0.325994,[1 5] ; [ 2 21],[0.62068966 5.37931034] ; [ 2.37931034 20.62068966],0
p8,1,0.594853,0.282828,[2 4] ; [ 5 17],[1.5 4.5] ; [ 5.5 16.5],0
d5,1,0.630209,0.231777,[3 3] ; [ 9 14],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
d3,1,0.631069,0.230614,[1 5] ; [ 6 17],[1.44827586 4.55172414] ; [ 5.55172414 17.44827586],0
p3,1,0.631069,0.230614,[1 5] ; [ 6 17],[1.44827586 4.55172414] ; [ 5.55172414 17.44827586],0
a7,1,0.653188,0.201904,[2 4] ; [10 13],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
s3,1,0.770831,0.084848,[2 4] ; [ 6 16],[1.71428571 4.28571429] ; [ 6.28571429 15.71428571],0
v2,1,0.770831,0.084848,[2 4] ; [ 6 16],[1.71428571 4.28571429] ; [ 6.28571429 15.71428571],0
p2,1,0.774826,0.081835,[3 3] ; [10 13],[2.68965517 3.31034483] ; [10.31034483 12.68965517],0
b5,1,0.774826,0.081835,[3 3] ; [13 10],[3.31034483 2.68965517] ; [12.68965517 10.31034483],0
