Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.024333,5.07076,[2 1] ; [ 46 225],[0.52554745 2.47445255] ; [ 47.47445255 223.52554745],0
v4,1,0.082975,3.005637,[2 1] ; [250  19],[2.77941176 0.22058824] ; [249.22058824  19.77941176],0
s3,1,0.350557,0.871441,[1 2] ; [160 107],[1.78888889 1.21111111] ; [159.21111111 107.78888889],0
s2,1,0.461053,0.543336,[1 2] ; [147 122],[1.63235294 1.36764706] ; [146.36764706 122.63235294],0
s7,1,0.47347,0.513866,[1 2] ; [139 118],[1.61538462 1.38461538] ; [138.38461538 118.61538462],0
n5,1,0.526331,0.401471,[2 1] ; [219  51],[2.42857143 0.57142857] ; [218.57142857  51.42857143],0
n6,1,0.52893,0.396447,[2 1] ; [218  51],[2.42647059 0.57352941] ; [217.57352941  51.42647059],0
a4,1,0.544497,0.367268,[2 1] ; [133 138],[1.47810219 1.52189781] ; [133.52189781 137.47810219],0
s8,1,0.574495,0.315219,[1 2] ; [134 136],[1.48351648 1.51648352] ; [133.51648352 136.48351648],0
n1,1,0.595961,0.281131,[2 1] ; [27 26],[1.55357143 1.44642857] ; [27.44642857 25.55357143],0
v2,1,0.625341,0.238432,[2 1] ; [136 123],[1.58015267 1.41984733] ; [136.41984733 122.58015267],0
a3,1,0.645903,0.211104,[2 1] ; [210  60],[2.32967033 0.67032967] ; [209.67032967  60.32967033],0
a5,1,0.668656,0.183179,[2 1] ; [209  62],[2.31021898 0.68978102] ; [208.68978102  62.31021898],0
v1,1,0.674947,0.175869,[2 1] ; [144 120],[1.64044944 1.35955056] ; [144.35955056 119.64044944],0
a2,1,0.718954,0.129497,[1 2] ; [ 66 205],[0.73357664 2.26642336] ; [ 66.26642336 204.73357664],0
n3,1,0.731871,0.1174,[2 1] ; [40 13],[2.25 0.75] ; [39.75 13.25],0
b4,1,0.741535,0.108782,[2 1] ; [155 116],[1.7189781 1.2810219] ; [155.2810219 115.7189781],0
n2,1,0.776725,0.080423,[2 1] ; [40 14],[2.21052632 0.78947368] ; [39.78947368 14.21052632],0
v3,1,0.869262,0.027092,[1 2] ; [101 165],[1.13754647 1.86245353] ; [100.86245353 165.13754647],0
d3,1,0.911693,0.0123,[2 1] ; [171  98],[1.90808824 1.09191176] ; [171.09191176  97.90808824],0
a6,1,0.925828,0.008667,[2 1] ; [173  97],[1.92307692 1.07692308] ; [173.07692308  96.92307692],0
a7,1,0.981853,0.000517,[2 1] ; [181  88],[2.01838235 0.98161765] ; [180.98161765  88.01838235],0
b3,1,0.98247,0.000483,[1 2] ; [ 56 109],[1.01785714 1.98214286] ; [ 55.98214286 109.01785714],0
b2,1,0.98247,0.000483,[1 2] ; [ 56 109],[1.01785714 1.98214286] ; [ 55.98214286 109.01785714],0
s6,1,0.996309,2.1e-05,[2 1] ; [175  88],[1.9962406 1.0037594] ; [175.0037594  87.9962406],0
