Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,50.662903,[23 27] ; [79  1],[39.23076923 10.76923077] ; [62.76923077 17.23076923],1
r1,1,0.0,45.60645,[13 37] ; [68 12],[31.15384615 18.84615385] ; [49.84615385 30.15384615],1
r2,1,0.0,35.16147,[25 22] ; [78  3],[37.8203125  9.1796875] ; [65.1796875 15.8203125],1
v4,1,0.0,34.129239,[25 24] ; [75  4],[38.28125 10.71875] ; [61.71875 17.28125],1
u3,1,8.2e-05,15.512614,[ 7 16] ; [23  4],[13.8  9.2] ; [16.2 10.8],1
p11,1,0.000202,13.810669,[18 32] ; [56 25],[28.24427481 21.75572519] ; [45.75572519 35.24427481],1
p2,1,0.000585,11.822424,[23 26] ; [62 19],[32.03846154 16.96153846] ; [52.96153846 28.03846154],1
a6,1,0.004151,8.216614,[24 26] ; [59 22],[31.67938931 18.32061069] ; [51.32061069 29.67938931],0
d5,1,0.004356,8.1291,[27 23] ; [63 18],[34.35114504 15.64885496] ; [55.64885496 25.35114504],0
p9,1,0.005486,7.711694,[22 27] ; [55 24],[29.4765625 19.5234375] ; [47.5234375 31.4765625],0
p3,1,0.00552,7.700792,[ 8 41] ; [32 49],[15.07692308 33.92307692] ; [24.92307692 56.07692308],0
n3,1,0.00846,6.933333,[12 15] ; [20  5],[16.61538462 10.38461538] ; [15.38461538  9.61538462],0
d3,1,0.009695,6.690171,[22 27] ; [55 26],[29.02307692 19.97692308] ; [47.97692308 33.02307692],0
s6,1,0.010491,6.549524,[16 34] ; [44 36],[23.07692308 26.92307692] ; [36.92307692 43.07692308],0
a1,1,0.011255,6.424624,[ 7 43] ; [ 2 79],[ 3.4351145 46.5648855] ; [ 5.5648855 75.4351145],0
d4,1,0.013167,6.146572,[30 20] ; [64 16],[36.15384615 13.84615385] ; [57.84615385 22.15384615],0
a7,1,0.019244,5.479163,[25 25] ; [57 24],[31.29770992 18.70229008] ; [50.70229008 30.29770992],0
s8,1,0.029079,4.762911,[ 7 43] ; [25 56],[12.21374046 37.78625954] ; [19.78625954 61.21374046],0
p4,1,0.029647,4.729655,[13 37] ; [36 44],[18.84615385 31.15384615] ; [30.15384615 49.84615385],0
b1,1,0.046037,3.980232,[33 17] ; [39 42],[27.48091603 22.51908397] ; [44.51908397 36.48091603],0
b5,1,0.068762,3.312325,[26 24] ; [55 26],[30.91603053 19.08396947] ; [50.08396947 30.91603053],0
d1,1,0.06887,3.309752,[16 34] ; [39 42],[20.99236641 29.00763359] ; [34.00763359 46.99236641],0
a2,1,0.102187,2.671081,[ 5 45] ; [17 64],[ 8.39694656 41.60305344] ; [13.60305344 67.39694656],0
p10,1,0.107345,2.592881,[22 27] ; [47 32],[26.4140625 22.5859375] ; [42.5859375 36.4140625],0
a5,1,0.118326,2.439339,[22 28] ; [47 34],[26.33587786 23.66412214] ; [42.66412214 38.33587786],0
v1,1,0.118592,2.435812,[14 35] ; [33 45],[18.13385827 30.86614173] ; [28.86614173 49.13385827],0
p8,1,0.144795,2.126246,[12 36] ; [30 50],[15.75 32.25] ; [26.25 53.75],0
n5,1,0.155099,2.021372,[26 24] ; [31 48],[22.09302326 27.90697674] ; [34.90697674 44.09302326],0
s2,1,0.180144,1.796434,[14 36] ; [32 49],[17.55725191 32.44274809] ; [28.44274809 52.55725191],0
