Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.001144,10.578755,[ 5 10] ; [21  4],[9.75 5.25] ; [16.25  8.75],0
p10,1,0.005681,7.648776,[5 9] ; [20  5],[8.97435897 5.02564103] ; [16.02564103  8.97435897],0
p9,1,0.035475,4.422153,[8 7] ; [21  4],[10.875  4.125] ; [18.125  6.875],0
a5,1,0.059697,3.545788,[7 8] ; [19  6],[9.75 5.25] ; [16.25  8.75],0
s8,1,0.062163,3.478704,[ 2 13] ; [10 14],[ 4.61538462 10.38461538] ; [ 7.38461538 16.61538462],0
p6,1,0.062616,3.4667,[ 3 11] ; [13 12],[5.74358974 8.25641026] ; [10.25641026 14.74358974],0
v4,1,0.082187,3.021118,[12  3] ; [12 11],[9.47368421 5.52631579] ; [14.52631579  8.47368421],0
p8,1,0.10247,2.666667,[ 5 10] ; [15 10],[7.5 7.5] ; [12.5 12.5],0
a6,1,0.109107,2.567111,[7 8] ; [18  7],[9.375 5.625] ; [15.625  9.375],0
p7,1,0.109107,2.567111,[7 8] ; [18  7],[9.375 5.625] ; [15.625  9.375],0
n4,1,0.138402,2.195632,[8 7] ; [19  6],[10.125  4.875] ; [16.875  8.125],0
v2,1,0.149517,2.077174,[ 4 11] ; [12 12],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
v1,1,0.170294,1.880357,[9 6] ; [ 9 15],[6.92307692 8.07692308] ; [11.07692308 12.92307692],0
a3,1,0.182422,1.777778,[7 8] ; [17  8],[9. 6.] ; [15. 10.],0
n2,1,0.184708,1.759334,[4 3] ; [7 1],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
s7,1,0.214449,1.541137,[4 9] ; [12 11],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
n6,1,0.229421,1.444444,[10  5] ; [20  4],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
a2,1,0.252904,1.30719,[ 1 14] ; [ 5 20],[ 2.25 12.75] ; [ 3.75 21.25],0
p1,1,0.252904,1.30719,[ 1 14] ; [ 5 20],[ 2.25 12.75] ; [ 3.75 21.25],0
a4,1,0.272967,1.201778,[ 4 11] ; [11 14],[5.625 9.375] ; [ 9.375 15.625],0
d2,1,0.272967,1.201778,[ 4 11] ; [11 14],[5.625 9.375] ; [ 9.375 15.625],0
p4,1,0.285049,1.142857,[9 6] ; [19  6],[10.5  4.5] ; [17.5  7.5],0
u3,1,0.3017,1.066667,[4 4] ; [2 6],[3. 5.] ; [3. 5.],0
r3,1,0.310624,1.028019,[8 7] ; [16  7],[9.47368421 5.52631579] ; [14.52631579  8.47368421],0
s6,1,0.319424,0.991304,[6 9] ; [13 10],[7.5 7.5] ; [11.5 11.5],0
n3,1,0.398025,0.714286,[5 2] ; [4 4],[4.2 2.8] ; [4.8 3.2],0
p5,1,0.414216,0.666667,[ 2 13] ; [ 6 19],[ 3. 12.] ; [ 5. 20.],0
s3,1,0.419946,0.650467,[6 8] ; [13 10],[7.18918919 6.81081081] ; [11.81081081 11.18918919],0
b3,1,0.518416,0.417043,[1 6] ; [ 5 14],[1.61538462 5.38461538] ; [ 4.38461538 14.61538462],0
b2,1,0.518416,0.417043,[1 6] ; [ 5 14],[1.61538462 5.38461538] ; [ 4.38461538 14.61538462],0
v3,1,0.523593,0.40681,[ 3 12] ; [ 7 17],[ 3.84615385 11.15384615] ; [ 6.15384615 17.84615385],0
s4,1,0.523593,0.40681,[ 3 12] ; [ 7 17],[ 3.84615385 11.15384615] ; [ 6.15384615 17.84615385],0
d3,1,0.54177,0.37227,[11  4] ; [16  9],[10.125  4.875] ; [16.875  8.125],0
s2,1,0.552033,0.353688,[7 8] ; [13 10],[7.89473684 7.10526316] ; [12.10526316 10.89473684],0
s1,1,0.586214,0.296296,[ 2 13] ; [ 2 23],[ 1.5 13.5] ; [ 2.5 22.5],0
d4,1,0.591119,0.2886,[13  2] ; [20  5],[12.375  2.625] ; [20.625  4.375],0
s5,1,0.598901,0.276657,[4 9] ; [ 5 17],[3.34285714 9.65714286] ; [ 5.65714286 16.34285714],0
r1,1,0.674012,0.176944,[ 4 11] ; [ 5 19],[ 3.46153846 11.53846154] ; [ 5.53846154 18.46153846],0
r2,1,0.717269,0.131125,[9 5] ; [14 10],[8.47368421 5.52631579] ; [14.52631579  9.47368421],0
b4,1,0.743971,0.106667,[7 8] ; [13 12],[7.5 7.5] ; [12.5 12.5],0
p2,1,0.769297,0.086022,[12  3] ; [19  6],[11.625  3.375] ; [19.375  5.625],0
u2,1,0.832662,0.044643,[3 5] ; [3 4],[3.2 4.8] ; [2.8 4.2],0
n1,1,0.832662,0.044643,[3 4] ; [3 5],[2.8 4.2] ; [3.2 4.8],0
d5,1,0.850436,0.035556,[11  4] ; [19  6],[11.25  3.75] ; [18.75  6.25],0
b1,1,0.864079,0.029304,[10  5] ; [16  9],[9.75 5.25] ; [16.25  8.75],0
b5,1,0.869635,0.026936,[8 7] ; [14 11],[8.25 6.75] ; [13.75 11.25],0
d1,1,0.934844,0.006683,[7 8] ; [12 13],[7.125 7.875] ; [11.875 13.125],0
a7,1,0.934844,0.006683,[8 7] ; [13 12],[7.875 7.125] ; [13.125 11.875],0
