Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,51.096365,[ 28 101] ; [138  88],[60.32112676 68.67887324] ; [105.67887324 120.32112676],1
v1,1,0.0,30.42038,[53 75] ; [161  65],[77.37853107 50.62146893] ; [136.62146893  89.37853107],1
a5,1,0.000371,12.670748,[91 42] ; [194  36],[104.4214876  28.5785124] ; [180.5785124  49.4214876],1
r1,1,0.001071,10.701115,[95 38] ; [196  33],[106.91436464  26.08563536] ; [184.08563536  44.91436464],0
r3,1,0.001359,10.260444,[120  13] ; [224   5],[126.38674033   6.61325967] ; [217.61325967  11.38674033],0
r2,1,0.002461,9.168999,[120  11] ; [224   4],[125.5264624   5.4735376] ; [218.4735376   9.5264624],0
n2,1,0.002462,9.168254,[11 10] ; [31  4],[15.75  5.25] ; [26.25  8.75],0
a3,1,0.003672,8.439174,[88 44] ; [184  45],[99.45706371 32.54293629] ; [172.54293629  56.45706371],0
p10,1,0.005448,7.724524,[104  28] ; [204  24],[112.93333333  19.06666667] ; [195.06666667  32.93333333],0
r4,1,0.00556,7.68769,[115  18] ; [218  12],[122.00826446  10.99173554] ; [210.99173554  19.00826446],0
a2,1,0.015081,5.907024,[ 25 108] ; [ 70 160],[34.80716253 98.19283747] ; [ 60.19283747 169.80716253],0
p7,1,0.015604,5.846995,[89 42] ; [181  47],[98.52367688 32.47632312] ; [171.47632312  56.52367688],0
p8,1,0.02463,5.049687,[76 56] ; [158  70],[85.8 46.2] ; [148.2  79.8],0
d2,1,0.027474,4.860781,[57 75] ; [127 103],[67.09392265 64.90607735] ; [116.90607735 113.09392265],0
s7,1,0.035207,4.435113,[58 65] ; [128  89],[67.28823529 55.71176471] ; [118.71176471  98.28823529],0
p11,1,0.041221,4.166896,[102  31] ; [196  34],[109.184573  23.815427] ; [188.815427  41.184573],0
n5,1,0.043405,4.079577,[97 35] ; [188  40],[104.5  27.5] ; [180.5  47.5],0
n3,1,0.045777,3.989764,[14  7] ; [31  4],[16.875  4.125] ; [28.125  6.875],0
p12,1,0.050144,3.836654,[  9 123] ; [ 31 198],[ 14.62603878 117.37396122] ; [ 25.37396122 203.62603878],0
d1,1,0.051391,3.795495,[73 60] ; [150  80],[81.70523416 51.29476584] ; [141.29476584  88.70523416],0
s8,1,0.067228,3.349439,[58 74] ; [123 105],[66.36666667 65.63333333] ; [114.63333333 113.36666667],0
d5,1,0.07224,3.231381,[104  28] ; [198  32],[110.12154696  21.87845304] ; [191.87845304  38.12154696],0
d3,1,0.085957,2.948508,[82 51] ; [162  68],[89.39944904 43.60055096] ; [154.60055096  75.39944904],0
v4,1,0.097775,2.741462,[124   9] ; [222   7],[127.12154696   5.87845304] ; [218.87845304  10.12154696],0
d4,1,0.11808,2.442606,[104  28] ; [196  34],[109.39226519  22.60773481] ; [190.60773481  39.39226519],0
p2,1,0.135799,2.224925,[112  21] ; [206  24],[116.51239669  16.48760331] ; [201.48760331  28.51239669],0
u1,1,0.140414,2.173417,[ 22 111] ; [ 53 177],[ 27.47933884 105.52066116] ; [ 47.52066116 182.47933884],0
p9,1,0.167419,1.905904,[113  19] ; [207  22],[117.00831025  14.99168975] ; [202.99168975  26.00831025],0
n6,1,0.196662,1.666988,[112  20] ; [204  24],[115.86666667  16.13333333] ; [200.13333333  27.86666667],0
a7,1,0.206603,1.595068,[93 40] ; [174  55],[98.09668508 34.90331492] ; [168.90331492  60.09668508],0
s6,1,0.216369,1.528289,[82 48] ; [157  69],[87.2752809 42.7247191] ; [151.7247191  74.2752809],0
a8,1,0.21699,1.524169,[ 14 107] ; [ 34 171],[ 17.81595092 103.18404908] ; [ 30.18404908 174.81595092],0
p6,1,0.253766,1.30245,[55 76] ; [109 117],[60.17927171 70.82072829] ; [103.82072829 122.17927171],0
n4,1,0.272686,1.203186,[108  25] ; [196  33],[111.69060773  21.30939227] ; [192.30939227  36.69060773],0
s2,1,0.306695,1.044857,[62 71] ; [119 109],[66.68421053 66.31578947] ; [114.31578947 113.68421053],0
b3,1,0.312979,1.018061,[33 53] ; [69 84],[36.70292887 49.29707113] ; [65.29707113 87.70292887],0
b2,1,0.312979,1.018061,[33 53] ; [69 84],[36.70292887 49.29707113] ; [65.29707113 87.70292887],0
a6,1,0.31859,0.994725,[88 45] ; [163  66],[92.21823204 40.78176796] ; [158.78176796  70.21823204],0
a4,1,0.34073,0.907682,[57 76] ; [110 119],[61.35635359 71.64364641] ; [105.64364641 123.35635359],0
s5,1,0.342384,0.901485,[44 86] ; [ 86 135],[48.14814815 81.85185185] ; [ 81.85185185 139.14814815],0
