Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.002869,8.888889,[13  5] ; [ 2 10],[9. 9.] ; [6. 6.],0
p11,1,0.007161,7.232143,[12  6] ; [ 2 10],[8.4 9.6] ; [5.6 6.4],0
p4,1,0.017706,5.625,[9 9] ; [ 1 11],[ 6. 12.] ; [4. 8.],0
s3,1,0.024517,5.057656,[9 9] ; [ 1 10],[ 6.20689655 11.79310345] ; [3.79310345 7.20689655],0
n3,1,0.030754,4.666667,[6 1] ; [2 5],[4. 3.] ; [4. 3.],0
u2,1,0.048766,3.883405,[8 1] ; [3 4],[6.1875 2.8125] ; [4.8125 2.1875],0
b1,1,0.052563,3.757764,[16  2] ; [7 5],[13.8  4.2] ; [9.2 2.8],0
s6,1,0.063444,3.444976,[9 9] ; [ 2 10],[ 6.6 11.4] ; [4.4 7.6],0
v4,1,0.072998,3.214286,[12  6] ; [4 8],[9.6 8.4] ; [6.4 5.6],0
d1,1,0.136037,2.222222,[ 2 16] ; [4 8],[ 3.6 14.4] ; [2.4 9.6],0
p10,1,0.137276,2.208236,[10  8] ; [3 8],[8.06896552 9.93103448] ; [4.93103448 6.06896552],0
p9,1,0.137276,2.208236,[10  8] ; [3 8],[8.06896552 9.93103448] ; [4.93103448 6.06896552],0
r3,1,0.175823,1.832579,[12  6] ; [5 7],[10.2  7.8] ; [6.8 5.2],0
s4,1,0.192106,1.701389,[ 5 13] ; [ 1 11],[ 3.6 14.4] ; [2.4 9.6],0
a7,1,0.231998,1.428571,[ 8 10] ; [8 4],[9.6 8.4] ; [6.4 5.6],0
r1,1,0.27894,1.172249,[ 8 10] ; [3 9],[ 6.6 11.4] ; [4.4 7.6],0
b4,1,0.295642,1.09375,[ 7 11] ; [7 5],[8.4 9.6] ; [5.6 6.4],0
s8,1,0.317311,1.0,[ 4 14] ; [ 1 11],[ 3. 15.] ; [ 2. 10.],0
n5,1,0.366799,0.81448,[9 9] ; [4 8],[ 7.8 10.2] ; [5.2 6.8],0
b5,1,0.456057,0.555556,[10  8] ; [5 7],[9. 9.] ; [6. 6.],0
d5,1,0.456057,0.555556,[ 8 10] ; [7 5],[9. 9.] ; [6. 6.],0
a8,1,0.473763,0.513186,[ 3 14] ; [ 1 11],[ 2.34482759 14.65517241] ; [ 1.65517241 10.34482759],0
d2,1,0.500184,0.454545,[ 4 14] ; [4 8],[ 4.8 13.2] ; [3.2 8.8],0
s5,1,0.510671,0.432692,[ 3 15] ; [ 1 11],[ 2.4 15.6] ; [ 1.6 10.4],0
n4,1,0.542802,0.37037,[ 8 10] ; [4 8],[ 7.2 10.8] ; [4.8 7.2],0
a6,1,0.547403,0.361991,[ 7 11] ; [6 6],[ 7.8 10.2] ; [5.2 6.8],0
n1,1,0.576999,0.311111,[3 4] ; [2 5],[2.5 4.5] ; [2.5 4.5],0
n2,1,0.59298,0.285714,[4 3] ; [3 4],[3.5 3.5] ; [3.5 3.5],0
d4,1,0.75706,0.095694,[11  7] ; [8 4],[11.4  6.6] ; [7.6 4.4],0
a5,1,0.765087,0.089286,[ 8 10] ; [6 6],[8.4 9.6] ; [5.6 6.4],0
s1,1,0.803785,0.061728,[ 2 16] ; [ 1 11],[ 1.8 16.2] ; [ 1.2 10.8],0
a1,1,0.803785,0.061728,[ 2 16] ; [ 1 11],[ 1.8 16.2] ; [ 1.2 10.8],0
a3,1,0.812126,0.056494,[9 9] ; [5 6],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
u3,1,0.838464,0.041558,[3 6] ; [2 5],[2.8125 6.1875] ; [2.1875 4.8125],0
s7,1,0.840342,0.040584,[ 3 11] ; [2 9],[ 2.8 11.2] ; [2.2 8.8],0
d3,1,0.879072,0.023148,[ 7 11] ; [5 7],[ 7.2 10.8] ; [4.8 7.2],0
v2,1,0.954001,0.003327,[ 6 11] ; [4 7],[ 6.07142857 10.92857143] ; [3.92857143 7.07142857],0
a4,1,1.0,0.0,[ 6 12] ; [4 8],[ 6. 12.] ; [4. 8.],0
v3,1,1.0,0.0,[ 3 15] ; [ 2 10],[ 3. 15.] ; [ 2. 10.],0
v1,1,1.0,0.0,[ 6 12] ; [4 8],[ 6. 12.] ; [4. 8.],0
