Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8e-06,19.898704,[ 17 101] ; [18 18],[26.81818182 91.18181818] ; [ 8.18181818 27.81818182],1
p6,1,0.000251,13.404872,[  7 111] ; [10 26],[ 13.02597403 104.97402597] ; [ 3.97402597 32.02597403],1
s3,1,0.0035,8.526554,[46 72] ; [24 12],[53.63636364 64.36363636] ; [16.36363636 19.63636364],0
p7,1,0.004597,8.03161,[19 96] ; [14 22],[25.13245033 89.86754967] ; [ 7.86754967 28.13245033],0
r4,1,0.005835,7.600632,[78 42] ; [32  4],[84.61538462 35.38461538] ; [25.38461538 10.61538462],0
s6,1,0.005872,7.589242,[51 67] ; [25 11],[58.23376623 59.76623377] ; [17.76623377 18.23376623],0
n4,1,0.014352,5.994369,[73 46] ; [30  6],[79.07741935 39.92258065] ; [23.92258065 12.07741935],0
s8,1,0.028377,4.805028,[33 86] ; [17 19],[38.38709677 80.61290323] ; [11.61290323 24.38709677],0
s2,1,0.037985,4.305715,[40 79] ; [19 17],[45.29677419 73.70322581] ; [13.70322581 22.29677419],0
p5,1,0.040038,4.21626,[  2 116] ; [ 3 31],[  3.88157895 114.11842105] ; [ 1.11842105 32.88157895],0
r3,1,0.045799,3.988971,[91 28] ; [33  3],[95.2 23.8] ; [28.8  7.2],0
s7,1,0.049401,3.861668,[37 76] ; [17 16],[41.79452055 71.20547945] ; [12.20547945 20.79452055],0
p10,1,0.056412,3.639847,[53 63] ; [23 13],[58. 58.] ; [18. 18.],0
v4,1,0.060322,3.528523,[88 31] ; [32  4],[92.12903226 26.87096774] ; [27.87096774  8.12903226],0
n2,1,0.061707,3.490909,[34 21] ; [10  1],[36.66666667 18.33333333] ; [7.33333333 3.66666667],0
v1,1,0.063589,3.441225,[37 82] ; [16 17],[41.49342105 77.50657895] ; [11.50657895 21.49342105],0
p11,1,0.084447,2.977171,[57 63] ; [23 13],[61.53846154 58.46153846] ; [18.46153846 17.53846154],0
r2,1,0.10015,2.703145,[97 19] ; [34  2],[99.97368421 16.02631579] ; [31.02631579  4.97368421],0
a5,1,0.112369,2.520587,[69 51] ; [26 10],[73.07692308 46.92307692] ; [21.92307692 14.07692308],0
b1,1,0.120779,2.407185,[59 61] ; [23 13],[63.07692308 56.92307692] ; [18.92307692 17.07692308],0
n5,1,0.125351,2.349153,[72 46] ; [27  9],[75.85714286 42.14285714] ; [23.14285714 12.85714286],0
n6,1,0.141532,2.16122,[77 42] ; [28  8],[80.61290323 38.38709677] ; [24.38709677 11.61290323],0
s5,1,0.148701,2.085529,[22 92] ; [10 22],[24.98630137 89.01369863] ; [ 7.01369863 24.98630137],0
