Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.8e-05,17.544684,[71  4] ; [2 3],[68.4375  6.5625] ; [4.5625 0.4375],1
s1,1,0.001004,10.820803,[ 7 67] ; [3 2],[ 9.36708861 64.63291139] ; [0.63291139 4.36708861],0
r4,1,0.001925,9.619675,[67  8] ; [2 3],[64.6875 10.3125] ; [4.3125 0.6875],0
r2,1,0.004378,8.12012,[71  4] ; [3 2],[69.375  5.625] ; [4.625 0.375],0
p1,1,0.020921,5.333333,[ 6 69] ; [2 3],[ 7.5 67.5] ; [0.5 4.5],0
a7,1,0.059346,3.555556,[47 28] ; [1 4],[45. 30.] ; [3. 2.],0
d5,1,0.068947,3.307907,[56 17] ; [2 3],[54.28205128 18.71794872] ; [3.71794872 1.28205128],0
p8,1,0.076487,3.138015,[18 57] ; [3 2],[19.6875 55.3125] ; [1.3125 3.6875],0
v2,1,0.080622,3.052326,[42 28] ; [1 4],[40.13333333 29.86666667] ; [2.86666667 2.13333333],0
s3,1,0.082718,3.010681,[63 12] ; [2 2],[61.70886076 13.29113924] ; [3.29113924 0.70886076],0
p9,1,0.084775,2.970893,[55 18] ; [2 3],[53.34615385 19.65384615] ; [3.65384615 1.34615385],0
d2,1,0.148018,2.092559,[39 34] ; [1 4],[37.43589744 35.56410256] ; [2.56410256 2.43589744],0
p10,1,0.158976,1.983936,[52 22] ; [2 3],[50.58227848 23.41772152] ; [3.41772152 1.58227848],0
p5,1,0.210418,1.568546,[ 4 67] ; [1 4],[ 4.67105263 66.32894737] ; [0.32894737 4.67105263],0
p11,1,0.253888,1.30178,[49 26] ; [2 3],[47.8125 27.1875] ; [3.1875 1.8125],0
d4,1,0.308096,1.038819,[58 15] ; [3 2],[57.08974359 15.91025641] ; [3.91025641 1.08974359],0
v1,1,0.323148,0.976161,[42 31] ; [4 1],[43.05128205 29.94871795] ; [2.94871795 2.05128205],0
v3,1,0.337103,0.921418,[26 42] ; [3 2],[27.01369863 40.98630137] ; [1.98630137 3.01369863],0
b4,1,0.379077,0.773694,[45 30] ; [2 3],[44.0625 30.9375] ; [2.9375 2.0625],0
r1,1,0.423711,0.64,[57 18] ; [3 2],[56.25 18.75] ; [3.75 1.25],0
n4,1,0.467671,0.527473,[48 27] ; [4 1],[48.75 26.25] ; [3.25 1.75],0
a6,1,0.482026,0.494276,[41 32] ; [2 3],[40.24358974 32.75641026] ; [2.75641026 2.24358974],0
d1,1,0.486234,0.484848,[42 33] ; [2 3],[41.25 33.75] ; [2.75 2.25],0
s4,1,0.51795,0.417973,[20 55] ; [2 3],[20.625 54.375] ; [1.375 3.625],0
b1,1,0.563215,0.334169,[35 40] ; [3 2],[35.625 39.375] ; [2.375 2.625],0
n3,1,0.574695,0.31489,[18  8] ; [1 1],[17.64285714  8.35714286] ; [1.35714286 0.64285714],0
a5,1,0.575125,0.314182,[51 24] ; [4 1],[51.5625 23.4375] ; [3.4375 1.5625],0
p6,1,0.628889,0.233571,[22 52] ; [2 3],[22.48101266 51.51898734] ; [1.51898734 3.48101266],0
s7,1,0.6658,0.186554,[42 27] ; [2 2],[41.5890411 27.4109589] ; [2.4109589 1.5890411],0
n6,1,0.68584,0.163626,[53 21] ; [4 1],[53.39240506 20.60759494] ; [3.60759494 1.39240506],0
a4,1,0.728709,0.120301,[36 39] ; [2 3],[35.625 39.375] ; [2.375 2.625],0
b5,1,0.760179,0.093175,[50 25] ; [3 2],[49.6875 25.3125] ; [3.3125 1.6875],0
s6,1,0.825209,0.048775,[62 12] ; [4 1],[61.82278481 12.17721519] ; [4.17721519 0.82278481],0
p7,1,0.846547,0.037453,[32 40] ; [2 3],[31.79220779 40.20779221] ; [2.20779221 2.79220779],0
n5,1,0.857034,0.032454,[48 27] ; [3 2],[47.8125 27.1875] ; [3.1875 1.8125],0
n1,1,0.869482,0.027,[11 14] ; [1 1],[11.11111111 13.88888889] ; [0.88888889 1.11111111],0
p3,1,0.874653,0.024885,[27 47] ; [2 3],[27.16455696 46.83544304] ; [1.83544304 3.16455696],0
d3,1,0.96156,0.002323,[43 30] ; [3 2],[43.05128205 29.94871795] ; [2.94871795 2.05128205],0
s5,1,0.980126,0.000621,[28 43] ; [2 3],[28.02631579 42.97368421] ; [1.97368421 3.02631579],0
p4,1,0.980988,0.000568,[30 44] ; [2 3],[29.97468354 44.02531646] ; [2.02531646 2.97468354],0
