Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.369668,[40 41] ; [ 9 60],[26.46 54.54] ; [22.54 46.46],1
s3,1,5e-06,20.89922,[56 24] ; [22 46],[42.16216216 37.83783784] ; [35.83783784 32.16216216],1
s2,1,2.2e-05,18.024388,[47 34] ; [16 52],[34.24832215 46.75167785] ; [28.75167785 39.24832215],1
s7,1,0.000371,12.674212,[37 42] ; [11 50],[27.08571429 51.91428571] ; [20.91428571 40.08571429],1
s5,1,0.00106,10.720369,[24 52] ; [ 6 60],[16.05633803 59.94366197] ; [13.94366197 52.05633803],0
p7,1,0.006404,7.433089,[49 26] ; [28 38],[40.95744681 34.04255319] ; [36.04255319 29.95744681],0
p9,1,0.016363,5.763424,[62 17] ; [41 27],[55.3537415 23.6462585] ; [47.6462585 20.3537415],0
p2,1,0.017392,5.656424,[66 15] ; [43 24],[59.65540541 21.34459459] ; [49.34459459 17.65540541],0
s4,1,0.024309,5.072464,[18 63] ; [ 6 63],[12.96 68.04] ; [11.04 57.96],0
d1,1,0.026729,4.908235,[44 37] ; [25 44],[37.26 43.74] ; [31.74 37.26],0
r3,1,0.026869,4.899198,[76  4] ; [58 11],[71.94630872  8.05369128] ; [62.05369128  6.94630872],0
n2,1,0.027759,4.843003,[25  4] ; [13  9],[21.60784314  7.39215686] ; [16.39215686  5.60784314],0
p4,1,0.038957,4.262741,[42 39] ; [23 43],[35.81632653 45.18367347] ; [29.18367347 36.81632653],0
a8,1,0.067992,3.330838,[10 64] ; [ 3 63],[ 6.87142857 67.12857143] ; [ 6.12857143 59.87142857],0
v1,1,0.078302,3.099791,[40 38] ; [25 43],[34.7260274 43.2739726] ; [30.2739726 37.7260274],0
p10,1,0.106154,2.610559,[55 24] ; [38 29],[50.32191781 28.67808219] ; [42.67808219 24.32191781],0
p8,1,0.117148,2.455049,[36 43] ; [22 45],[31.38356164 47.61643836] ; [26.61643836 40.38356164],0
