Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000204,13.79464,[15  5] ; [28 64],[ 7.67857143 12.32142857] ; [35.32142857 56.67857143],1
s2,1,0.003764,8.394094,[12  8] ; [25 69],[ 6.49122807 13.50877193] ; [30.50877193 63.49122807],0
s7,1,0.00554,7.694124,[11 10] ; [20 70],[ 5.86486486 15.13513514] ; [25.13513514 64.86486486],0
s3,1,0.013762,6.068429,[14  6] ; [37 56],[ 9.02654867 10.97345133] ; [41.97345133 51.02654867],0
p8,1,0.015626,5.84446,[11 10] ; [24 70],[ 6.39130435 14.60869565] ; [28.60869565 65.39130435],0
r4,1,0.04625,3.972482,[18  3] ; [60 35],[14.12068966  6.87931034] ; [63.87931034 31.12068966],0
b4,1,0.06237,3.473216,[ 7 14] ; [53 42],[10.86206897 10.13793103] ; [49.13793103 45.86206897],0
s1,1,0.08826,2.905828,[ 3 18] ; [ 4 88],[ 1.30088496 19.69911504] ; [ 5.69911504 86.30088496],0
a6,1,0.091424,2.849123,[14  7] ; [44 51],[10.5 10.5] ; [47.5 47.5],0
a7,1,0.099857,2.707821,[14  7] ; [44 50],[10.59130435 10.40869565] ; [47.40869565 46.59130435],0
r3,1,0.178091,1.813484,[19  2] ; [72 21],[16.76315789  4.23684211] ; [74.23684211 18.76315789],0
a8,1,0.183524,1.768853,[ 4 17] ; [ 8 81],[ 2.29090909 18.70909091] ; [ 9.70909091 79.29090909],0
b5,1,0.195953,1.67228,[13  8] ; [44 51],[10.31896552 10.68103448] ; [46.68103448 48.31896552],0
s8,1,0.223746,1.480181,[ 6 15] ; [16 78],[ 4.0173913 16.9826087] ; [17.9826087 76.0173913],0
s5,1,0.237598,1.394788,[ 6 14] ; [17 76],[ 4.07079646 15.92920354] ; [18.92920354 74.07079646],0
r2,1,0.251686,1.313919,[19  2] ; [75 19],[17.16521739  3.83478261] ; [76.83478261 17.16521739],0
p1,1,0.306744,1.044642,[ 3 18] ; [ 7 88],[ 1.81034483 19.18965517] ; [ 8.18965517 86.81034483],0
v4,1,0.330836,0.945622,[19  2] ; [76 17],[17.5  3.5] ; [77.5 15.5],0
n6,1,0.348774,0.877912,[16  5] ; [61 32],[14.18421053  6.81578947] ; [62.81578947 30.18421053],0
n4,1,0.355506,0.853707,[15  6] ; [57 37],[13.14782609  7.85217391] ; [58.85217391 35.14782609],0
r1,1,0.355506,0.853707,[15  6] ; [57 37],[13.14782609  7.85217391] ; [58.85217391 35.14782609],0
u2,1,0.361772,0.831734,[6 5] ; [21 32],[4.640625 6.359375] ; [22.359375 30.640625],0
p3,1,0.378591,0.775272,[ 5 16] ; [15 80],[ 3.62068966 17.37931034] ; [16.37931034 78.62068966],0
u3,1,0.39937,0.710223,[6 5] ; [22 32],[4.73846154 6.26153846] ; [23.26153846 30.73846154],0
v2,1,0.413953,0.66742,[ 9 11] ; [31 57],[ 7.40740741 12.59259259] ; [32.59259259 55.40740741],0
p9,1,0.428263,0.627531,[12  9] ; [61 31],[13.56637168  7.43362832] ; [59.43362832 32.56637168],0
a4,1,0.452651,0.564005,[ 2 19] ; [15 79],[ 3.10434783 17.89565217] ; [13.89565217 80.10434783],0
a5,1,0.458689,0.549091,[ 7 14] ; [40 55],[ 8.50862069 12.49137931] ; [38.49137931 56.50862069],0
b2,1,0.478875,0.501425,[6 6] ; [21 33],[4.90909091 7.09090909] ; [22.09090909 31.90909091],0
b3,1,0.478875,0.501425,[6 6] ; [21 33],[4.90909091 7.09090909] ; [22.09090909 31.90909091],0
s4,1,0.48152,0.495418,[ 3 18] ; [20 75],[ 4.1637931 16.8362069] ; [18.8362069 76.1637931],0
p12,1,0.493525,0.468833,[ 1 20] ; [ 2 92],[ 0.54782609 20.45217391] ; [ 2.45217391 91.54782609],0
d4,1,0.522168,0.40961,[11 10] ; [42 52],[ 9.67826087 11.32173913] ; [43.32173913 50.67826087],0
v1,1,0.59688,0.279727,[ 7 14] ; [36 55],[ 8.0625 12.9375] ; [34.9375 56.0625],0
s6,1,0.60756,0.263743,[10 11] ; [39 55],[ 8.94782609 12.05217391] ; [40.05217391 53.94782609],0
v3,1,0.611258,0.258347,[ 5 16] ; [27 65],[ 5.94690265 15.05309735] ; [26.05309735 65.94690265],0
d3,1,0.63149,0.230045,[ 8 13] ; [31 64],[ 7.06034483 13.93965517] ; [31.93965517 63.06034483],0
n5,1,0.654317,0.2005,[13  8] ; [63 31],[13.87826087  7.12173913] ; [62.12173913 31.87826087],0
p2,1,0.670798,0.18067,[13  8] ; [54 41],[12.12931034  8.87068966] ; [54.87068966 40.12931034],0
p10,1,0.672016,0.179253,[11 10] ; [54 40],[11.86956522  9.13043478] ; [53.13043478 40.86956522],0
b1,1,0.709342,0.138935,[10 11] ; [41 54],[ 9.23275862 11.76724138] ; [41.76724138 53.23275862],0
p5,1,0.71544,0.132904,[ 1 20] ; [ 3 92],[ 0.72413793 20.27586207] ; [ 3.27586207 91.72413793],0
a3,1,0.799688,0.064389,[10 11] ; [41 51],[ 9.47787611 11.52212389] ; [41.52212389 50.47787611],0
n3,1,0.865664,0.028618,[3 2] ; [23 13],[3.17073171 1.82926829] ; [22.82926829 13.17073171],0
n1,1,0.89077,0.01886,[2 3] ; [14 24],[1.86046512 3.13953488] ; [14.13953488 23.86046512],0
u1,1,0.910355,0.012677,[ 1 20] ; [ 4 91],[ 0.90517241 20.09482759] ; [ 4.09482759 90.90517241],0
a1,1,0.92522,0.00881,[ 1 20] ; [ 5 90],[ 1.0862069 19.9137931] ; [ 4.9137931 90.0862069],0
p11,1,0.950557,0.003845,[14  7] ; [64 31],[14.12068966  6.87931034] ; [63.87931034 31.12068966],0
n2,1,0.956624,0.002958,[4 1] ; [30  8],[3.95348837 1.04651163] ; [30.04651163  7.95348837],0
d2,1,0.991539,0.000112,[ 4 17] ; [18 77],[ 3.98275862 17.01724138] ; [18.01724138 76.98275862],0
