Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.021665,5.272468,[2 1] ; [18 95],[0.51724138 2.48275862] ; [19.48275862 93.51724138],0
n1,1,0.193076,1.69399,[2 1] ; [13 30],[0.97826087 2.02173913] ; [14.02173913 28.97826087],0
v1,1,0.283904,1.148304,[2 1] ; [40 70],[1.11504425 1.88495575] ; [40.88495575 69.11504425],0
a4,1,0.357043,0.848266,[2 1] ; [45 67],[1.22608696 1.77391304] ; [45.77391304 66.22608696],0
s6,1,0.42219,0.644212,[2 1] ; [49 64],[1.31896552 1.68103448] ; [49.68103448 63.31896552],0
v2,1,0.428132,0.627886,[2 1] ; [48 62],[1.32743363 1.67256637] ; [48.67256637 61.32743363],0
v4,1,0.460402,0.544917,[2 1] ; [93 19],[2.47826087 0.52173913] ; [92.52173913 19.47826087],0
a2,1,0.487608,0.4818,[1 2] ; [20 93],[0.54310345 2.45689655] ; [20.45689655 92.54310345],0
s3,1,0.644791,0.21253,[1 2] ; [51 58],[1.39285714 1.60714286] ; [50.60714286 58.39285714],0
s8,1,0.64586,0.211159,[1 2] ; [25 88],[0.67241379 2.32758621] ; [25.32758621 87.67241379],0
n5,1,0.687266,0.162061,[2 1] ; [61 50],[1.65789474 1.34210526] ; [61.34210526 49.65789474],0
a5,1,0.77435,0.082191,[2 1] ; [66 47],[1.75862069 1.24137931] ; [66.24137931 46.75862069],0
b4,1,0.797333,0.065946,[2 1] ; [67 46],[1.78448276 1.21551724] ; [67.21551724 45.78448276],0
v3,1,0.83245,0.044758,[1 2] ; [30 78],[0.83783784 2.16216216] ; [30.16216216 77.83783784],0
d3,1,0.867932,0.027651,[2 1] ; [70 43],[1.86206897 1.13793103] ; [70.13793103 42.86206897],0
n3,1,0.89303,0.018083,[2 1] ; [27 16],[1.89130435 1.10869565] ; [27.10869565 15.89130435],0
a3,1,0.914232,0.0116,[2 1] ; [70 40],[1.91150442 1.08849558] ; [70.08849558 39.91150442],0
a6,1,0.941136,0.005453,[2 1] ; [73 40],[1.93965517 1.06034483] ; [73.06034483 39.93965517],0
s2,1,0.947179,0.004389,[1 2] ; [35 76],[0.94736842 2.05263158] ; [35.05263158 75.94736842],0
n6,1,0.955683,0.003088,[2 1] ; [75 35],[2.04424779 0.95575221] ; [74.95575221 35.04424779],0
s7,1,0.955683,0.003088,[1 2] ; [35 75],[0.95575221 2.04424779] ; [35.04424779 74.95575221],0
n2,1,0.978625,0.000718,[2 1] ; [29 15],[1.9787234 1.0212766] ; [29.0212766 14.9787234],0
b3,1,0.987348,0.000251,[1 2] ; [25 51],[0.98734177 2.01265823] ; [25.01265823 50.98734177],0
b2,1,0.987348,0.000251,[1 2] ; [25 51],[0.98734177 2.01265823] ; [25.01265823 50.98734177],0
a7,1,1.0,0.0,[2 1] ; [74 37],[2. 1.] ; [74. 37.],0
